Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
93	 1.12493	 1.70484	 1.83399	 6.74979	 1.89053	 2.72838	 4.95539	 0.06407	 0.09763	 0.88000	24.28226	-1348.562770	-1401754.116104	53191.346319
94	 1.08849	 1.64943	 1.83990	 7.08062	 1.89663	 2.73718	 4.97137	 0.06428	 0.09794	 0.88284	24.55390	-1348.373458	-1401731.084452	53357.626786
95	 1.13321	 1.69851	 1.91816	 7.09340	 1.81942	 2.74211	 4.98033	 0.06439	 0.09812	 0.86121	23.99366	-1348.232313	-1401746.332065	53514.018745
96	 1.18040	 1.70537	 1.99948	 6.88892	 1.74916	 2.61552	 5.00046	 0.06465	 0.09852	 0.85064	24.22649	-1348.169253	-1401754.836145	53585.582900
97	 1.13320	 1.62040	 2.08153	 6.73116	 1.68893	 2.60191	 4.97445	 0.06432	 0.09352	 0.84622	24.90845	-1348.333953	-1401735.379919	53401.426814
98	 1.18754	 1.67421	 2.01460	 6.71846	 1.64922	 2.66896	 4.96506	 0.06420	 0.09334	 0.84462	24.52502	-1348.402774	-1401808.160587	53405.386432
99	 1.18372	 1.61466	 1.97506	 6.69686	 1.69883	 2.55053	 4.94910	 0.06399	 0.09304	 0.84576	24.17936	-1348.244731	-1401723.882144	53479.151388
100	 1.18031	 1.66040	 1.89538	 6.72464	 1.72996	 2.56111	 4.96963	 0.06078	 0.08816	 0.84927	24.37835	-1348.242709	-1401774.575668	53531.866448
101	 1.21684	 1.56057	 1.83367	 6.42137	 1.69272	 2.62567	 4.96107	 0.06067	 0.09109	 0.84781	24.66627	-1348.181186	-1401739.620672	53558.434511
102	 1.15265	 1.56555	 1.79206	 6.31747	 1.64070	 2.63404	 4.84763	 0.06087	 0.09138	 0.85051	24.11895	-1348.231306	-1401726.151809	53494.845992
103	 1.19976	 1.66837	 1.85874	 6.75110	 1.67469	 2.63149	 5.02130	 0.06081	 0.09129	 0.84969	23.51498	-1348.210691	-1401737.208836	53526.517946
104	 1.16403	 1.66559	 1.91676	 6.73988	 1.69710	 2.62711	 5.01295	 0.06071	 0.09114	 0.84828	22.79066	-1348.261872	-1401722.581924	53460.709863
105	 1.23590	 1.60876	 1.86870	 6.76742	 1.63764	 2.63785	 5.03343	 0.06096	 0.09151	 0.83055	22.21109	-1348.254906	-1401759.991934	53505.085644
106	 1.30528	 1.55565	 1.94804	 6.56778	 1.71469	 2.62416	 4.92846	 0.06118	 0.09184	 0.84181	22.64915	-1348.343957	-1401741.225842	53397.268457
107	 1.36453	 1.50580	 1.83278	 6.55206	 1.71059	 2.61788	 4.91667	 0.06103	 0.09162	 0.83979	23.05674	-1348.407575	-1401820.714802	53413.139982
108	 1.32153	 1.48633	 1.72930	 6.52767	 1.75746	 2.52877	 4.89836	 0.06080	 0.09128	 0.83667	22.77161	-1348.256970	-1401756.272221	53499.302513
109	 1.29773	 1.43997	 1.72374	 6.68147	 1.82715	 2.52065	 4.88263	 0.06061	 0.09099	 0.83398	22.33117	-1348.201697	-1401771.850695	53570.153933
110	 1.30020	 1.40087	 1.72702	 6.95205	 1.91819	 2.52544	 4.89191	 0.06072	 0.09116	 0.83556	22.02910	-1348.195066	-1401716.050081	53520.984022
111	 1.25699	 1.33103	 1.63800	 6.72753	 1.92170	 2.45541	 4.82036	 0.06083	 0.09133	 0.83709	22.26012	-1347.837646	-1401726.263991	53888.618218
112	 1.25417	 1.32805	 1.63432	 6.71243	 1.97093	 2.57807	 4.91369	 0.06070	 0.09112	 0.83522	21.80333	-1348.090081	-1401786.474529	53696.393351
113	 1.32415	 1.36126	 1.55532	 6.80455	 2.04412	 2.57069	 4.97956	 0.06052	 0.09086	 0.83283	22.26490	-1348.174699	-1401760.735150	53586.035650
114	 1.37938	 1.40999	 1.60144	 7.05965	 1.95415	 2.56282	 4.96430	 0.06034	 0.09058	 0.83027	22.81836	-1348.252295	-1401738.079518	53485.784387
115	 1.30666	 1.46070	 1.53160	 7.25024	 2.04124	 2.55117	 4.94175	 0.05554	 0.08538	 0.82650	23.44724	-1348.255524	-1401737.134644	53481.610923
116	 1.27184	 1.40650	 1.45273	 7.47752	 1.97094	 2.54084	 4.74349	 0.05532	 0.08503	 0.82315	24.31718	-1348.216706	-1401740.031061	53523.325336
117	 1.21212	 1.40233	 1.49042	 7.12735	 1.88334	 2.53330	 4.72942	 0.05516	 0.08478	 0.82071	23.99020	-1348.094090	-1401709.672406	53615.582262
118	 1.26078	 1.44257	 1.49440	 7.41949	 1.82838	 2.54007	 4.74205	 0.05530	 0.08500	 0.82290	23.16212	-1348.060512	-1401740.758864	53680.246410
119	 1.21468	 1.50102	 1.44599	 7.55082	 1.79642	 2.53319	 4.72921	 0.05515	 0.08477	 0.82067	22.60534	-1347.983672	-1401727.129915	53743.457877
120	 1.26601	 1.43821	 1.50713	 8.06113	 1.74168	 2.57767	 4.74651	 0.05534	 0.08505	 0.82338	22.79428	-1347.979325	-1401752.280618	53772.955951
121	 1.19585	 1.39552	 1.50414	 8.04513	 1.70470	 2.70902	 4.73710	 0.05523	 0.08488	 0.83619	23.50954	-1348.264305	-1401725.825313	53461.520680
122	 1.19852	 1.34859	 1.50751	 8.41825	 1.70851	 2.71508	 4.94682	 0.05535	 0.08507	 0.85489	23.85736	-1348.523360	-1401771.782400	53248.422395
123	 1.13768	 1.30564	 1.54628	 8.10755	 1.71359	 2.72316	 4.96154	 0.05551	 0.08533	 0.85744	23.43126	-1348.428049	-1401714.402517	53286.353362
124	 1.14113	 1.22239	 1.52152	 8.38336	 1.71880	 2.73144	 4.97662	 0.06433	 0.08559	 0.86004	23.23693	-1348.354255	-1401718.704381	53364.449562
125	 1.15674	 1.20972	 1.51732	 8.14201	 1.71406	 2.72390	 4.87408	 0.06416	 0.08535	 0.85767	22.68177	-1348.266741	-1401691.633953	53424.893112
126	 1.10297	 1.19298	 1.57551	 8.11146	 1.61428	 2.71368	 4.85579	 0.06392	 0.08503	 0.85445	22.53007	-1348.325868	-1401722.825916	53396.957856
127	 1.12858	 1.23933	 1.50877	 8.43712	 1.61163	 2.79530	 4.84783	 0.06381	 0.08121	 0.85305	22.94547	-1348.379864	-1401754.884272	53375.020645
128	 1.17409	 1.23522	 1.45373	 8.72544	 1.57392	 2.78604	 4.83177	 0.06360	 0.08094	 0.85022	22.50303	-1348.400787	-1401745.796643	53345.009524
129	 1.12432	 1.23203	 1.38628	 9.03359	 1.56985	 2.77884	 4.81928	 0.06343	 0.08073	 0.83230	22.07542	-1348.414791	-1401717.420758	53302.629599
130	 1.16830	 1.23401	 1.36116	 8.49461	 1.63896	 2.70244	 4.82703	 0.06354	 0.08086	 0.83364	21.79813	-1348.309832	-1401744.663164	53434.831489
131	 1.20838	 1.17987	 1.31600	 8.34209	 1.60290	 2.70670	 4.83464	 0.06364	 0.08099	 0.83495	22.11515	-1348.218141	-1401734.498793	53516.357637
132	 1.17032	 1.18503	 1.37881	 7.94602	 1.57139	 2.71853	 4.85577	 0.06391	 0.08134	 0.83860	22.53644	-1348.337989	-1401706.212378	53368.222908
133	 1.13347	 1.18196	 1.43005	 8.13148	 1.61526	 2.71149	 5.04777	 0.06375	 0.08113	 0.83643	22.19380	-1348.318502	-1401716.081951	53397.579688
134	 1.07496	 1.21643	 1.38827	 8.49572	 1.64588	 2.70480	 5.03531	 0.06359	 0.08093	 0.83437	21.68830	-1348.493612	-1401726.222795	53232.611271
135	 1.03251	 1.13991	 1.38975	 8.91223	 1.72309	 2.69522	 4.93511	 0.06337	 0.08064	 0.83141	22.16311	-1348.201232	-1401718.145374	53516.913651
136	 1.01595	 1.19999	 1.35725	 8.54700	 1.66227	 2.70101	 4.95678	 0.06350	 0.08082	 0.83320	22.42516	-1348.228175	-1401677.330833	53449.155882
137	 0.95324	 1.16193	 1.28253	 8.97596	 1.62674	 2.73530	 5.16377	 0.06375	 0.08113	 0.83638	21.63147	-1348.348345	-1401737.596791	53389.251822
138	 1.00048	 1.09883	 1.33338	 8.96373	 1.57526	 2.75596	 5.15674	 0.06366	 0.08101	 0.83524	21.97872	-1348.228437	-1401672.271170	53443.833730
139	 1.04636	 1.10102	 1.26279	 9.38059	 1.62276	 2.76145	 5.31269	 0.06379	 0.08118	 0.83690	21.59579	-1348.496760	-1401672.912781	53176.152796
140	 1.02056	 1.15326	 1.29747	 9.07674	 1.56740	 2.76145	 5.31269	 0.06379	 0.08118	 0.83690	21.41916	-1348.507974	-1401735.279307	53227.305558
