Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
176	 0.98427	 1.00381	 1.12204	 7.72394	 1.42383	 2.80449	 4.98445	 0.07116	 0.09109	 0.85245	17.97847	-1348.397874	-1401706.110362	53308.236116
177	 1.03526	 1.03851	 1.17271	 7.35171	 1.35832	 2.85694	 5.21435	 0.06850	 0.08726	 0.84940	18.56701	-1348.389690	-1401698.973772	53309.283359
178	 0.99226	 1.11773	 1.21948	 7.17563	 1.40483	 2.86551	 5.23000	 0.06871	 0.08753	 0.85195	18.07135	-1348.494451	-1401692.170419	53197.719553
179	 0.95524	 1.06943	 1.25283	 7.35355	 1.34058	 2.94896	 5.39535	 0.06840	 0.08714	 0.84815	18.26374	-1348.524284	-1401640.095086	53115.810736
180	 1.00606	 1.09610	 1.30296	 7.41304	 1.28694	 2.93971	 5.37842	 0.06819	 0.08686	 0.84549	17.97631	-1348.693269	-1401777.902693	53084.633948
181	 1.00210	 1.11242	 1.24787	 7.63756	 1.25968	 2.92813	 5.29282	 0.06792	 0.08652	 0.84216	17.60367	-1348.599072	-1401843.678683	53244.606938
182	 1.04137	 1.16669	 1.32699	 7.66250	 1.28587	 2.93769	 5.31010	 0.06814	 0.08680	 0.84491	17.14024	-1348.620097	-1401762.013328	53141.916408
183	 1.07537	 1.11323	 1.38052	 7.36586	 1.20497	 2.93406	 5.10194	 0.06806	 0.08670	 0.84386	17.65105	-1348.549254	-1401735.808066	53186.554093
184	 1.10643	 1.16069	 1.33866	 7.82302	 1.15597	 3.04950	 5.28150	 0.06822	 0.08690	 0.84590	17.27087	-1348.639801	-1401732.826068	53093.025265
185	 1.16866	 1.12003	 1.29573	 7.98714	 1.19367	 3.03739	 5.03292	 0.06795	 0.08656	 0.84254	17.73286	-1348.834852	-1401749.114473	52914.262687
186	 1.22336	 1.17893	 1.36467	 7.65862	 1.14005	 2.92876	 5.15438	 0.06809	 0.08673	 0.86817	17.42467	-1348.755064	-1401744.999580	52989.935561
187	 1.18449	 1.22454	 1.39722	 7.90207	 1.13762	 3.04595	 5.14339	 0.06794	 0.08655	 0.86632	17.16915	-1348.785641	-1401734.072870	52948.431429
188	 1.21478	 1.28606	 1.45415	 7.68441	 1.14217	 3.05815	 5.16399	 0.06821	 0.08690	 0.85689	16.83721	-1348.902642	-1401734.489958	52831.848242
189	 1.21847	 1.25237	 1.45858	 7.79788	 1.14565	 3.06745	 5.17970	 0.06842	 0.08716	 0.85950	16.38731	-1348.772104	-1401706.103197	52933.999509
190	 1.18938	 1.23579	 1.46446	 8.13871	 1.19326	 3.07982	 5.20058	 0.06870	 0.08751	 0.86296	16.51996	-1348.805364	-1401682.136467	52876.772298
191	 1.22924	 1.30879	 1.37364	 8.10812	 1.22792	 3.06824	 5.18104	 0.06844	 0.08718	 0.85972	16.38334	-1348.822703	-1401655.120423	52832.417187
192	 1.18586	 1.34827	 1.37364	 8.34846	 1.22792	 3.06824	 5.18104	 0.06844	 0.08718	 0.85858	15.96340	-1348.784700	-1401727.880270	52943.180096
193	 1.16427	 1.31413	 1.31131	 8.70490	 1.18086	 3.07664	 5.19521	 0.06863	 0.08742	 0.87039	16.30203	-1348.941598	-1401780.926634	52839.328613
194	 1.18873	 1.32033	 1.27492	 8.46055	 1.23273	 3.09115	 5.21972	 0.06895	 0.08783	 0.86170	16.33955	-1348.804234	-1401733.045165	52928.810729
195	 1.13503	 1.31709	 1.27179	 8.43980	 1.22970	 3.08357	 5.08947	 0.06878	 0.08762	 0.85959	16.68730	-1348.874920	-1401741.735479	52866.815706
196	 1.19621	 1.31991	 1.27451	 8.87026	 1.16991	 3.09017	 4.92590	 0.06893	 0.08781	 0.86143	16.38724	-1348.687175	-1401725.830038	53038.655312
197	 1.14712	 1.28988	 1.27109	 8.51220	 1.21243	 3.08178	 5.16505	 0.06874	 0.08757	 0.88521	15.95100	-1348.927289	-1401699.002391	52771.713579
198	 1.11263	 1.37549	 1.33022	 8.27620	 1.28297	 3.05002	 5.18154	 0.06896	 0.08785	 0.88804	15.37242	-1348.820084	-1401705.630203	52885.546692
199	 1.17663	 1.34265	 1.26872	 8.19245	 1.28448	 3.21207	 5.18765	 0.06904	 0.08795	 0.88909	15.01544	-1348.814889	-1401682.023663	52867.134959
