iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	root_theta	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
     59	3.581588	     7000	1.133639	        4	63.917725	3.244698	-1346848.562670	-1401875.983426	-55027.420757
     60	3.571455	     7000	1.132706	        2	63.556158	3.402913	-1346799.685981	-1401847.230735	-55047.544753
     61	3.591669	     7000	1.155161	        5	63.516872	3.412487	-1346886.401009	-1401892.234017	-55005.833008
     62	3.717537	     7000	1.168591	        4	63.424253	3.414613	-1347208.057436	-1401885.307647	-54677.250211
     63	3.688606	     7000	1.184699	        6	63.047550	3.414613	-1347129.555343	-1401903.680616	-54774.125273
     64	3.662539	     7000	1.176014	        5	62.946013	3.409602	-1346978.421997	-1401852.379006	-54873.957009
     65	3.650362	     7000	1.180943	        6	63.008773	3.409602	-1346929.107092	-1401848.545345	-54919.438253
     66	3.696318	     7000	1.189910	        6	63.096667	3.409602	-1347079.866751	-1401823.335330	-54743.468578
     67	3.680602	     7000	1.196671	        6	62.992463	3.397597	-1347057.635120	-1401845.769130	-54788.134009
     68	3.659708	     7000	1.177468	        4	62.965203	3.504059	-1347032.909294	-1401798.666060	-54765.756766
     69	3.678529	     7000	1.204540	        3	63.266554	3.512208	-1347068.974745	-1401815.009628	-54746.034883
     70	3.676649	     7000	1.197579	        2	63.298885	3.498454	-1347082.988523	-1401787.546437	-54704.557915
     71	3.721363	     7000	1.205726	        2	63.370313	3.498454	-1347231.488190	-1401826.156964	-54594.668774
     72	3.725758	     7000	1.201195	        2	63.033511	3.635488	-1347265.310319	-1401852.298829	-54586.988509
     73	3.694530	     7000	1.213576	        2	62.848891	3.705426	-1347142.726024	-1401804.319759	-54661.593736
     74	3.795464	     7000	1.239325	        3	62.288816	3.816445	-1347351.424425	-1401840.970832	-54489.546407
     75	3.829935	     7000	1.250594	        1	62.164327	3.825671	-1347435.006382	-1401825.944970	-54390.938588
     76	3.834379	     7000	1.255635	        3	62.003360	3.871294	-1347505.072084	-1401873.088325	-54368.016241
     77	3.840905	     7000	1.251660	        1	62.055927	3.871294	-1347630.118109	-1401869.608034	-54239.489925
     78	3.827636	     7000	1.245412	        1	61.865732	3.882504	-1347510.086939	-1401791.091833	-54281.004894
     79	3.832057	     7000	1.253747	        1	61.418868	3.892162	-1347568.834965	-1401841.956002	-54273.121037
     80	3.940667	     7000	1.278932	        3	61.240893	3.899235	-1347800.318078	-1401892.836199	-54092.518121
     81	3.886254	     7000	1.261615	        2	61.533088	3.896135	-1347681.631265	-1401842.928800	-54161.297535
     82	3.895108	     7000	1.262805	        1	61.105053	3.918229	-1347707.099600	-1401894.164655	-54187.065055
     83	3.899376	     7000	1.265889	        3	61.021407	3.918229	-1347674.106371	-1401848.827032	-54174.720661
     84	3.903225	     7000	1.257898	        1	61.033674	3.904744	-1347677.565430	-1401821.650712	-54144.085282
     85	3.974803	     7000	1.281365	        3	61.075485	3.901013	-1347895.552920	-1401844.886141	-53949.333221
     86	3.954483	     7000	1.281185	        2	60.421620	4.007671	-1347791.527063	-1401810.542277	-54019.015213
     87	3.973398	     7000	1.278699	        1	60.827915	3.999339	-1347856.121300	-1401813.788519	-53957.667220
     88	4.019442	     7000	1.293157	        3	60.479792	4.009622	-1347896.118070	-1401795.893743	-53899.775673
     89	4.049265	     7000	1.315414	        3	60.708571	3.996871	-1348031.007112	-1401813.110341	-53782.103228
     90	4.011228	     7000	1.306120	        0	60.448063	4.145173	-1347948.293372	-1401826.023886	-53877.730515
     91	4.172801	     7000	1.370341	        3	60.264252	4.275690	-1348253.800711	-1401824.276230	-53570.475520
     92	4.151265	     7000	1.348475	        0	60.120632	4.175847	-1348191.144363	-1401784.030895	-53592.886532
     93	4.111497	     7000	1.342979	        4	60.022621	4.186224	-1347980.249667	-1401740.622595	-53760.372929
     94	4.134656	     7000	1.358339	        1	60.308654	4.175879	-1348096.685099	-1401746.221216	-53649.536117
     95	4.144503	     7000	1.353814	        2	60.204221	4.189653	-1348090.769284	-1401724.873331	-53634.104047
     96	4.112453	     7000	1.332018	        2	60.201162	4.203792	-1348055.421750	-1401777.653327	-53722.231577
     97	4.106348	     7000	1.342243	        8	59.919173	4.211212	-1348003.506608	-1401805.267682	-53801.761074
     98	4.139479	     7000	1.346124	        6	59.963104	4.201378	-1348068.105617	-1401772.857669	-53704.752053
     99	4.161421	     7000	1.341141	        6	60.169858	4.178018	-1348205.639486	-1401785.158378	-53579.518891
    100	4.129955	     7000	1.325412	        5	60.472742	4.192466	-1348169.542768	-1401847.536174	-53677.993406
    101	4.062738	     7000	1.327887	        6	60.553460	4.135613	-1347969.119232	-1401800.494919	-53831.375687
    102	4.069410	     7000	1.317887	        4	60.259530	4.145947	-1348037.053507	-1401831.735956	-53794.682449
    103	4.121731	     7000	1.335471	        7	59.634584	4.255346	-1348091.961990	-1401832.300459	-53740.338469
    104	4.139238	     7000	1.348401	        3	59.841653	4.278557	-1348109.839116	-1401796.738558	-53686.899442
    105	4.169581	     7000	1.379346	        6	60.249464	4.262492	-1348156.532224	-1401782.161201	-53625.628977
    106	4.148530	     7000	1.344341	        5	60.049669	4.253698	-1348024.785961	-1401700.531050	-53675.745090
    107	4.179051	     7000	1.352034	        4	59.930698	4.242033	-1348185.999751	-1401788.035890	-53602.036139
    108	4.166325	     7000	1.353455	        5	59.659388	4.228762	-1348257.001487	-1401859.371875	-53602.370388
    109	4.161766	     7000	1.336557	        5	59.881296	4.393327	-1348232.375267	-1401805.547658	-53573.172392
    110	4.281381	     7000	1.395731	        3	59.338189	4.406918	-1348406.204836	-1401820.863730	-53414.658893
    111	4.306948	     7000	1.395550	        5	59.250972	4.396662	-1348391.785792	-1401782.244693	-53390.458901
    112	4.210376	     7000	1.375019	        5	59.443965	4.386983	-1348185.282934	-1401799.406076	-53614.123142
    113	4.245154	     7000	1.399275	        5	59.110620	4.386983	-1348153.436115	-1401735.268111	-53581.831996
    114	4.249162	     7000	1.396746	        4	58.956531	4.465631	-1348240.633148	-1401743.086969	-53502.453822
    115	4.168641	     7000	1.370277	        2	58.714127	4.442150	-1348160.755008	-1401801.826730	-53641.071722
    116	4.230264	     7000	1.388262	        7	58.413803	4.442150	-1348222.140456	-1401788.705694	-53566.565238
    117	4.393009	     7000	1.445538	        3	58.156847	4.623348	-1348611.560867	-1401815.611240	-53204.050374
    118	4.436861	     7000	1.457527	        4	57.765059	4.637240	-1348625.438321	-1401755.393696	-53129.955375
    119	4.328939	     7000	1.407222	        0	57.637883	4.652987	-1348542.411525	-1401838.040577	-53295.629052
    120	4.350962	     7000	1.420350	        3	57.426162	4.671041	-1348542.316303	-1401771.306869	-53228.990565
    121	4.378909	     7000	1.447214	        6	57.583952	4.660508	-1348498.773908	-1401755.639120	-53256.865211
    122	4.457188	     7000	1.465678	        3	58.113859	4.649384	-1348778.354096	-1401776.025240	-52997.671143
    123	4.440006	     7000	1.457607	        3	58.368877	4.714176	-1348674.464681	-1401734.779075	-53060.314393
    124	4.443889	     7000	1.453191	        3	58.843035	4.700989	-1348749.134184	-1401750.407347	-53001.273162
    125	4.341817	     7000	1.428348	        5	59.271229	4.772724	-1348553.772022	-1401759.091316	-53205.319294
    126	4.448287	     7000	1.461588	        5	58.996256	4.787444	-1348853.269444	-1401780.165032	-52926.895589
    127	4.417343	     7000	1.455027	        2	58.836038	4.787444	-1348671.508067	-1401742.577320	-53071.069253
    128	4.531748	     7000	1.487007	        2	59.037708	4.767118	-1348931.653395	-1401767.336072	-52835.682677
    129	4.460726	     7000	1.468485	        6	58.800132	4.670317	-1348818.229029	-1401746.314990	-52928.085961
    130	4.434526	     7000	1.449768	        5	58.991732	4.656305	-1348821.688940	-1401744.502325	-52922.813385
    131	4.464442	     7000	1.459837	        3	58.843223	4.840899	-1348881.496975	-1401727.813648	-52846.316673
    132	4.503474	     7000	1.478732	        2	59.186993	4.832327	-1348976.627724	-1401762.430607	-52785.802883
    133	4.500857	     7000	1.473838	        3	58.821943	4.851026	-1348893.792489	-1401713.802750	-52820.010261
    134	4.473627	     7000	1.469294	        4	58.400881	4.844061	-1348919.565297	-1401762.073380	-52842.508083
    135	4.489493	     7000	1.483006	        4	58.655475	4.978733	-1348888.088221	-1401767.959711	-52879.871490
    136	4.512446	     7000	1.493930	        4	58.546213	4.966926	-1348967.230198	-1401755.361773	-52788.131576
    137	4.389089	     7000	1.452539	        4	58.828773	5.036228	-1348663.699463	-1401729.537651	-53065.838188
    138	4.441808	     7000	1.481609	        2	58.659396	5.050201	-1348815.865087	-1401752.041713	-52936.176626
    139	4.454767	     7000	1.505443	        4	58.469121	5.065533	-1348822.527447	-1401796.988866	-52974.461420
    140	4.383394	     7000	1.469104	        4	58.798123	5.053856	-1348645.067082	-1401762.913652	-53117.846569
    141	4.486191	     7000	1.519989	        4	58.400900	5.210684	-1348845.800883	-1401737.132375	-52891.331491
    142	4.449536	     7000	1.508033	        5	58.929975	5.210684	-1348679.964059	-1401678.367506	-52998.403448
    143	4.516978	     7000	1.537739	        3	58.767172	5.421178	-1348907.480739	-1401723.828632	-52816.347893
    144	4.559043	     7000	1.547052	        2	59.008548	5.405149	-1349016.676731	-1401730.138753	-52713.462022
    145	4.475048	     7000	1.527214	        2	58.995368	5.405149	-1348881.333796	-1401752.223976	-52870.890180
    146	4.532482	     7000	1.546480	        4	58.819149	5.376243	-1348909.517952	-1401676.342410	-52766.824458
    147	4.532134	     7000	1.518313	        4	58.707996	5.376243	-1348987.926745	-1401683.634662	-52695.707917
    148	4.533178	     7000	1.541682	        4	58.899990	5.350988	-1348988.058563	-1401741.029949	-52752.971386
    149	4.544514	     7000	1.545631	        7	59.082735	5.350988	-1348990.077072	-1401692.656305	-52702.579233
    150	4.526326	     7000	1.537999	        4	58.848680	5.362308	-1348965.108475	-1401701.058024	-52735.949549
    151	4.505033	     7000	1.522883	        2	59.330750	5.169820	-1348980.435404	-1401740.102612	-52759.667208
    152	4.503861	     7000	1.534053	        2	58.849922	5.159129	-1348992.453215	-1401718.428102	-52725.974887
    153	4.624727	     7000	1.567754	        2	58.758464	5.161548	-1349113.008986	-1401646.684502	-52533.675516
    154	4.527712	     7000	1.505013	        5	58.498065	5.098125	-1348981.415240	-1401701.215644	-52719.800405
    155	4.464891	     7000	1.497799	        4	57.985641	5.075783	-1348914.009400	-1401737.889467	-52823.880067
    156	4.394751	     7000	1.472880	        7	58.140654	5.000041	-1348800.199505	-1401744.012209	-52943.812704
    157	4.449368	     7000	1.483268	        1	57.837663	4.981692	-1348859.131940	-1401732.204073	-52873.072133
    158	4.464764	     7000	1.488645	        1	57.921335	4.996449	-1348921.998123	-1401753.030375	-52831.032252
    159	4.452092	     7000	1.486318	        2	58.217775	4.981557	-1348872.857979	-1401744.906528	-52872.048549
    160	4.364661	     7000	1.473943	        2	58.373940	4.959775	-1348752.963234	-1401774.325063	-53021.361829
    161	4.326245	     7000	1.457170	        3	58.674804	4.968378	-1348650.699817	-1401797.371640	-53146.671823
    162	4.294825	     7000	1.440537	        3	58.188613	4.992749	-1348588.224158	-1401766.043143	-53177.818985
    163	4.318514	     7000	1.438672	        4	57.764155	5.115784	-1348605.063959	-1401792.958895	-53187.894936
    164	4.304404	     7000	1.440124	        7	57.686633	5.104357	-1348526.653846	-1401779.877001	-53253.223155
    165	4.244043	     7000	1.435242	        7	57.505574	5.095256	-1348347.823988	-1401799.325673	-53451.501685
    166	4.340623	     7000	1.478060	        4	57.298605	5.077803	-1348627.060528	-1401805.072777	-53178.012249
    167	4.375115	     7000	1.483891	        5	57.037044	5.095243	-1348601.341365	-1401713.643647	-53112.302282
    168	4.448980	     7000	1.523505	        4	57.403549	5.226297	-1348841.504148	-1401755.893891	-52914.389744
    169	4.384419	     7000	1.512370	        3	57.874217	5.422884	-1348672.254403	-1401765.556198	-53093.301795
    170	4.408273	     7000	1.525358	        3	57.795453	5.422884	-1348741.373905	-1401772.278192	-53030.904288
