iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	 0.130259	      150	 0.113705	        0	34.316490	-405945.047236	-406181.745725	236.698489
      1	 0.302035	      150	 0.207799	        0	34.402531	-327964.993269	-326564.302117	-1400.691152
      2	 0.581706	      150	 0.347918	        0	34.506726	-285182.637691	-281228.212531	-3954.425160
      3	 0.831410	      150	 0.402874	        0	34.417928	-261890.345597	-255623.384105	-6266.961492
      4	 1.050828	      150	 0.478865	        0	34.268094	-239925.030277	-231961.450555	-7963.579722
      5	 1.378436	      150	 0.547314	        0	34.227707	-223225.177092	-212873.361508	-10351.815584
      6	 1.623156	      150	 0.595942	        0	34.251194	-211422.593611	-198973.348597	-12449.245014
      7	 1.833924	      150	 0.633847	        0	34.095199	-203423.004096	-189857.512416	-13565.491681
      8	 1.898819	      150	 0.642499	        0	34.116121	-198776.148788	-184973.392545	-13802.756243
      9	 2.010951	      150	 0.654078	        0	34.193925	-194915.143061	-180211.504171	-14703.638890
     10	 2.069693	      150	 0.701203	        0	34.178867	-189275.663903	-174146.535394	-15129.128510
     11	 2.106049	      150	 0.712820	        0	34.194452	-187743.340140	-172322.946348	-15420.393792
     12	 2.138129	      150	 0.719610	        0	34.181676	-186287.613796	-170684.965365	-15602.648432
     13	 2.160022	      150	 0.728426	        0	34.083487	-182156.334767	-167177.259029	-14979.075738
     14	 2.236784	      150	 0.738091	        0	34.080144	-181076.033009	-165577.313689	-15498.719320
     15	 2.235818	      150	 0.740929	        0	33.928691	-179782.231493	-165228.841248	-14553.390245
     16	 2.340317	      150	 0.778305	        0	33.931868	-179306.824942	-164044.211899	-15262.613043
     17	 2.385473	      150	 0.785585	        0	33.878627	-178603.881938	-163325.976818	-15277.905121
     18	 2.415208	      150	 0.798985	        0	33.762006	-177473.317714	-162808.296628	-14665.021085
     19	 2.503594	      150	 0.817454	        0	33.670108	-176995.446731	-161797.948565	-15197.498166
     20	 2.584009	      150	 0.833049	        0	33.599500	-175069.307365	-160207.278670	-14862.028695
     21	 2.621349	      150	 0.843642	        0	33.597010	-173888.697422	-159435.563513	-14453.133909
     22	 2.739123	      150	 0.901069	        0	33.468386	-171925.727395	-157172.874277	-14752.853118
     23	 2.830300	      150	 0.938331	        0	33.427513	-171055.690445	-155764.943192	-15290.747253
     24	 2.923606	      150	 0.922743	        0	33.359820	-169618.919859	-154341.147855	-15277.772004
     25	 3.050714	      150	 0.960556	        0	33.283364	-168903.213544	-153338.647247	-15564.566297
     26	 3.131399	      150	 0.996666	        0	33.225480	-168319.915472	-152783.831918	-15536.083555
     27	 3.165010	      150	 1.043194	        0	33.114470	-167172.901307	-152359.358101	-14813.543206
     28	 3.206139	      150	 1.050625	        0	33.218307	-167050.708233	-152053.012279	-14997.695954
     29	 3.251567	      150	 1.067919	        0	33.274349	-166938.748875	-151708.928937	-15229.819938
     30	 3.315876	      150	 1.073007	        0	33.224825	-165613.206853	-150930.191981	-14683.014872
     31	 3.473942	      150	 1.100052	        0	33.186287	-164647.355921	-149941.666844	-14705.689077
     32	 3.523954	      150	 1.135031	        0	33.165188	-164580.337230	-149685.865245	-14894.471985
     33	 3.554643	      150	 1.151092	        0	33.104413	-164217.580185	-149486.790586	-14730.789599
     34	 3.578822	      150	 1.155514	        0	33.174302	-163864.731504	-149330.936570	-14533.794934
     35	 3.682986	      150	 1.181045	        0	33.159328	-163556.898363	-148560.392667	-14996.505697
     36	 3.729461	      150	 1.175750	        0	33.100476	-163450.516022	-148247.564396	-15202.951627
     37	 3.803812	      150	 1.197419	        0	32.991221	-162526.486024	-147728.061020	-14798.425004
     38	 3.889401	      150	 1.251153	        0	32.948217	-161735.306413	-147333.081451	-14402.224962
     39	 3.999662	      150	 1.266363	        0	32.943132	-161575.590499	-146750.476593	-14825.113906
     40	 4.097994	      150	 1.292587	        0	32.885330	-160913.040154	-146118.264974	-14794.775180
     41	 4.175840	      150	 1.328187	        0	32.851369	-159961.008872	-145597.237100	-14363.771771
     42	 4.272305	      150	 1.346142	        0	32.852986	-159793.531850	-145067.022014	-14726.509836
     43	 4.320807	      150	 1.369047	        0	32.832381	-159202.702346	-144845.181313	-14357.521033
     44	 4.394331	      150	 1.378503	        0	32.716950	-158226.160419	-144444.018871	-13782.141548
     45	 4.589505	      150	 1.463553	        0	32.650007	-157470.345480	-143660.344873	-13810.000607
     46	 4.686547	      150	 1.475104	        0	32.442226	-156814.015741	-143263.620433	-13550.395307
     47	 4.885164	      150	 1.542336	        0	32.474319	-156575.408030	-142395.089249	-14180.318781
     48	 5.052541	      150	 1.621333	        0	32.400735	-156528.231556	-141817.066477	-14711.165079
     49	 5.164366	      150	 1.653686	        0	32.332964	-156313.865708	-141302.526470	-15011.339238
     50	 5.218954	      150	 1.658048	        0	32.041348	-155438.836631	-141070.466323	-14368.370307
     51	 5.275030	      150	 1.687091	        0	32.003212	-154842.587156	-140831.246699	-14011.340457
     52	 5.362641	      150	 1.717535	        0	32.033174	-154731.566451	-140465.925825	-14265.640626
     53	 5.470108	      150	 1.741383	        0	31.940707	-154523.455503	-139971.924023	-14551.531480
     54	 5.597868	      150	 1.783646	        0	31.949932	-154282.181465	-139360.428146	-14921.753319
     55	 5.678586	      150	 1.810038	        0	31.963944	-154181.918804	-139058.394096	-15123.524708
     56	 5.834994	      150	 1.881870	        0	31.775700	-153140.433507	-138448.256834	-14692.176673
     57	 5.964029	      150	 1.899751	        0	31.796094	-153063.430641	-138039.001962	-15024.428679
     58	 6.189972	      150	 1.960389	        0	31.699012	-152810.617964	-137197.018353	-15613.599611
     59	 6.238985	      150	 1.980398	        0	31.776358	-152773.665882	-137026.214943	-15747.450939
     60	 6.251673	      150	 1.983180	        0	31.590988	-151969.679371	-136968.465100	-15001.214271
     61	 6.382810	      150	 2.004622	        0	31.708394	-151897.331676	-136580.580703	-15316.750973
     62	 6.494119	      150	 2.053936	        0	31.565121	-151495.209371	-136242.564382	-15252.644989
     63	 6.618898	      150	 2.089569	        0	31.580064	-151116.447279	-135868.194658	-15248.252622
     64	 6.730691	      150	 2.093702	        0	31.653701	-151009.078702	-135504.190477	-15504.888224
     65	 6.868981	      150	 2.133869	        0	31.570087	-150924.924032	-135121.363756	-15803.560276
     66	 6.827903	      150	 2.139664	        0	31.330713	-150156.597511	-135204.096275	-14952.501235
     67	 6.909892	      150	 2.153489	        0	31.298712	-149679.514048	-134957.457473	-14722.056575
     68	 7.030135	      150	 2.192746	        0	31.188133	-149310.986925	-134655.710924	-14655.276000
     69	 7.133112	      150	 2.204189	        0	31.171854	-149290.783906	-134402.342884	-14888.441022
     70	 7.187801	      150	 2.237218	        0	31.145162	-148902.117862	-134235.721347	-14666.396515
     71	 7.289180	      150	 2.253144	        0	30.937700	-147989.132858	-133917.455455	-14071.677404
     72	 7.525751	      150	 2.302724	        0	30.933924	-147910.461951	-133341.468530	-14568.993421
     73	 7.702983	      150	 2.371027	        0	30.988750	-147759.677445	-132885.260134	-14874.417311
     74	 7.789660	      150	 2.384333	        0	30.899932	-147736.800242	-132680.933925	-15055.866318
     75	 7.869142	      150	 2.427356	        0	30.860304	-147290.625364	-132478.830459	-14811.794905
     76	 8.078585	      150	 2.469760	        0	30.932575	-147238.525614	-131999.309557	-15239.216057
     77	 8.214259	      150	 2.512169	        0	30.906901	-147210.148030	-131694.056161	-15516.091869
     78	 8.318529	      150	 2.544647	        0	30.609952	-146401.169178	-131435.194142	-14965.975036
     79	 8.466764	      150	 2.568914	        0	30.403509	-145730.264741	-131042.998456	-14687.266285
     80	 8.512951	      150	 2.596504	        0	30.251935	-145718.977030	-130944.855150	-14774.121880
     81	 8.575473	      150	 2.635635	        0	30.134892	-145026.730213	-130685.144962	-14341.585250
     82	 8.679750	      150	 2.668817	        0	30.064108	-144967.136310	-130436.206562	-14530.929748
     83	 8.746422	      150	 2.691432	        0	29.747489	-144147.573649	-130305.107705	-13842.465944
     84	 8.919873	      150	 2.736985	        0	29.840912	-144041.803751	-129944.981720	-14096.822031
     85	 9.113329	      150	 2.823257	        0	29.816532	-144014.494548	-129585.452225	-14429.042324
     86	 9.180208	      150	 2.808502	        0	29.822465	-143954.449934	-129410.557004	-14543.892930
     87	 9.326875	      150	 2.860926	        0	29.708205	-143913.052676	-129117.288618	-14795.764058
     88	 9.468866	      150	 2.882393	        0	29.636234	-143826.709376	-128787.103608	-15039.605769
     89	 9.472972	      150	 2.888543	        0	29.289604	-142890.732392	-128587.759279	-14302.973114
     90	 9.794432	      150	 2.986228	        0	29.069748	-141989.321025	-127910.063302	-14079.257723
     91	 9.876655	      150	 2.999413	        0	28.716103	-141220.985861	-127765.413325	-13455.572536
     92	10.029452	      150	 3.001284	        0	28.421865	-140604.098252	-127513.515758	-13090.582494
     93	10.362218	      150	 3.097259	        0	28.179481	-140009.126875	-126939.603155	-13069.523721
     94	10.789770	      150	 3.247776	        0	27.878927	-139450.177541	-126245.008428	-13205.169113
     95	10.988035	      150	 3.300163	        0	27.888973	-139391.159930	-125921.599168	-13469.560762
     96	11.286633	      150	 3.374860	        0	27.427552	-138501.701744	-125454.691717	-13047.010028
     97	11.589819	      150	 3.449717	        0	27.378860	-138377.081788	-124986.847524	-13390.234265
     98	12.021893	      150	 3.565699	        0	27.463574	-138294.076358	-124360.866023	-13933.210335
     99	12.162980	      150	 3.635373	        0	27.401497	-138158.771227	-124099.681007	-14059.090221
    100	12.484015	      150	 3.709942	        0	27.223770	-137635.157670	-123648.921333	-13986.236337
    101	12.709498	      150	 3.755303	        0	27.210942	-137553.456947	-123293.486603	-14259.970344
    102	13.002536	      150	 3.794816	        0	26.740658	-136582.881515	-122837.893763	-13744.987752
    103	13.204152	      150	 3.887227	        0	26.362863	-135883.596348	-122529.422842	-13354.173506
    104	13.453395	      150	 3.943817	        0	25.754106	-134990.624007	-122194.049970	-12796.574037
    105	13.803116	      150	 4.050441	        0	25.650766	-134899.821193	-121740.822930	-13158.998262
    106	14.028069	      150	 4.135720	        0	25.398104	-134471.695576	-121476.798271	-12994.897305
    107	14.555920	      150	 4.242018	        0	24.934734	-133620.146053	-120786.066492	-12834.079561
    108	14.725460	      150	 4.310977	        0	24.685699	-133184.890487	-120578.839684	-12606.050803
    109	14.947013	      150	 4.366582	        0	24.584364	-133151.067084	-120338.353931	-12812.713152
    110	15.184079	      150	 4.417215	        0	24.342222	-132726.720496	-120025.447392	-12701.273104
    111	15.372355	      150	 4.515879	        0	23.863078	-132072.493858	-119794.710699	-12277.783159
    112	15.903508	      150	 4.662148	        0	23.968572	-131994.461655	-119253.768973	-12740.692682
    113	16.353862	      150	 4.717402	        0	23.495809	-131498.868249	-118808.114241	-12690.754008
    114	16.710230	      150	 4.813989	        0	23.538876	-131429.174730	-118437.584745	-12991.589985
    115	17.202171	      150	 4.948709	        0	23.508973	-131367.670856	-117960.797128	-13406.873728
    116	17.538716	      150	 5.014755	        0	22.867052	-130562.834695	-117617.980982	-12944.853713
    117	17.654174	      150	 5.019655	        0	22.603098	-130139.686776	-117384.991544	-12754.695232
    118	17.967660	      150	 5.126308	        0	22.402920	-129755.295696	-117044.997549	-12710.298146
    119	18.353866	      150	 5.260852	        0	21.811564	-129163.405992	-116701.277002	-12462.128990
    120	18.518695	      150	 5.251913	        0	21.883333	-129116.092771	-116561.115990	-12554.976781
    121	18.890364	      150	 5.359219	        0	21.159590	-128293.563563	-116234.373827	-12059.189736
    122	19.395751	      150	 5.502826	        0	21.063461	-128135.354466	-115724.488993	-12410.865473
    123	19.948244	      150	 5.646545	        0	21.090989	-127988.220611	-115246.659719	-12741.560892
    124	20.206319	      150	 5.698730	        0	20.771401	-127619.073563	-115042.597476	-12576.476087
    125	20.366227	      150	 5.715795	        0	20.782157	-127578.741122	-114894.180083	-12684.561039
    126	20.570192	      150	 5.743805	        0	20.349164	-127247.072006	-114737.469863	-12509.602143
    127	21.155443	      150	 5.873391	        0	19.650269	-126457.849822	-114242.811530	-12215.038292
    128	21.643530	      150	 5.971789	        0	19.593650	-126364.997201	-113873.519561	-12491.477640
    129	21.957539	      150	 6.055264	        0	19.586419	-126342.186935	-113653.956256	-12688.230679
    130	21.941570	      150	 6.051544	        0	19.562304	-126338.381798	-113660.157517	-12678.224281
    131	22.049199	      150	 6.056780	        0	19.565605	-126330.093721	-113584.430787	-12745.662934
    132	22.460901	      150	 6.178700	        0	18.860568	-125721.649132	-113275.212953	-12446.436179
    133	22.544611	      150	 6.160660	        0	17.723838	-124831.577254	-113196.844039	-11634.733215
    134	23.036426	      150	 6.276849	        0	16.956143	-124256.225835	-112872.437656	-11383.788180
    135	23.566041	      150	 6.417102	        0	16.266517	-123748.227220	-112505.302636	-11242.924584
    136	24.000561	      150	 6.494798	        0	16.242594	-123692.877272	-112223.430544	-11469.446728
    137	24.598426	      150	 6.635902	        0	16.266630	-123623.515399	-111842.392082	-11781.123317
    138	25.104158	      150	 6.776005	        0	16.177387	-123540.940747	-111548.730209	-11992.210538
    139	25.124866	      150	 6.751743	        0	16.143921	-123511.827586	-111508.865350	-12002.962237
    140	25.493152	      150	 6.877984	        0	16.289106	-123493.667852	-111299.492413	-12194.175438
    141	25.888102	      150	 6.977646	        0	15.395011	-122884.685219	-111070.788466	-11813.896754
    142	26.312979	      150	 7.109841	        0	14.545203	-122282.485919	-110831.538178	-11450.947741
    143	26.704427	      150	 7.205979	        0	12.971875	-121347.769952	-110577.533207	-10770.236744
    144	27.650291	      150	 7.379440	        0	11.888379	-120710.264563	-110105.935004	-10604.329559
    145	28.481883	      150	 7.492422	        0	11.827205	-120549.097082	-109618.265889	-10930.831193
    146	29.306129	      150	 7.653202	        0	11.744621	-120459.815853	-109219.878235	-11239.937618
    147	29.677906	      150	 7.764953	        0	11.675596	-120377.413097	-108982.082031	-11395.331066
    148	30.166985	      150	 7.907353	        0	 9.872140	-119457.779106	-108748.722098	-10709.057008
    149	30.636155	      150	 8.010789	        0	 9.881828	-119428.448462	-108537.315518	-10891.132944
    150	31.424640	      150	 8.136620	        0	 9.011285	-118897.688589	-108090.334826	-10807.353762
    151	31.934973	      150	 8.272493	        0	 7.925320	-118388.193600	-107827.986362	-10560.207238
    152	32.615110	      150	 8.446068	        0	 7.808922	-118284.823483	-107514.017707	-10770.805777
    153	33.218570	      150	 8.566290	        0	 7.866096	-118253.484764	-107265.128833	-10988.355931
    154	34.023538	      150	 8.694115	        0	 7.236520	-117998.755548	-106932.293727	-11066.461821
    155	34.482993	      150	 8.772764	        0	 7.203978	-117970.684254	-106741.486383	-11229.197871
    156	34.781740	      150	 8.720262	        0	 6.129732	-117522.535526	-106595.662699	-10926.872827
    157	35.116108	      150	 8.764684	        0	 6.147272	-117438.333170	-106397.001948	-11041.331222
    158	35.511306	      150	 8.907032	        0	 6.063655	-117381.517395	-106242.343819	-11139.173576
    159	35.711615	      150	 8.955782	        0	 4.477741	-116773.707771	-106147.885879	-10625.821892
    160	36.440904	      150	 9.100883	        0	 2.753607	-116118.686351	-105875.564834	-10243.121517
    161	37.163372	      150	 9.242475	        0	 2.742637	-116083.727175	-105618.431056	-10465.296119
    162	37.637750	      150	 9.418836	        0	 1.366902	-115559.091461	-105447.308006	-10111.783455
    163	38.264376	      150	 9.508289	        0	 1.281380	-115533.045052	-105236.986271	-10296.058781
    164	38.970643	      150	 9.585537	        0	 0.574095	-115227.928516	-104974.424635	-10253.503882
    165	39.305809	      150	 9.634903	        0	 0.552107	-115212.880710	-104868.875121	-10344.005589
    166	39.033074	      150	 9.618102	        0	-0.283090	-114803.630025	-104784.261944	-10019.368081
    167	39.483999	      150	 9.689182	        0	-2.508692	-113944.979386	-104452.156500	-9492.822885
    168	39.840077	      150	 9.844730	        0	-2.406644	-113881.868085	-104294.954395	-9586.913690
    169	40.440943	      150	 9.984551	        0	-4.295693	-113372.378326	-104115.622407	-9256.755919
    170	41.114820	      150	10.058945	        0	-6.246382	-112832.849795	-103891.769287	-8941.080508
    171	41.513197	      150	10.152587	        0	-6.585609	-112741.420671	-103758.755142	-8982.665529
    172	42.228585	      150	10.221098	        0	-6.565810	-112718.006081	-103564.599719	-9153.406363
    173	42.803287	      150	10.428657	        0	-9.132548	-111996.032658	-103279.104966	-8716.927692
    174	43.547330	      150	10.563185	        0	-9.114145	-111909.209497	-103024.826604	-8884.382893
    175	44.171180	      150	10.640600	        0	-9.102426	-111892.985145	-102868.197974	-9024.787171
    176	45.018527	      150	10.802532	        0	-11.194724	-111386.893680	-102615.346692	-8771.546988
    177	45.982989	      150	10.929661	        0	-11.450676	-111265.806982	-102318.236712	-8947.570270
    178	46.414709	      150	11.059913	        0	-13.384565	-110817.201151	-102195.558142	-8621.643009
    179	46.885894	      150	11.149330	        0	-13.503751	-110766.874145	-102048.544896	-8718.329249
    180	47.997718	      150	11.310670	        0	-16.040907	-110244.604630	-101782.046474	-8462.558156
    181	49.193992	      150	11.480681	        0	-16.318481	-110193.290879	-101528.278884	-8665.011995
    182	49.736593	      150	11.554882	        0	-18.599078	-109709.292455	-101350.544967	-8358.747488
    183	50.328154	      150	11.585653	        0	-18.624608	-109700.849682	-101232.125390	-8468.724292
    184	50.616851	      150	11.701048	        0	-18.703739	-109682.667486	-101160.271678	-8522.395808
    185	51.295298	      150	11.846466	        0	-18.829422	-109639.194481	-101007.951218	-8631.243263
    186	51.739333	      150	11.903943	        0	-18.830067	-109616.781793	-100903.140121	-8713.641672
    187	51.940174	      150	12.024743	        0	-18.899990	-109588.273070	-100837.361911	-8750.911159
    188	52.644825	      150	12.068192	        0	-19.151182	-109496.502677	-100634.625849	-8861.876828
    189	52.717816	      150	12.107015	        0	-20.575159	-109230.803692	-100625.218772	-8605.584920
    190	52.992266	      150	12.185116	        0	-23.112643	-108791.326997	-100557.588577	-8233.738420
    191	53.604142	      150	12.308496	        0	-23.138312	-108770.184887	-100431.260519	-8338.924368
    192	54.192002	      150	12.392517	        0	-25.541528	-108380.942838	-100301.134971	-8079.807867
    193	54.582393	      150	12.465000	        0	-25.554326	-108338.101276	-100212.250689	-8125.850587
    194	55.380656	      150	12.620945	        0	-28.749515	-107863.406704	-100048.118447	-7815.288257
    195	56.389328	      150	12.878461	        0	-29.163827	-107792.366925	-99853.744294	-7938.622631
    196	56.562094	      150	12.895518	        0	-29.060030	-107781.501677	-99815.917134	-7965.584544
    197	57.283395	      150	13.080807	        0	-29.253907	-107687.707031	-99650.187067	-8037.519964
    198	57.905220	      150	13.197501	        0	-32.682822	-107141.708594	-99441.542839	-7700.165754
    199	58.174382	      150	13.249033	        0	-32.583719	-107117.162195	-99377.237347	-7739.924848
    200	58.385481	      150	13.304621	        0	-32.604576	-107112.765779	-99341.658669	-7771.107110
    201	59.129872	      150	13.437309	        0	-35.582367	-106735.684121	-99211.718192	-7523.965930
    202	59.464325	      150	13.504384	        0	-37.517482	-106486.967595	-99146.490238	-7340.477357
    203	59.860610	      150	13.653415	        0	-40.540518	-106024.990444	-98946.118002	-7078.872442
    204	60.602521	      150	13.832095	        0	-43.039331	-105767.818330	-98838.500823	-6929.317507
    205	61.594775	      150	13.991348	        0	-47.531620	-105252.898925	-98622.504520	-6630.394404
    206	62.725085	      150	14.206379	        0	-50.869710	-104932.864583	-98457.466856	-6475.397727
    207	63.499565	      150	14.287984	        0	-50.905959	-104907.585407	-98342.142480	-6565.442927
    208	65.021269	      150	14.488298	        0	-51.149789	-104662.638400	-97950.116085	-6712.522315
    209	66.270299	      150	14.707357	        0	-51.111017	-104542.861691	-97685.705428	-6857.156263
