,hm_data_likelihood,hyp_gene_likelihood,root,ref_gene_likelihood,rbf_ratio
0,15483.260746255424,3997.710196879611,3115.628142976087,3115.628142976087,-882.082053903524
1,14957.645094841393,3979.2581163860013,3018.6160863207115,3018.6160863207115,-960.6420300652899
2,14727.782236041705,4011.668638286751,3085.2636009126422,3085.2636009126422,-926.4050373741088
3,14585.888598763326,4036.5147681447297,3068.731184337679,3068.731184337679,-967.7835838070505
4,14478.79998823986,4009.4420162692404,2990.967941637714,2990.967941637714,-1018.4740746315265
5,14452.782687321807,3994.4358333070295,2875.744612939431,2875.744612939431,-1118.6912203675984
6,14384.459791353418,3985.7250973925316,2820.5305869608715,2820.5305869608715,-1165.19451043166
7,14357.946227015336,4017.2033962475643,2966.2418515188074,2966.2418515188074,-1050.961544728757
8,14351.173010091803,3963.602845898214,2682.3865044987588,2682.3865044987588,-1281.2163413994554
9,14341.962990095122,3994.2769132440694,2745.5287405602485,2745.5287405602485,-1248.748172683821
10,14346.396572671716,3994.784202256419,2641.280198475282,2641.280198475282,-1353.5040037811373
11,14348.563404686376,3997.804464372848,2736.154354176184,2736.154354176184,-1261.6501101966642
12,14338.25836081934,4003.1408514156315,2840.907408323104,2840.907408323104,-1162.2334430925275
13,14337.917365024312,4034.49284186125,2899.576067887544,2899.576067887544,-1134.9167739737059
14,14330.937093931607,4006.3094585750587,2752.742974691804,2752.742974691804,-1253.5664838832545
15,14329.677920164575,4019.4996337449797,2764.148479428591,2764.148479428591,-1255.3511543163886
16,14327.684967330279,4000.822427144529,2730.914187588114,2730.914187588114,-1269.9082395564146
17,14331.241272029643,4003.630519247044,2767.025287881529,2767.025287881529,-1236.605231365515
18,14329.812931315199,4023.560387126293,2882.599073637308,2882.599073637308,-1140.961313488985
19,14321.381846502656,3999.6259021840924,2761.1943073549064,2761.1943073549064,-1238.431594829186
20,14323.751152975088,3999.9444825525666,2818.839786716345,2818.839786716345,-1181.1046958362217
21,14311.56521078891,3994.128735055889,2832.4832784887267,2832.4832784887267,-1161.6454565671625
22,14302.346237386337,3980.704936750224,2698.787749478503,2698.787749478503,-1281.917187271721
23,14305.001006000944,4002.7320559646223,2857.0187945835714,2857.0187945835714,-1145.7132613810509
24,14307.08791668115,3986.4408546429013,2845.072403482317,2845.072403482317,-1141.3684511605843
25,14295.7049420318,3996.054108556942,2917.0602192713077,2917.0602192713077,-1078.9938892856344
26,14308.140179765312,4003.865963166317,2925.6830358166644,2925.6830358166644,-1078.1829273496528
27,14300.863843126406,4014.0445775047983,2891.132492548836,2891.132492548836,-1122.9120849559622
28,14301.971246154673,4008.0318716227557,2842.490059535545,2842.490059535545,-1165.541812087211
29,14305.508254850722,3941.5106298504197,2700.680079801169,2700.680079801169,-1240.8305500492506
30,14305.370261417753,4033.865351099376,2950.2467457494995,2950.2467457494995,-1083.6186053498764
31,14305.915742000081,4045.3646551710126,2999.271313626823,2999.271313626823,-1046.0933415441896
32,14308.10444121618,4027.971252815413,2862.7263249403068,2862.7263249403068,-1165.2449278751064
33,14305.664267260789,4010.7629475899053,2756.9148660054175,2756.9148660054175,-1253.8480815844878
34,14312.139401278466,4015.7940340692667,2757.28458316284,2757.28458316284,-1258.5094509064265
35,14311.122837261595,4040.5369351241857,2786.9316961332447,2786.9316961332447,-1253.605238990941
36,14317.453153125918,4022.228366248561,2755.1340519892374,2755.1340519892374,-1267.0943142593237
37,14317.47705303746,3985.9874680008993,2657.191265795082,2657.191265795082,-1328.7962022058173
38,14315.980031922605,4010.84064637147,2674.1085583220656,2674.1085583220656,-1336.7320880494044
39,14308.81404372973,3983.651971069903,2669.3572605848235,2669.3572605848235,-1314.2947104850796
40,14307.033256978286,3959.5153910019303,2662.962586114961,2662.962586114961,-1296.5528048869692
41,14312.113567666154,3983.8083240736837,2774.7692329612537,2774.7692329612537,-1209.03909111243
42,14304.485020207678,3933.9678620759164,2617.9857835874427,2617.9857835874427,-1315.9820784884737
43,14305.420412039617,3959.0493155598942,2737.7860813237885,2737.7860813237885,-1221.2632342361057
44,14303.908741449157,3950.770939712421,2659.281286345881,2659.281286345881,-1291.4896533665396
45,14308.984995083809,3958.518701619671,2622.2073929246117,2622.2073929246117,-1336.3113086950593
46,14311.476069699867,4010.317486364322,2876.395749687107,2876.395749687107,-1133.921736677215
47,14316.34336291904,3992.157386770756,2846.124177889348,2846.124177889348,-1146.033208881408
48,14309.063222993447,3971.0352591541237,2800.5766009017343,2800.5766009017343,-1170.4586582523893
49,14307.0914839841,3985.053726750588,2832.993863054372,2832.993863054372,-1152.0598636962159
50,14302.966332990536,3975.364971930247,2750.995412088033,2750.995412088033,-1224.3695598422141
51,14305.80952237086,3974.1992181253054,2809.123376700636,2809.123376700636,-1165.0758414246693
52,14296.021824507814,3964.0983606324726,2805.077019934207,2805.077019934207,-1159.0213406982657
53,14300.64864428475,3939.4162433230144,2795.4218633446,2795.4218633446,-1143.9943799784146
54,14296.462962678088,3909.512604849136,2693.55547079237,2693.55547079237,-1215.9571340567659
55,14301.223021114609,3890.4396265740147,2586.0578528239184,2586.0578528239184,-1304.3817737500963
56,14298.767230508096,3909.372410990489,2659.4993258775503,2659.4993258775503,-1249.8730851129385
57,14303.57193756451,3893.0761425853475,2543.537247880111,2543.537247880111,-1349.5388947052365
58,14303.38519550865,3913.5750940144976,2615.634864192397,2615.634864192397,-1297.9402298221007
59,14301.081400961588,3909.1736858465083,2494.027942459574,2494.027942459574,-1415.145743386934
60,14297.403985628689,3912.765741552471,2442.6216754067045,2442.6216754067045,-1470.1440661457664
