,hm_data_likelihood,hyp_gene_likelihood,A__pop,B__pop,AB__pop,C__pop,ABC__pop,D__pop,root__pop,D->B,ref_gene_likelihood,rbf_ratio
0,1406997.1304990083,61393.27117844765,888.6865543591564,907.8770009028694,3466.798957075464,1326.1375768716252,27768.989218672745,5278.034377792146,21759.04132082277,,61395.56500649677,2.2938280491216574
1,1405234.2697732355,61539.14582916163,918.2050133614171,858.158647321287,3550.0142724773596,1364.7681060595146,28202.376663001396,5453.321477338008,21183.815489386136,8.486160235348937,61539.14582918047,1.883745426312089e-08
2,1404220.0431115525,61276.62703990986,928.4686297821403,827.8035238622267,3267.0623458533755,1305.5163600968078,28565.182965365486,4918.1485400451065,21461.347187251533,3.097487656612406,61276.627039913285,3.4269760362803936e-09
3,1403846.2029194278,61230.57498075974,855.7136384634849,834.4700007640265,3220.9538279030808,1128.8572942793137,28322.633336875388,4611.969728992919,22252.909417225717,3.0677362730200914,61230.574980776946,1.7207639757543802e-08
4,1403355.8917690036,60774.117190366145,1003.4401857051276,1227.5330851745034,2911.8065825104945,1206.8721892301667,27876.011022929768,4629.421661268346,21910.582650006392,8.449813560756283,60774.11719038556,1.941225491464138e-08
5,1403110.6968020904,60487.56321627974,825.9299449473137,953.4534833208044,3032.5017197327275,1118.1476176896672,28606.01736760666,4572.766650094347,21370.31880091494,8.427631962735658,60487.56321626919,-1.0550138540565968e-08
6,1402951.579205695,60682.84272145971,775.6708727392261,1126.0228817847087,2924.2406538696655,1275.8865478436358,28651.82680679885,4764.511938622256,21161.575365695116,3.1076541059831433,60682.84272145945,-2.6193447411060333e-10
7,1402863.239172403,60676.90553293983,866.2640981948647,1023.9140676939703,2983.3856338775863,1178.2282730601771,28563.662543244875,4458.618830392925,21594.608644880394,8.223441582624584,60676.90553292741,-1.2420059647411108e-08
8,1402732.9057959248,60451.58983228378,1103.8611539970034,1074.830283308074,2578.487828091629,1237.093871533606,28492.90451175401,4394.650890334865,21545.43955522327,24.321738022742494,60451.58983226521,-1.8575519789010286e-08
9,1402700.137749475,60351.63154619678,1064.8761170760326,963.5910104393466,2456.4126245004154,1255.9328248560155,28660.939716753983,4522.634860112015,21408.342890014515,18.90150242855436,60351.631546180884,-1.5897967386990786e-08
10,1402631.5115935772,60161.74970607599,1043.8891559897188,1074.085482411212,2366.3677972797914,1187.4300602547055,28547.13675910547,4604.248730128925,21308.978454148753,29.61326676005649,60161.749706078626,2.6338966563344e-09
11,1402541.6061563494,59842.11190095288,1083.7240507101853,1012.1239121347897,2454.6543089178654,961.4435300066091,28174.56586143917,4360.769442502273,21775.903601237806,18.927193994518245,59842.11190094321,-9.669747669249773e-09
12,1402469.107455297,59729.243141808554,894.0273833679705,1063.9163782561902,2670.6830868756942,1284.8749231319432,27645.438655740472,4386.056900192089,21786.746078734122,-2.5002644904900526,59729.243141807994,-5.602487362921238e-10
13,1402393.1410499578,59466.97528228815,804.3528811546906,831.1668953883571,2923.936445973283,1244.707285669167,27098.165948263897,4331.951482087116,22224.50790094845,8.186442793331496,59466.975282278305,-9.844370651990175e-09
14,1402396.300060228,59306.41920950587,1004.2693998936517,1043.5012760948675,2915.2538550648173,1323.3393232127053,26578.450591472818,4227.370847357456,22195.545725920198,18.68819047567546,59306.41920949219,-1.367880031466484e-08
15,1402288.6134147064,58886.68665471326,1113.815067613906,1154.3113507519754,3415.544799215548,1321.4388542983913,25106.331741734975,4306.67680493762,22465.8642075586,2.7038285985376036,58886.68665470956,-3.6961864680051804e-09
16,1402330.9290090725,58777.231132600464,833.4677671373431,1204.5519579569318,2932.4257506375498,1420.3973184457623,25734.154050484696,4018.811072572854,22630.741106028534,2.6821093294225227,58777.231132593086,-7.377821020781994e-09
17,1402267.473271288,58818.08928491013,1312.4854731869145,1044.4943935793344,3000.9289919206176,1269.3902249431953,25888.521983690553,4089.842736004849,22177.679573120484,34.74590844211049,58818.08928488806,-2.206797944381833e-08
18,1402263.457799531,58604.41139760241,1094.1039039285367,1022.5061410176626,3303.218179293587,1278.261382761484,25270.371185081778,4066.053017031479,22556.582700352,13.314888116517064,58604.41139758305,-1.9361323211342096e-08
19,1402238.1947613053,58477.15796799187,893.8745191851717,1082.6145692768525,2990.0812542902117,1075.3534425164569,25842.421494504197,4028.8293672661293,22545.357765627152,18.625555306542772,58477.157967972715,-1.915759639814496e-08
20,1402266.5773821336,58486.817798628945,1033.575515124561,1071.8587889671335,3105.5294450059673,1316.5301769797566,25514.728816941762,4189.948705392936,22241.330932782254,13.315417446674115,58486.817798641045,1.2099917512387037e-08
21,1402232.5627969832,58586.36941233087,1092.4996933443263,1092.9462595989835,3413.757657472419,1065.0556503586592,25489.701158661795,3771.448107549187,22647.65358721558,13.307298131689873,58586.369412332635,1.7680577002465725e-09
22,1402195.882209108,58289.5660396493,1194.116700719197,1083.965755394989,2931.176488007839,1282.7734832702213,24880.282015653826,3725.645120618613,23178.479610129485,13.12686587181309,58289.56603966598,1.6683770809322596e-08
23,1402187.1793129086,58036.795644234844,1123.1778433444317,1103.2491565400637,2983.0594063441013,1049.198951718146,24701.312606569536,4002.967737962319,23050.054969569068,23.774972221575798,58036.795644269245,3.440072759985924e-08
24,1402146.4336797083,57984.47210008604,1193.6137758296518,1163.1910497266738,2806.114806565624,1202.7712496226718,24686.79704379194,3750.101393979535,23158.078996807457,23.80378380255699,57984.47210012611,4.007597453892231e-08
