iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	 0.111415	      150	 0.071738	        0	32.612206	-421656.323107	-422279.571192	623.248085
      1	 0.318404	      150	 0.216328	        0	32.544296	-360452.653029	-359086.646270	-1366.006759
      2	 0.448602	      150	 0.263761	        0	32.544296	-330890.283728	-328256.745992	-2633.537736
      3	 0.454029	      150	 0.265390	        0	32.477239	-310904.198646	-308394.918126	-2509.280520
      4	 0.639138	      150	 0.341534	        0	32.302770	-292411.336855	-288247.104943	-4164.231912
      5	 0.725279	      150	 0.383489	        0	32.208144	-282546.963786	-277639.800764	-4907.163023
      6	 0.832120	      150	 0.409402	        0	32.088668	-274286.215832	-268771.463341	-5514.752491
      7	 0.840174	      150	 0.412107	        0	31.978678	-270891.803872	-265567.556659	-5324.247213
      8	 0.870831	      150	 0.435732	        0	31.954026	-264087.771084	-258535.107192	-5552.663892
      9	 0.911602	      150	 0.452089	        0	31.910788	-255979.321674	-250110.593736	-5868.727938
