,logPrior,time_stats,num_coal,theta_root,P_Z_M,P_Z_M0
237,-227.90249900000003,78.304666,150,0.014612318,-4635.017372,-4620.956427085909
238,-233.15322700000002,79.782837,150,0.015196109999999999,-4535.828295,-4518.235047859056
239,-232.764288,81.426909,150,0.015196109999999999,-4645.855724,-4626.42536761852
240,-229.14593,82.013003,150,0.015196109999999999,-4687.779518,-4664.994053946798
241,-226.526369,82.876754,150,0.015239766,-4732.6792479999995,-4706.641578066679
242,-237.73427900000002,83.619975,150,0.015899578,-4560.017681,-4534.066026121113
243,-249.846948,84.404928,150,0.016510049,-4416.169036,-4392.796628843594
244,-255.86881499999998,85.891902,150,0.017397737,-4255.187304,-4225.273947320504
245,-256.45124,86.987643,150,0.01776933,-4219.435719,-4186.866864364461
246,-256.480887,87.963461,150,0.018285636,-4146.390999,-4106.3043745958485
247,-257.790753,88.867995,150,0.018361242,-4175.3336899999995,-4136.378263894226
248,-262.914988,90.317419,150,0.019189806,-4054.861264,-4009.5526245955434
249,-272.25566000000003,91.171873,150,0.019657239,-3986.3673799999997,-3944.7128007404012
250,-281.14119900000003,90.715401,150,0.020663036,-3750.582212,-3704.3427422946816
251,-279.759032,91.293526,150,0.020663036,-3779.944623,-3732.3214478440505
252,-284.141884,91.982724,150,0.020663036,-3808.197321,-3765.6755977376088
253,-298.191998,92.954642,150,0.021953269,-3602.6991009999997,-3557.407068614199
254,-302.56699100000003,93.250685,150,0.02277773,-3472.544864,-3422.6732261907487
255,-310.184307,94.914671,150,0.023699329,-3393.22518,-3339.6334693553235
256,-314.55206,95.868448,150,0.024402545,-3325.664882,-3267.692731221104
257,-326.502452,96.951203,150,0.025374347000000002,-3223.191009,-3165.7608259044646
258,-324.229415,97.344736,150,0.025374347000000002,-3242.158589,-3181.2699146703744
259,-328.114281,98.439212,150,0.025374347000000002,-3280.272096,-3224.4030837722235
260,-342.732837,99.95390400000001,150,0.026672622,-3158.228415,-3099.844782168908
261,-347.11674,101.292731,150,0.027525049000000003,-3102.437394,-3037.1491069936283
262,-362.735447,102.366517,150,0.028864601,-2978.035118,-2910.6949967416626
263,-368.626294,103.478865,150,0.028944795,-3002.6196449999998,-2939.715438863545
264,-371.775006,104.565122,150,0.029016442,-3027.439816,-2968.694742671209
265,-374.23123300000003,105.143111,150,0.029390776,-3004.724835,-2944.385440818573
266,-385.601579,105.54349099999999,150,0.03052781,-2891.644139,-2829.9503013348403
267,-392.013095,106.93828300000001,150,0.030962922000000004,-2889.117916,-2828.5361382870187
268,-393.548661,108.396248,150,0.031011233,-2929.854822,-2870.4036461679634
269,-396.859058,109.530308,150,0.031011233,-2963.903282,-2906.972975739606
270,-402.024445,109.74190800000001,150,0.031117789,-2956.373669,-2902.193064588733
271,-401.192674,109.90247099999999,150,0.031200535,-2954.5431280000003,-2898.384612472096
272,-397.7122,110.38526399999999,150,0.031200535,-2973.73303,-2913.858481750299
273,-410.340304,111.424318,150,0.031805237,-2937.4006440000003,-2882.1416982291867
274,-414.54037,112.268828,150,0.032508765,-2893.922803,-2835.5851889918195
275,-416.109451,113.342177,150,0.032621598,-2915.8708850000003,-2857.062836674725
276,-432.720038,113.488358,150,0.033824855,-2798.861977,-2743.220496069847
277,-435.219753,114.880581,150,0.033938967,-2829.245121,-2773.4660466082432
278,-449.615175,116.610348,150,0.035504574,-2738.38315,-2679.689220693246
279,-450.06138300000003,118.04629299999999,150,0.035677714,-2765.562286,-2704.727889708017
280,-450.380005,118.06551699999999,150,0.035677714,-2765.968142,-2705.2667134678577
281,-460.761138,117.993751,150,0.037099574999999996,-2648.049191,-2582.3664472803794
282,-458.860442,118.027635,150,0.037172926,-2646.591648,-2577.298444985062
283,-474.70763200000005,117.166795,150,0.038889707,-2495.7222460000003,-2421.771135393956
284,-475.448829,117.24278500000001,150,0.038889707,-2496.477217,-2423.7251228590712
285,-497.935449,118.300836,150,0.040990272999999994,-2377.720355,-2302.9357969034854
286,-500.036336,118.556595,150,0.041125476,-2373.115904,-2300.160568472718
287,-513.914792,119.18862299999999,150,0.042276179000000004,-2313.462799,-2240.783806174677
288,-524.847492,120.068001,150,0.043204911,-2275.142532,-2203.7937091193526
289,-527.1568440000001,120.981348,150,0.043790092999999995,-2265.122875,-2189.531904747314
290,-545.187753,122.03740800000001,150,0.0449817,-2217.412287,-2143.8486973810086
291,-546.897156,122.69836399999998,150,0.0449817,-2230.779356,-2158.5425840060134
292,-546.822757,122.95320500000001,150,0.0449817,-2237.4755649999997,-2164.20802128384
293,-551.7062080000001,123.052022,150,0.0449817,-2238.333525,-2166.404847993368
294,-555.3011650000001,123.831023,150,0.045010164000000005,-2249.1374920000003,-2182.0769921644332
295,-557.955116,123.41590900000001,150,0.045071165999999996,-2235.305097,-2169.3463490236836
296,-569.795641,124.07878000000001,150,0.046720702,-2163.246744,-2092.248635925599
297,-571.843796,125.07473200000001,150,0.046913582,-2175.258698,-2103.1772714930325
298,-567.62942,125.020726,150,0.046913582,-2177.3766969999997,-2102.0260910097345
299,-575.4755349999999,125.43513200000001,150,0.048243245000000004,-2123.4013809999997,-2041.3588665093635
300,-574.308272,125.63940600000001,150,0.048243245000000004,-2128.713868,-2045.593117335567
301,-575.5696690000001,125.69004,150,0.048243245000000004,-2128.153681,-2046.6426735998689
302,-572.376942,125.9076,150,0.048243245000000004,-2136.629719,-2051.1523204944756
303,-595.284925,126.22758999999999,150,0.050532034,-2033.090596,-1946.2274345155552
304,-613.490459,127.095625,150,0.052299832000000004,-1971.1747,-1883.5480841012509
305,-610.1022929999999,126.804483,150,0.052299832000000004,-1969.0551260000002,-1877.9812975769655
306,-631.286696,127.109077,150,0.054187404,-1894.5033399999998,-1804.4629704524714
307,-658.95391,127.82373700000001,150,0.05712737,-1797.2900339999999,-1704.1789533682686
308,-657.080026,126.800604,150,0.05712737,-1781.070499,-1686.2692718968478
309,-660.193238,127.679074,150,0.05737762799999999,-1787.4442350000002,-1692.5542146641683
310,-658.667601,128.873467,150,0.05762094499999999,-1805.562096,-1704.5208487099758
311,-661.14285,129.276198,150,0.05782580799999999,-1805.0642899999998,-1704.094117048484
312,-666.210762,129.865289,150,0.05782580799999999,-1810.00147,-1714.2814541627358
313,-679.857175,130.856741,150,0.059010654,-1782.7469489999999,-1689.0327662911086
