iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	
0	0.01151949931539861769758115173090118	64	0.01008392391814086873347289241564795	62	0.12499427188275485933743880195834208	150	0.01151949931539861596285767575409409	64	0.01008392391814087567236679632287633	62	0.07648324053754713969244249938128632	24	
1	0.01509986402152981715962809516895504	60	0.01331334197703169623661079157272980	61	0.30646969868483603383069180381426122	150	0.01509986402152981889435157114576214	60	0.01331334197703170317550469547995817	61	0.24348786907101821475052361165580805	29	
2	0.01811582391370777922467993903410388	58	0.01850140360707949044316578124380612	60	0.44084607936584824239290014702419285	150	0.01811582391370778616357384294133226	58	0.01850140360707950085150663710464869	60	0.36045823057278925105606504075694829	32	
3	0.02075569511143988618573352766816242	59	0.02057748538667741877716821363719646	60	0.44290232823912945026023635364254005	150	0.02075569511143989659407438352900499	59	0.02057748538667744306329687731249578	60	0.35239453407923204686369444971205667	31	
4	0.02503458981240998942885411793213279	57	0.02377068841741164853531564915556373	56	0.49277542973230437084453114948701113	150	0.02503458981241000677608887770020374	57	0.02377068841741167282144431283086305	56	0.38616753621888688652319387983880006	37	
5	0.02671943084028922943407025059059379	57	0.02789958689013194090278169312568934	53	0.64087529236263052201394430085201748	150	0.02671943084028923290351720254420798	57	0.02789958689013194090278169312568934	53	0.52191639577990056597656121084582992	40	
6	0.02960815413353662384210451818944421	56	0.03065073812526424024138549384588259	53	0.81501740396468147498154621644061990	150	0.02960815413353662731155147014305840	56	0.03065073812526423677193854189226840	53	0.68428084617340523276851627088035457	41	
7	0.03104254594825406679547974420074752	55	0.03258115668875249948399641652940772	53	0.89255165776478295747153879347024485	150	0.03104254594825406332603279224713333	55	0.03258115668875250642289032043663610	53	0.75476114945559846791667268917080946	42	
8	0.03207735697713075262438309209755971	55	0.03365726691330833686421897255058866	53	0.93024675476899720827361761621432379	150	0.03207735697713074568548918819033133	55	0.03365726691330834380311287645781704	53	0.78778352691963871023972387774847448	42	
9	0.03612556902811186326784920197496831	51	0.03829629826413118859340656285894511	51	0.98669744096729239402066014008596539	150	0.03612556902811186326784920197496831	51	0.03829629826413119553230046676617349	51	0.82676115662587501553559832245809957	48	
