iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	
0	0.00000000216582401053754761097089852	0	0.00000000000000000000000000000000000	0	0.16622627351950122753798666508373572	150	0.00000000216582401053754678379028597	0	0.00000000000000000000000000000000000	0	0.16622627104427376010242767279123655	150	
1	0.00000000216582401053754761097089852	0	0.00000000000000000000000000000000000	0	0.52783443306492894286918726720614359	150	0.00000000216582401053754678379028597	0	0.00000000000000000000000000000000000	0	0.52783443058970147543362827491364442	150	
2	0.00000000217079640349040448284739434	0	0.00000000000000000000000000000000000	0	0.83519303411117451485523588416981511	150	0.00000000217079640349040365566678179	0	0.00000000000000000000000000000000000	0	0.83519303163026459291273795315646566	150	
3	0.00000000217079640349040448284739434	0	0.00000000000000000000000000000000000	0	1.35895532647649863733363417850341648	150	0.00000000217079640349040365566678179	0	0.00000000000000000000000000000000000	0	1.35895532399558871539113624749006703	150	
4	0.00000000217838093029219646984711754	0	0.00000000000000000000000000000000000	0	1.47523974467760599083021588739939034	150	0.00000000217838093029219564266650498	0	0.00000000000000000000000000000000000	0	1.47523974218802877977907428430626169	150	
5	0.00000000218668991041170292436721719	0	0.00000000000000000000000000000000000	0	1.79617992973411677581907497369684279	150	0.00000000218668991041170292436721719	0	0.00000000000000000000000000000000000	0	1.79617992723504182883687008143169805	150	
6	0.00000000218668991041170292436721719	0	0.00000000000000000000000000000000000	0	1.77614919804138482462008141737896949	150	0.00000000218668991041170292436721719	0	0.00000000000000000000000000000000000	0	1.77614919554230898945945682498859242	150	
7	0.00000000218668991041170292436721719	0	0.00000000000000000000000000000000000	0	2.04724056495081274675840177224017680	150	0.00000000218668991041170292436721719	0	0.00000000000000000000000000000000000	0	2.04724056245173802182080180500634015	150	
8	0.00000000219089412606980482681303967	0	0.00000000000000000000000000000000000	0	2.05687760327052870934494421817362309	150	0.00000000219089412606980524040334595	0	0.00000000000000000000000000000000000	0	2.05687760076664760688913702324498445	150	
9	0.00000000219089412606980482681303967	0	0.00000000000000000000000000000000000	0	2.17791827503284229905489155498798937	150	0.00000000219089412606980524040334595	0	0.00000000000000000000000000000000000	0	2.17791827252896119659908436005935073	150	
10	0.00000000219089412606980482681303967	0	0.00000000000000000000000000000000000	0	2.22385039040323384540442930301651359	150	0.00000000219089412606980482681303967	0	0.00000000000000000000000000000000000	0	2.22385038789935540748388120846357197	150	
11	0.00000000219089412606980482681303967	0	0.00000000000000000000000000000000000	0	2.34170132855069823563098907470703125	150	0.00000000219089412606980482681303967	0	0.00000000000000000000000000000000000	0	2.34170132604681935362123113009147346	150	
12	0.00000000219646797179402634896301220	0	0.00000000000000000000000000000000000	0	2.41863424786700242918868752894923091	150	0.00000000219646797179402634896301220	0	0.00000000000000000000000000000000000	0	2.41863424535675353155284028616733849	150	
13	0.00000000220109428094853579982157495	0	0.00000000000000000000000000000000000	0	2.37944473048149962579600469325669110	150	0.00000000220109428094853621341188123	0	0.00000000000000000000000000000000000	0	2.37944472796596429020610230509191751	150	
14	0.00000000221108063782760175491232179	0	0.00000000000000000000000000000000000	0	2.45957381240738826022607099730521441	150	0.00000000221108063782760258209293435	0	0.00000000000000000000000000000000000	0	2.45957380988044027603223184996750206	150	
15	0.00000000221497858340188534040387170	0	0.00000000000000000000000000000000000	0	2.45311329950208500960684432357084006	150	0.00000000221497858340188451322325915	0	0.00000000000000000000000000000000000	0	2.45311329697068059019215979787986726	150	
16	0.00000000222190361497586041286352730	0	0.00000000000000000000000000000000000	0	2.51396889395119282895052492676768452	150	0.00000000222190361497585917209260847	0	0.00000000000000000000000000000000000	0	2.51396889141187340754868273506872356	150	
17	0.00000000222865785964430821625490175	0	0.00000000000000000000000000000000000	0	2.56780639621546580286803873605094850	150	0.00000000222865785964430821625490175	0	0.00000000000000000000000000000000000	0	2.56780639366842855508821230614557862	150	
18	0.00000000223225804012818307015146058	0	0.00000000000000000000000000000000000	0	2.61113482161101684297932479239534587	150	0.00000000223225804012818265656115430	0	0.00000000000000000000000000000000000	0	2.61113481905986732911628678266424686	150	
19	0.00000000223225804012818307015146058	0	0.00000000000000000000000000000000000	0	2.63408667156438891510106259374879301	150	0.00000000223225804012818265656115430	0	0.00000000000000000000000000000000000	0	2.63408666901323806897039503382984549	150	
20	0.00000000223225804012818307015146058	0	0.00000000000000000000000000000000000	0	2.63239178672661866542625830334145576	150	0.00000000223225804012818307015146058	0	0.00000000000000000000000000000000000	0	2.63239178417546737520638089335989207	150	
21	0.00000000223225804012818307015146058	0	0.00000000000000000000000000000000000	0	2.66273462639219493652831260988023132	150	0.00000000223225804012818307015146058	0	0.00000000000000000000000000000000000	0	2.66273462384104275813001549977343529	150	
22	0.00000000223612525065454548179399564	0	0.00000000000000000000000000000000000	0	2.70066860387889251526871703390497714	150	0.00000000223612525065454506820368936	0	0.00000000000000000000000000000000000	0	2.70066860132332076105399210064206272	150	
23	0.00000000223612525065454548179399564	0	0.00000000000000000000000000000000000	0	2.71612213389931866913684643805027008	150	0.00000000223612525065454506820368936	0	0.00000000000000000000000000000000000	0	2.71612213134374602674370180466212332	150	
24	0.00000000223612525065454548179399564	0	0.00000000000000000000000000000000000	0	2.83421689431679091342175524914637208	150	0.00000000223612525065454506820368936	0	0.00000000000000000000000000000000000	0	2.83421689176121871511782046582084149	150	
