iteration	AB_bound	AB_tau	ABC_bound	ABC_tau	root_bound	root_tau
0	0.0000050244573227316457854417335038288428	0.0000050241937856281281986380385373713864	0.0000095519361380410484744802462886426042	0.0000095449648183069505004297652939193597	0.0000498540275146443044715013903633860082	0.0000498524748989402576005401657166515861
1	0.0000050539943322528998965797661369059313	0.0000050385102773877437606952003901206183	0.0000095781729640387795141629259654258988	0.0000095721632935246074802776786172309187	0.0000529746253203411938503646083642451003	0.0000529585696433094684550807462741772724
2	0.0000050803694352829156466130368363653957	0.0000050610953848905889770524134385620840	0.0000096217542501708361627702631446723558	0.0000096150704873412533193847984147595298	0.0000548878224537085429688039461826321030	0.0000548712922393705511089380399969428481
3	0.0000050750889514495315665105687474856211	0.0000050610953848905889770524134385620840	0.0000096193318788741195526264052273468508	0.0000096150704873412533193847984147595298	0.0000548917657586029373814086318450478075	0.0000548712922393705511089380399969428481
4	0.0000050870850333054606093406008193724688	0.0000050573410611471377015726375026005712	0.0000096147041010419899463926296512283898	0.0000096079380219991944889635498983082584	0.0000548326370016670306523597078207643563	0.0000548305886802352839904176051710749107
5	0.0000050737192122575310899859971081049537	0.0000050671643401390321795416810113366068	0.0000096321723455674678452840750675356674	0.0000096266002902911272046809765257080471	0.0000549494100628114979373295412301558827	0.0000549370905284166715309111805876085555
6	0.0000046837092166744645078935681270504432	0.0000046790220241104055193389829603312080	0.0000096577766887839537921856339353077203	0.0000096459065159884106526681085691521389	0.0000550510387034662117700795080921238878	0.0000550472673132535128505057886449947091
7	0.0000046854712678306813244955009167824755	0.0000046790220241104055193389829603312080	0.0000096482917155505139571733744241477382	0.0000096459065159884106526681085691521389	0.0000550528539231997024591333533827253177	0.0000550472673132535128505057886449947091
8	0.0000047104588751303169157406101896778949	0.0000046908309617869359817773217136149810	0.0000101843112955589028820798519481272137	0.0000101259008770027744678445327797255970	0.0000552021660762173714933134793803048979	0.0000551861958640523564737466466478821303
9	0.0000046912972996457541258099460668162806	0.0000046908309617869359817773217136149810	0.0000101339906300369238375744251889898351	0.0000101259008770027744678445327797255970	0.0000552021660762173714933134793803048979	0.0000551861958640523564737466466478821303
10	0.0000046956246953610248113662913038712787	0.0000046908309617869359817773217136149810	0.0000101261741495881295554559037297437385	0.0000101259008770027744678445327797255970	0.0000551906888960461094431782236302552747	0.0000551861958640523564737466466478821303
