Sample	theta_A	theta_B	theta_C	theta_ANC	theta_ROOT	tau_ANC	tau_ROOT	m_A->B	m_B->A	m_A->C	m_C->A	m_B->C	m_C->B	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
9840	10.21957	 8.61659	 9.79318	 9.66121	10.11475	 1.55893	 2.88913	 0.00015	 0.88994	 0.17857	 0.87860	 0.00000	 0.03328	-1353.779465	-2863463.015817	155904.086419
9850	 9.77022	 9.66053	 9.48056	 9.46314	 9.97594	 1.57855	 2.90273	 0.00003	 0.88577	 0.12985	 0.87449	 0.00000	 0.02053	-1353.800536	-2863474.038159	155872.965608
9860	 9.60321	 9.66201	 9.31550	10.10335	10.22855	 1.59830	 2.92445	 0.00005	 0.87960	 0.12895	 0.86840	 0.00000	 0.01614	-1354.125215	-2863482.603819	155232.174525
9870	 9.39990	10.01739	 9.65063	10.39269	10.11360	 1.58407	 2.88394	 0.00008	 0.88960	 0.13041	 0.87827	 0.00000	 0.02069	-1353.922031	-2863352.844795	155508.783026
9880	 9.62022	 9.37495	 9.16391	10.79781	 9.68775	 1.54225	 2.84676	 0.00001	 0.90495	 0.13266	 0.89343	 0.00000	 0.02105	-1353.801547	-2863270.861899	155667.768551
9890	 9.71864	 9.12053	 9.77930	11.31914	 9.55312	 1.56333	 2.95525	 0.00003	 0.88986	 0.13045	 0.87852	 0.00000	 0.03058	-1354.136908	-2863479.059021	155205.242942
9900	 9.19024	 9.15156	 9.62375	11.07154	 9.66254	 1.55908	 2.97914	 0.00000	 0.90151	 0.13216	 0.89003	 0.00000	 0.02962	-1354.052262	-2863496.520604	155391.997281
9910	 9.28045	 9.42922	 9.73183	11.07159	 9.96045	 1.56090	 3.02409	 0.00000	 0.90164	 0.13218	 0.89233	 0.00000	 0.03172	-1354.032294	-2863520.535208	155455.947244
9920	 9.05950	 9.67257	 9.79292	11.50982	 9.96177	 1.57976	 3.05635	 0.00000	 0.89213	 0.13078	 0.88291	 0.00000	 0.04245	-1354.224181	-2863562.083594	155113.721014
9930	 9.35668	 9.72602	 9.81849	11.01680	 9.68341	 1.57463	 3.01634	 0.00000	 0.89670	 0.11371	 0.88744	 0.00000	 0.03037	-1353.739343	-2863349.533905	155870.848143
9940	 9.65550	 8.74947	10.27019	10.70473	 9.92482	 1.54076	 3.00510	 0.00001	 0.91359	 0.19658	 0.90416	 0.00000	 0.03849	-1353.721087	-2863377.153618	155934.978775
9950	 9.58998	 9.20467	 9.23100	10.56779	 9.79786	 1.52584	 2.96205	 0.00001	 0.92543	 0.19912	 0.91587	 0.00001	 0.03949	-1353.709739	-2863418.263390	155998.785221
9960	10.28478	 9.47877	 9.29114	10.34826	 9.89533	 1.53716	 3.01083	 0.00000	 0.91631	 0.19716	 0.90685	 0.00000	 0.02943	-1353.528729	-2863452.267222	156394.810086
9970	 9.89151	 9.96417	 9.56126	 9.42777	10.06557	 1.56624	 3.01462	 0.00000	 0.90807	 0.19539	 0.89869	 0.00000	 0.02916	-1353.742336	-2863398.692536	155914.020568
9980	10.16574	 9.94362	 9.62938	 9.92531	 9.87641	 1.54435	 2.95797	 0.00003	 0.92546	 0.25715	 0.91591	 0.00000	 0.02970	-1353.622192	-2863428.689102	156184.304572
