Sample	theta_A	theta_B	theta_C	theta_ANC	theta_ROOT	tau_ANC	tau_ROOT	m_A->B	m_B->A	m_A->C	m_C->A	m_B->C	m_C->B	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
8830	 8.89792	 9.08180	 9.68140	10.28462	10.21617	 1.60785	 2.87057	 0.00000	 1.17720	 0.01767	 0.91388	 0.00000	 0.00002	-1353.174508	-2863321.224322	156972.207489
8840	 8.42635	 9.01013	 9.48488	10.57602	10.05679	 1.63672	 2.90882	 0.00000	 1.16060	 0.02467	 1.03417	 0.00000	 0.00001	-1352.527751	-2863373.378410	158317.876179
8850	 8.68373	 8.99122	 9.12285	10.48166	10.02183	 1.62824	 2.86214	 0.00000	 1.17167	 0.02507	 1.04403	 0.00000	 0.00001	-1352.644688	-2863429.905748	158140.529506
8860	 8.77750	 9.39763	 9.98298	 9.94212	10.20923	 1.63811	 2.88776	 0.00000	 1.24327	 0.01335	 1.04296	 0.00000	 0.00001	-1352.693540	-2863421.560611	158034.481308
8870	 9.11460	 9.60416	 9.33880	 9.71319	10.15144	 1.61538	 2.84282	 0.00000	 1.18599	 0.02134	 1.05388	 0.00000	 0.00001	-1352.935022	-2863523.215727	157653.171164
8880	 9.51729	 9.24932	 9.60631	 9.97630	10.12732	 1.64496	 2.88227	 0.00000	 1.16466	 0.03020	 1.03493	 0.00000	 0.00002	-1352.909734	-2863348.646009	157529.178784
8890	 9.24563	 9.75102	 9.68959	 9.86262	10.13449	 1.68394	 2.92867	 0.00000	 1.13770	 0.03296	 1.01097	 0.00000	 0.00006	-1352.913737	-2863402.721664	157575.247484
8900	10.04055	 9.16365	10.29432	10.01389	 9.63503	 1.69633	 2.95099	 0.00000	 1.12939	 0.04569	 0.83636	 0.00000	 0.00018	-1353.108328	-2863430.289921	157213.633790
8910	10.03327	 9.00492	10.11228	10.05925	 9.77247	 1.65102	 2.89801	 0.00000	 1.15004	 0.04918	 0.85165	 0.00000	 0.00022	-1353.383625	-2863454.513940	156687.263184
8920	 9.92174	 8.99719	 9.95239	 9.92535	 9.63775	 1.62983	 2.87434	 0.00000	 1.16400	 0.06577	 0.86199	 0.00000	 0.00035	-1353.048234	-2863436.397453	157339.930290
8930	 9.41701	 9.59586	 9.85257	 9.91482	 9.99326	 1.69391	 2.94892	 0.00000	 1.08826	 0.06169	 0.83371	 0.00000	 0.00033	-1353.248832	-2863496.521275	156998.856788
8940	 8.47588	 9.63614	 9.32324	 9.54547	10.12100	 1.63783	 2.86903	 0.00000	 1.13692	 0.03985	 0.87099	 0.00000	 0.00046	-1352.990636	-2863307.914734	157326.642428
8950	 8.84613	10.02230	10.04339	 9.55535	10.20418	 1.67014	 2.93723	 0.00000	 1.11053	 0.03045	 0.85077	 0.00000	 0.00033	-1353.486990	-2863435.994207	156462.014028
8960	 8.65643	10.18716	 9.86875	 9.11491	10.45467	 1.66784	 2.92731	 0.00000	 1.11201	 0.06128	 0.85190	 0.00000	 0.00031	-1353.447659	-2863507.976777	156612.659248
8970	 9.31677	 9.60742	 9.29069	 9.22155	10.02807	 1.66652	 2.90694	 0.00000	 1.11981	 0.06267	 0.85788	 0.00000	 0.00040	-1352.930527	-2863531.307207	157670.253768
8980	 9.05070	 9.53609	 9.67446	10.02446	10.17717	 1.71592	 2.98197	 0.00000	 1.10340	 0.06669	 0.84531	 0.00000	 0.00019	-1353.469273	-2863559.019521	156620.472539
