iteration	P_A cs	P_A nc	P_B cs	P_B nc	P_C cs	P_C nc	P_ANC cs	P_ANC nc	P_ROOT cs	P_ROOT nc	MB_A->B ms	MB_A->B nm	MB_B->A ms	MB_B->A nm	MB_A->C ms	MB_A->C nm	MB_C->A ms	MB_C->A nm	MB_B->C ms	MB_B->C nm	MB_C->B ms	MB_C->B nm	
110	4.61577181833540528543835534946992993	4798	4.62541810128690578096666286000981927	5415	1.61860356382623638005213706492213532	4048	3.46019583419479026531462295679375529	6738	0.25976856034895656755168147356016561	1001	2.01205677783236458466831209079828113	558	2.00659630422815737915698264259845018	804	1.06619273223544763773418253549607471	1843	2.00659630422815737915698264259845018	501	1.06619273223544763773418253549607471	2090	2.01205677783236369648989239067304879	451	
120	4.68525029903751200066608362249098718	4861	4.55384481134603902319213375449180603	5211	1.60662493949185769537280066288076341	4096	3.79050110665736683657200956076849252	6821	0.26582911934924252639333985825942364	1011	1.99618737234532828139776938769500703	683	2.02523531235539167028036899864673615	772	1.06624900605609984616251040279166773	1867	2.02523531235539167028036899864673615	498	1.06624900605609940207330055272905156	2018	1.99618737234532828139776938769500703	450	
130	4.80002626461996229068063257727771997	4947	4.63942120068561170143084382289089262	5154	1.60636572542373445848795654455898330	4090	3.75734750707120790380599828495178372	6812	0.26644197063143665316076180715754163	997	2.01015380589445014081206863920670003	911	2.04264461381282824703475853311829269	767	1.06104426666890971908685514790704474	1807	2.04264461381282824703475853311829269	554	1.06104426666890927499764529784442857	2198	2.01015380589445014081206863920670003	500	
140	4.78259739417223173063575814012438059	5024	4.49290253779019455038223895826376975	5132	1.62526132566044800853433116571977735	4116	3.74108793865637778708332916721701622	6729	0.26840531183189730857208132874802686	999	1.97880629680651032309413039911305532	1059	2.03993801174250632968210084072779864	769	1.07260573045322260554712556768208742	1850	2.03993801174250632968210084072779864	604	1.07260573045322216145791571761947125	2174	1.97880629680651032309413039911305532	492	
150	4.82861748773361387776503761415369809	4995	4.47046368849682007606816114275716245	5153	1.61966029517057563680282328277826309	4158	3.71921297561035668621798322419635952	6684	0.27195218042508534361800798251351807	1010	1.96803092630636133897326089936541393	1114	2.04894020774287266561941578402183950	788	1.06651622621008357327809790149331093	1830	2.04894020774287266561941578402183950	629	1.06651622621008312918888805143069476	2146	1.96803092630636133897326089936541393	469	
160	4.67381101118536612659681850345805287	4958	4.48572583163089966262759844539687037	5206	1.65891649397794149756180104304803535	4155	3.60175370598081467932161103817634284	6656	0.26551278943370032470383534928259905	1025	1.97486191312294145916439447319135070	1115	2.01474189298989569962827772542368621	968	1.08524103878145727897219785518245772	1837	2.01474189298989658780669742554891855	613	1.08524103878145683488298800511984155	2126	1.97486191312294145916439447319135070	495	
170	4.72340291293132263916731972130946815	4882	4.43944747885266366438372642733156681	5257	1.64936822045544984050025050237309188	4217	3.66635877516025754374595635454170406	6607	0.27286590699740093102221294429909904	1037	1.96331899210122506893583249620860443	1160	2.02090937604408082961526815779507160	1026	1.07183440915458394471215797238983214	1802	2.02090937604408171779368785792030394	658	1.07183440915458305653373827226459980	2124	1.96331899210122462484662264614598826	480	
180	4.84196061442021097320775879779830575	4821	4.42882274400319975171669284463860095	5202	1.67460616145938101517742779833497480	4234	3.70624673774261692571485582448076457	6674	0.29353408857535623344148234536987729	1069	1.95428428158303879591528584569459781	1308	2.04538205205952250409495718486141413	1077	1.09493877948821261014700212399475276	1850	2.04538205205952339227337688498664647	747	1.09493877948821127787937257380690426	2108	1.95428428158303879591528584569459781	479	
190	4.99099280643690157432956766569986939	4861	4.38706050954500881289277458563446999	5104	1.70818572241341493089805680938297883	4226	3.66026027423291067108834795362781733	6723	0.24477643769759127589935587820946239	1086	1.94663065855279637794694735930534080	1442	2.07468947692549932071415241807699203	1052	1.09636496113964043708222106943139806	1934	2.07468947692550020889257211820222437	806	1.09636496113963910481459151924354956	2082	1.94663065855279726612536705943057314	478	
200	4.86276783290919656366213530418463051	4908	4.35690876455528819377605032059364021	5161	1.68266721623087245340855133690638468	4266	3.59640429592905785938228291342966259	6556	0.24749004698753815367773256639338797	1109	1.94174315617565085290152637753635645	1434	2.04597669393194081521869520656764507	1042	1.09838164115763747830101237923372537	1827	2.04597669393194081521869520656764507	853	1.09838164115763747830101237923372537	2109	1.94174315617565085290152637753635645	409	
210	5.03694461424761463774757430655881763	4969	4.29111775205511492004006868228316307	5141	1.67597237669181020613962118659401312	4161	3.64174943700946984748156864952761680	6634	0.25430986470394556508978212150395848	1095	1.92903001742470747714719436771702021	1506	2.07983028090303889712231466546654701	1084	1.08094488907677965805476105742854998	2014	2.07983028090303800894389496534131467	871	1.08094488907677965805476105742854998	2103	1.92903001742470747714719436771702021	456	
220	4.88795335682135156929462027619592845	4764	4.41248643423422404197253854363225400	5268	1.68557150452238002635851898958208039	4228	3.66462812250109593037450395058840513	6658	0.22123262980283806000691981807904085	1082	1.95140013928890931893533888796810061	1446	2.04868884712186893892749139922671020	1234	1.08839490749566802918479879735969007	1985	2.04868884712186805074907169910147786	896	1.08839490749566758509558894729707390	2045	1.95140013928890931893533888796810061	400	
230	5.00978200286227171034170169150456786	4875	4.37300996872266534154505279730074108	5227	1.62217443350290180248407523322384804	4179	3.63102253374782213413141107594128698	6658	0.18064985282978943126330761970166350	1061	1.94342972560373539181455271318554878	1499	2.07190565404322590836727613350376487	1256	1.06917282015397185901406373886857182	2079	2.07190565404322502018885643337853253	885	1.06917282015397141492485388880595565	2002	1.94342972560373539181455271318554878	400	
240	5.01908987834145570161581417778506875	4933	4.40917074703708600225127156591042876	5220	1.63979119770973214009757157327840105	4135	3.59783463291458849298010136408265680	6655	0.19121365686488708823809190562315052	1057	1.95407136032531858482741426996653900	1499	2.06976589727750281966223155905026942	1301	1.07276153262902096408026864082785323	2109	2.06976589727750193148381185892503709	892	1.07276153262902051999105879076523706	2033	1.95407136032531858482741426996653900	421	
250	4.70837422662020355090817247400991619	4987	4.06206103462104461954140788293443620	5087	1.55726117496743299284389649983495474	4204	3.45143377627676484209473528608214110	6626	0.16011329372293461870135899971501203	1096	1.80364203937976141922661099670222029	1719	1.94123782676745348929614465305348858	1298	1.01719308737800906428105918166693300	2079	1.94123782676745348929614465305348858	902	1.01719308737800950837026903172954917	2031	1.80364203937976097513740114663960412	480	
260	4.87104308267651564534617136814631522	4935	4.02976678802645160715201200218871236	5100	1.54747406817581412141748842259403318	4146	3.43535976460862801928897170000709593	6682	0.15690233182192309113744954629510175	1137	1.79438401108280198847921838023466989	1689	1.96968298832925770014412591990549117	1304	1.01430040364294593580041237146360800	2137	1.96968298832925770014412591990549117	895	1.01430040364294637988962222152622417	1983	1.79438401108280154439000853017205372	473	
270	4.65581566647283651150246441829949617	4821	4.00281714269819133278360823169350624	5154	1.54396207521447070831754899700172246	4218	3.31965089265408241914201425970532000	6660	0.15284089717705870437036708153755171	1147	1.77405332235659396467042370204580948	1751	1.90845281627638807542268750694347546	1466	1.00376759792913516911028182221343741	2075	1.90845281627638807542268750694347546	934	1.00376759792913561319949167227605358	2025	1.77405332235659352058121385198319331	502	
280	4.70599825372832469838613178580999374	4859	4.17007586249145045798059072694741189	5108	1.52149219154192172354100875963922590	4129	3.37744761801101445186645833018701524	6773	0.15833169933632346149110503574775066	1131	1.81171317529997688566822944267187268	1718	1.91444684582749369283760643156711012	1555	0.99239845263235293426618000012240373	2242	1.91444684582749369283760643156711012	979	0.99239845263235337835538985018501990	2017	1.81171317529997644157901959260925651	497	
290	4.75861483609114355175506716477684677	4808	4.16156854123202091244593248120509088	5091	1.52655885027149329502549335302319378	4225	3.42286145013451825747097245766781271	6771	0.16382864306228758777272958013782045	1105	1.80482407992515403449829136661719531	1761	1.92165117150259634470899072766769677	1630	0.99340003125275722073439510495518334	2230	1.92165117150259634470899072766769677	977	0.99340003125275766482360495501779951	1981	1.80482407992515359040908151655457914	528	
300	4.73776309070107526366655292804352939	4960	4.12874321900439600341314871911890805	5066	1.53056414760208281400366558955283836	4091	3.40946618060272266248489358986262232	6752	0.15661276556947437144096113570412854	1131	1.80009733811370375988758496532682329	1855	1.91874423468271970705245621502399445	1625	0.99791546391816066119417882873676717	2309	1.91874423468271970705245621502399445	968	0.99791546391816066119417882873676717	2010	1.80009733811370375988758496532682329	541	
310	4.79659492639421269899457911378704011	4840	4.19842775143566804274541937047615647	4999	1.54198348151332265132396059925667942	4205	3.51898311022522758406694265431724489	6814	0.15546055925957860677222299727873178	1142	1.82519915498265539177680238935863599	1880	1.94353128206434622171627779607661068	1601	1.00698364191863865002574129903223366	2280	1.94353128206434622171627779607661068	1072	1.00698364191863865002574129903223366	2032	1.82519915498265539177680238935863599	552	
320	4.72070389720205074723935467773117125	4946	4.13893453381376730249030515551567078	4936	1.56305485216473050158469959569629282	4285	3.32526811228054341995630238670855761	6720	0.15432273968079948667231349190842593	1113	1.81001257767187118119522892811801285	2011	1.92796239907596356211172405892284587	1764	1.01281186809495094003352733125211671	2283	1.92796239907596311802251420886022970	1036	1.01281186809495094003352733125211671	1863	1.81001257767187118119522892811801285	487	
330	4.85919073094905584753178118262439966	5127	3.99376891065899553012741307611577213	4886	1.57642138730379555155991511128377169	4197	3.29209226014930056436469385516829789	6672	0.15048888356852355152604161503404612	1118	1.77868653137583376810937352274777368	2091	1.94891246708323739866841606271918863	1743	1.02200722189449555443729877879377455	2457	1.94891246708323695457920621265657246	1098	1.02200722189449555443729877879377455	1835	1.77868653137583376810937352274777368	483	
340	4.94999534917272931977549887960776687	5059	3.99196675284560376084641575289424509	4875	1.56823423596998035023375450691673905	4230	3.34338113091235999974060177919454873	6726	0.13469800501491688282662551046087174	1110	1.77742335196120371243466706800973043	2208	1.97217350710406513769612502073869109	1859	1.01279996200612609769109440094325691	2507	1.97217350710406469360691517067607492	1069	1.01279996200612609769109440094325691	1680	1.77742335196120371243466706800973043	431	
350	4.90500271062279491474100723280571401	5063	4.09030775712020666645685196272097528	4858	1.62429013647535858133608144271420315	4189	3.45591223227957433650203711295034736	6742	0.12714186549875677867404988319322001	1148	1.80042167503491779001478789723478258	2232	1.95587119280312804470156606839736924	1894	1.02952096089683475810261370497755706	2501	1.95587119280312760061235621833475307	1104	1.02952096089683475810261370497755706	1741	1.80042167503491779001478789723478258	443	
360	4.94500284707515724846871307818219066	5082	4.08301974502905284936105090309865773	4796	1.59130749741958532617047694657230750	4210	3.41766270953266637633305435883812606	6767	0.12433092847825333304712103199562989	1145	1.79262943845792821484508294815896079	2176	1.96694793185365224275074069737456739	1895	1.02367067089205332486301358585478738	2493	1.96694793185365135457232099724933505	1020	1.02367067089205332486301358585478738	1696	1.79262943845792821484508294815896079	495	
370	4.90421512125697400819035465246997774	5184	3.98558310937654258765405757003463805	4886	1.62131672282193273204597971925977618	4131	3.53780116189644910917877496103756130	6615	0.12856854751212237752966416337585542	1184	1.77250985851524500702680597896687686	2185	1.95721210305605630708214448532089591	1926	1.03099837141118877426038125122431666	2588	1.95721210305605541890372478519566357	1032	1.03099837141118877426038125122431666	1663	1.77250985851524500702680597896687686	497	
380	4.88464479400174056422656576614826918	5095	3.94885232085735315976648962532635778	4822	1.69619355858748099841193379688775167	4270	3.67226795749076151409440171846654266	6615	0.12463115330142257586309995076589985	1198	1.77084479073979617069767300563398749	2177	1.95422648182131131200378604262368754	1849	1.05886861437649826278573073068400845	2457	1.95422648182131042382536634249845520	1017	1.05886861437649826278573073068400845	1620	1.77084479073979617069767300563398749	489	
390	4.90403607972907451539867906831204891	5119	3.90229013791746037753682685433886945	4825	1.69961280603399855770874182780971751	4282	3.55439410958531842865681937837507576	6553	0.12713078375591563284885410212154966	1221	1.75414316839759654165220581489847973	2397	1.95364936734209360125191778934095055	2010	1.06229290761561068201501711882883683	2437	1.95364936734209271307349808921571821	1055	1.06229290761561068201501711882883683	1631	1.75414316839759654165220581489847973	477	
400	4.72675110110757579207074741134420037	5046	3.71955709833800129970882153429556638	4791	1.69208833329452446037066692952066660	4294	3.51090834425123210493779879470821470	6581	0.10959251671561161256551741871589911	1288	1.68788872354275709675164307554950938	2362	1.88832585518149476122573560132877901	2000	1.04560296971734389970265510783065110	2528	1.88832585518149476122573560132877901	1114	1.04560296971734389970265510783065110	1486	1.68788872354275709675164307554950938	440	
410	4.83842308253987241073446057271212339	5002	3.78960189551905912708207324612885714	4748	1.64930687505795492420190839766291901	4232	3.76565470289644510515358888369519264	6712	0.09116681869199395882308323280085460	1306	1.68923109308055185984187573922099546	2292	1.89450440847452750148249833728186786	1932	1.02839642668703468153523772343760356	2502	1.89450440847452750148249833728186786	1116	1.02839642668703468153523772343760356	1549	1.68923109308055185984187573922099546	414	
420	4.72756507247469137666939786868169904	4985	3.57797248939809309220549948804546148	4779	1.66802926598455614204397079447517172	4242	3.73031302811281628706296942254994065	6691	0.09415395013348017150267565966714756	1303	1.63767276628168301222387981397332624	2276	1.86368536700662890126523052458651364	1884	1.02355501702721141121799064421793446	2440	1.86368536700662890126523052458651364	1052	1.02355501702721141121799064421793446	1545	1.63767276628168301222387981397332624	414	
430	4.87815058779648147435636929003521800	5186	3.54619621490525060991672035015653819	4585	1.59422677057458850313764742168132216	4163	3.87665152570559223832447059976402670	6719	0.10087951627365127071911388156877365	1347	1.61142337468703700231742459436645731	2366	1.87119302973517753763132986932760105	1877	0.99640749575446652119836699057486840	2656	1.87119302973517753763132986932760105	1060	0.99640749575446652119836699057486840	1413	1.61142337468703700231742459436645731	428	
440	4.82206993694226859759055514587089419	5197	3.59146502355144203733061658567748964	4519	1.60538506527526969591690431116148829	4203	3.97337285127641770543505117530003190	6764	0.09472114922671831527267727324215230	1317	1.62167804800352466365609416243387386	2389	1.86442667669995043588926364463986829	1836	0.99535469680070287612494439599686302	2687	1.86442667669995043588926364463986829	1154	0.99535469680070287612494439599686302	1469	1.62167804800352466365609416243387386	445	
450	4.93850295659812310589131811866536736	5097	3.57807772055890715989789896411821246	4655	1.56669083575695511356684619386214763	4178	4.16848137814518526766960349050350487	6777	0.08268910641298252151010217403381830	1293	1.61419092685618692506466231861850247	2390	1.88691294015934896144415233720792457	1924	0.98393467646172405594029441999737173	2583	1.88691294015934851735494248714530841	992	0.98393467646172405594029441999737173	1454	1.61419092685618692506466231861850247	422	
460	4.85682150814250945813910220749676228	4965	3.51362505912758038562060391996055841	4556	1.62154441986606578929297484137350693	4229	4.44831387199481298466707812622189522	6850	0.08046852646843778711360783972850186	1400	1.58505330624508244952153290796559304	2237	1.84352155505407333535572433902416378	1800	0.98980550827655755519174363143974915	2624	1.84352155505407289126651448896154761	1099	0.98980550827655755519174363143974915	1437	1.58505330624508244952153290796559304	463	
470	4.86633492726273253481394931441172957	4971	3.48231762027620606048117224418092519	4548	1.54696307332437177350925594510044903	4311	4.36296196907024924627194195636548102	6817	0.07490370528775723568681854658279917	1353	1.57896859602387529264433396747335792	2363	1.85018226643993366486995455488795415	1755	0.97220995115333874725394025517744012	2436	1.85018226643993322078074470482533798	1089	0.97220995115333874725394025517744012	1502	1.57896859602387484855512411741074175	407	
480	4.81071680051961347857059081434272230	4754	3.55679801853744104178645102365408093	4574	1.59888262688238014241903783840825781	4344	4.45359148024650863817441859282553196	6924	0.07499207540816148209739111507587950	1404	1.59989199820371941207497457071440294	2176	1.84427678792906557525554944731993601	1868	0.99226072738199433409533867234131321	2500	1.84427678792906513116633959725731984	1040	0.99226072738199433409533867234131321	1346	1.59989199820371896798576472065178677	442	
490	4.94787225329602353696145655703730881	4781	3.57651876228184795181164190580602735	4637	1.63347428910437053595217093970859423	4252	4.49910116538092363924761230009607971	6922	0.08505557202450440834606837370301946	1408	1.60145529316063206515252659301040694	2181	1.86546901292494315960368567175464705	1890	0.99602661444938189738707023934694007	2584	1.86546901292494271551447582169203088	1009	0.99602661444938189738707023934694007	1311	1.60145529316063162106331674294779077	414	
500	4.99430257644805042360758307040669024	4654	3.50114017775688068923045648261904716	4580	1.73631290401235971465609964070608839	4336	4.46779591698306344227376030175946653	7024	0.08427601112924822113203759954558336	1406	1.59358741092075839596020614408189431	2139	1.87398555794808219232550072774756700	1887	1.02472877428586017778400218958267942	2543	1.87398555794808219232550072774756700	1026	1.02472877428586017778400218958267942	1269	1.59358741092075839596020614408189431	429	
510	4.81678885648824905985065925051458180	4709	3.32236817803491435441287649155128747	4517	1.66910723086779233526044663449283689	4333	4.50804614587234642186786004458554089	6972	0.08516015488475522920985838482010877	1469	1.51433690384826347141711266885977238	2265	1.80037967446201330190547196252737194	1920	0.98431220895269666559812549166963436	2604	1.80037967446201330190547196252737194	1108	0.98431220895269666559812549166963436	1291	1.51433690384826347141711266885977238	449	
520	4.66285568273092287938652589218690991	4670	3.27755996918054393063357565551996231	4582	1.66157791850979830172718720859847963	4290	4.70183404938386573235220566857606173	6932	0.08066882475885012171445964668237139	1526	1.48786415050974363261104826960945502	2181	1.75741350174812160922499515436356887	1931	0.96987607041831447318713799177203327	2580	1.75741350174812160922499515436356887	1049	0.96987607041831447318713799177203327	1234	1.48786415050974363261104826960945502	408	
530	4.87570345634615787133725461899302900	4518	3.23455482699235696841810749901924282	4440	1.70213629367204477560449049633461982	4226	4.83129305876611336856285561225377023	7195	0.08932374973264038675591081073434907	1621	1.45888799000709146191923082369612530	2234	1.76213917074625903147477856691693887	1860	0.97037089253499886343234948071767576	2565	1.76213917074625903147477856691693887	1079	0.97037089253499886343234948071767576	1308	1.45888799000709146191923082369612530	436	
540	4.78845479370730586765603220555931330	4385	3.22288387532236875188118574442341924	4429	1.80933026750179526409567642986075953	4327	4.96489971140960317796952949720434844	7265	0.08008709608921703304584838178925565	1594	1.45243043469062071970654415054013953	2221	1.74353372826647934346055990317836404	1963	0.99383563175954536816902873397339135	2534	1.74353372826647934346055990317836404	1054	0.99383563175954536816902873397339135	1209	1.45243043469062071970654415054013953	417	
550	4.79674452158826092329491075361147523	4371	3.20794177890124743157684861216694117	4553	1.87303402724492262798605679563479498	4326	4.89852741340076747178500227164477110	7075	0.08350841458985419629712509959063027	1675	1.46052808367375908105145754234399647	2159	1.75934892566804590430251664656680077	1913	1.01078316199916140583070500724716112	2444	1.75934892566804590430251664656680077	980	1.01078316199916140583070500724716112	1194	1.46052808367375908105145754234399647	438	
560	4.70908216946497493182732796412892640	4326	3.40068222489750660031404549954459071	4290	1.80322544100613235684704704908654094	4346	4.95793132921459900330773962195962667	7365	0.09033462037153781876153146868091426	1673	1.49891736469768876993668982322560623	2073	1.74333342629453147409890334529336542	1803	1.00068356780227496471979975467547774	2549	1.74333342629453147409890334529336542	1130	1.00068356780227518676440467970678583	1190	1.49891736469768876993668982322560623	419	
570	4.72382370695378117630980341346003115	4502	3.36966796930641310225951201573479921	4147	1.74647464936116225686646430403925478	4281	5.05930466575249493388355404022149742	7425	0.08903857337169344965399631064428831	1645	1.47831842769492616262994033604627475	2169	1.72801636079397114009736924344906583	1765	0.97135641278335127513088309569866396	2515	1.72801636079397114009736924344906583	1010	0.97135641278335171922009294576128013	1242	1.47831842769492616262994033604627475	468	
580	4.95979222218499149477111132000572979	4310	3.30731063308365147435097242123447359	4257	1.77923285732712144202594117814442143	4201	5.32939552885551304228783919825218618	7607	0.08162370129936977192208757969638100	1625	1.46670334516226796850446589814964682	2052	1.76440312703590040932510873972205445	1835	0.97321953105972913711241290002362803	2697	1.76440312703590040932510873972205445	1003	0.97321953105972958120162275008624420	1144	1.46670334516226796850446589814964682	444	
590	4.79820011744567764822022581938654184	4298	3.38413527978743644553105696104466915	4326	1.78007712892211822364174622634891421	4175	5.06470996434046938361461798194795847	7598	0.07295827752421497891521795509106596	1603	1.48212569941863869793508001748705283	2023	1.74179889177726465732121141627430916	1972	0.98008220669730805596486788999754936	2701	1.74179889177726465732121141627430916	977	0.98008220669730850005407774006016552	1097	1.48212569941863869793508001748705283	426	
600	4.67189577366907293765052600065246224	4217	3.30897947869309883017763240786734968	4512	1.83003260498777664544434173876652494	4271	5.22246955635264242800985812209546566	7355	0.06538710914102752180809829951613210	1645	1.47077922659161020035867295518983155	2008	1.72243123042321455429259913216810673	2108	0.99708491070361038310920775984413922	2682	1.72243123042321455429259913216810673	992	0.99708491070361038310920775984413922	1052	1.47077922659161020035867295518983155	433	
610	4.91410814344831425870552266133017838	4406	3.26343659677672759400479662872385234	4509	1.74355601551739680665775722445687279	4275	5.21120298803270109999630221864208579	7217	0.07689921317830999969444860653311480	1593	1.48523583174082962621298520389245823	1988	1.79146135213004109587586754059884697	2130	0.99271914418830076165534137544455007	2788	1.79146135213004109587586754059884697	932	0.99271914418830076165534137544455007	925	1.48523583174082962621298520389245823	446	
620	4.76120581309875134934372908901423216	4224	3.28905060485831324257333108107559383	4505	1.78140669928928518928046287328470498	4305	4.85798600555280657431467261631041765	7362	0.07705215944926277482629473070119275	1604	1.47425088481878985291473327379208058	1928	1.74616961284467975268341888295253739	2093	0.98535711004730075490698482099105604	2753	1.74616961284467975268341888295253739	987	0.98535711004730075490698482099105604	937	1.47425088481878985291473327379208058	431	
630	4.87062874805292800317602086579427123	4499	3.24127184154811409655394527362659574	4383	1.74336471946460491722064034547656775	4274	5.23884000420665518760188206215389073	7226	0.08314717313408398480234495764307212	1618	1.46214672052324679007995200663572177	1975	1.76580763140923635567958172032376751	1886	0.97900897327497549138541899083065800	2867	1.76580763140923635567958172032376751	1033	0.97900897327497549138541899083065800	924	1.46214672052324679007995200663572177	424	
640	5.10612418611419904834747285349294543	4648	3.38429377439369050151185547292698175	4120	1.67731829341873206473678692418616265	4255	5.18612535851373124273777648340910673	7418	0.07735442432975905835412788746907609	1559	1.51358247614499563660217518190620467	1968	1.82384054919499649649594630318460986	1785	0.96299584107868818616537964771850966	2957	1.82384054919499649649594630318460986	1035	0.96299584107868818616537964771850966	899	1.51358247614499563660217518190620467	422	
650	5.13279608814150378748308867216110229	4426	3.43869622448089939936721748381387442	4124	1.70647499037437100355418806429952383	4362	5.10164891828536148921102721942588687	7582	0.07751587455032590834314021321915789	1506	1.53257977862964689386160443973494694	1937	1.83529305382342666774775352678261697	1870	0.97839862814211031594169298841734417	2927	1.83529305382342666774775352678261697	1035	0.97839862814211031594169298841734417	840	1.53257977862964689386160443973494694	411	
660	5.01143519089792821574746994883753359	4459	3.39639482285077320966593106277287006	4287	1.73296962214538252666784501343499869	4312	4.82403761444240153366536105750128627	7413	0.07623995444850242830803210836165817	1529	1.52631910142848981060126334341475740	1843	1.82338920398623693941431156417820603	1825	0.98741123900333960250463860575109720	3009	1.82338920398623693941431156417820603	1131	0.98741123900333960250463860575109720	856	1.52631910142848981060126334341475740	397	
670	4.95984013787384991900353270466439426	4459	3.51760034857132763974618683278094977	4355	1.74764985428533692335406612983206287	4348	4.81586586105053626738481398206204176	7308	0.08265895281974250385914615435467567	1530	1.56118274081041508161149522493360564	1748	1.82286374025805941734290627209702507	1965	1.00488963717337265180162830802146345	3089	1.82286374025805941734290627209702507	1147	1.00488963717337265180162830802146345	781	1.56118274081041508161149522493360564	441	
