iteration	C_ANC cs	C_ANC nc	C_ANC_A cs	C_ANC_A nc	C_ANC_B cs	C_ANC_B nc	C_ANC_A->B ms	C_ANC_A->B nm	C_ANC_B->A ms	C_ANC_B->A nm	C_ROOT cs	C_ROOT nc	C_ROOT_A cs	C_ROOT_A nc	C_ROOT_B cs	C_ROOT_B nc	C_ROOT_C cs	C_ROOT_C nc	C_ROOT_A->B ms	C_ROOT_A->B nm	C_ROOT_B->A ms	C_ROOT_B->A nm	C_ROOT_A->C ms	C_ROOT_A->C nm	C_ROOT_C->A ms	C_ROOT_C->A nm	C_ROOT_B->C ms	C_ROOT_B->C nm	C_ROOT_C->B ms	C_ROOT_C->B nm	
100	3.40269037019889175610387610504403710	6508	4.52475117436494222999954217812046409	4882	4.32969498371513772383423201972618699	5593	3.94302860154380363510995266551617533	2183	0.00000000000000000000000000000000000	0	7.41337568150339887296240704017691314	7671	4.52475117436494222999954217812046409	4882	4.32969498371513772383423201972618699	5593	1.52402530099661692730705908616073430	3854	9.99743316867573206252473028143867850	12208	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
110	3.46019583419456999706653732573613524	6738	4.61577181833558647383597417501732707	4798	4.62541810128723174244669280597008765	5415	4.01865308206089899556445743655785918	2314	0.00000000000000000000000000000000000	0	7.67196730468140408731869683833792806	7977	4.61577181833558647383597417501732707	4798	4.62541810128723174244669280597008765	5415	1.52981178574741094600142332637915388	3810	10.16969162859290598532879812410101295	12494	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
120	3.79050110665690853650744429614860564	6821	4.68525029903817014087508141528815031	4861	4.55384481134669805157955124741420150	5211	4.02142268470146557746147664147429168	2403	0.00000000000000000000000000000000000	0	8.10339250957800238950312632368877530	8065	4.68525029903817014087508141528815031	4861	4.55384481134669805157955124741420150	5211	1.51463058221930002567034989624517038	3863	10.17534338151506290159886702895164490	12576	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
130	3.75734750707056219809487629390787333	6812	4.80002626462080694835776739637367427	4947	4.63942120068661889575878376490436494	5154	4.05279841970848231369473069207742810	2732	0.00000000000000000000000000000000000	0	8.03371889477921818922823149478062987	8035	4.80002626462080694835776739637367427	4947	4.63942120068661889575878376490436494	5154	1.50592343109030801784342656901571900	3864	10.22768537275504030503725516609847546	13474	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
140	3.74108793865548605594995024148374796	6729	4.78259739417313767262385226786136627	5024	4.49290253779161652403217885876074433	5132	4.01874430855043129895420861430466175	2924	0.00000000000000000000000000000000000	0	7.99012905836691889049916426301933825	7943	4.78259739417313767262385226786136627	5024	4.49290253779161652403217885876074433	5132	1.53468757118209553347298879089066759	3901	10.18270007800760978966536640655249357	13896	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
150	3.71921297560907992973966429417487234	6684	4.82861748773461041395194115466438234	4995	4.47046368849844188986253357143141329	5153	4.01697113405088312987345489091239870	3000	0.00000000000000000000000000000000000	0	7.99140356024524400879727181745693088	7921	4.82861748773461041395194115466438234	4995	4.47046368849844188986253357143141329	5153	1.53754410581593270457290145714068785	3931	10.16697472052217321447642461862415075	13952	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
160	3.60175370597929056515340562327764928	6656	4.67381101118663533355856998241506517	4958	4.48572583163271332296062610112130642	5206	3.98960380611478582224549427337478846	3191	0.00000000000000000000000000000000000	0	7.88186691032118424971031345194205642	7917	4.67381101118663533355856998241506517	4958	4.48572583163271332296062610112130642	5206	1.57471982471849347717807177104987204	3919	10.14968968979279750897148915100842714	14308	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
170	3.66635877515855135300171241397038102	6607	4.72340291293281122619873713119886816	4882	4.43944747885466295400647140922956169	5257	3.98422836814748793088369893666822463	3324	0.00000000000000000000000000000000000	0	8.10066022797197149429848650470376015	7872	4.72340291293281122619873713119886816	4882	4.43944747885466295400647140922956169	5257	1.54295993592529079307951178634539247	3989	10.11212555460453188516112277284264565	14500	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
180	3.70624673774065049869363974721636623	6674	4.84196061442186831413891923148185015	4821	4.42882274400538733516441425308585167	5202	3.99966633364510837367333806469105184	3611	0.00000000000000000000000000000000000	0	8.25886902227810359988779964623972774	7993	4.84196061442186831413891923148185015	4821	4.42882274400538733516441425308585167	5202	1.59143800985551342463963919726666063	3984	10.18921022626697769908332702470943332	15138	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
190	3.66026027423067601418438243854325265	6723	4.99099280643871079377049682079814374	4861	4.38706050954726567425723260384984314	5104	4.02132013548103195432759093819186091	3778	0.00000000000000000000000000000000000	0	8.28225381924541181888343999162316322	8097	4.99099280643871079377049682079814374	4861	4.38706050954726567425723260384984314	5104	1.60220416211887584090334257780341431	3938	10.23537019324173868994876102078706026	15588	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
200	3.59640429592902899358364265935961157	6556	4.86276783290916281288218669942580163	4908	4.35690876455527575927817451884038746	5161	3.98771985010757257228419803141150624	3738	0.00000000000000000000000000000000000	0	8.19995052120866141365240764571353793	7930	4.86276783290916281288218669942580163	4908	4.35690876455527575927817451884038746	5161	1.59051680620099045171400575782172382	4001	10.17220298253043431202513602329418063	15348	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
210	3.64174943700916387001598195638507605	6634	5.03694461424779049707467493135482073	4969	4.29111775205541423616750762448646128	5141	4.00886029832796619842838481417857111	3917	0.00000000000000000000000000000000000	0	8.33278695977212890966256964020431042	7992	5.03694461424779049707467493135482073	4969	4.29111775205541423616750762448646128	5141	1.55599038478969409204921703349100426	3898	10.17961037480966268731208401732146740	16068	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
220	3.66462812250049907447646546643227339	6658	4.88795335682186049552910844795405865	4764	4.41248643423463171586718090111389756	5268	4.00008898641135779428168461890891194	3976	0.00000000000000000000000000000000000	0	8.22567225519700429003933095373213291	8007	4.88795335682186049552910844795405865	4764	4.41248643423463171586718090111389756	5268	1.56893692344266932892082877515349537	3961	10.17696778781422928261690685758367181	16012	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
230	3.63102253374699257548741115897428244	6658	5.00978200286279218289564596489071846	4875	4.37300996872336966703187499660998583	5227	4.01533537964784503770943047129549086	4040	0.00000000000000000000000000000000000	0	8.04811666079507226356781757203862071	7959	5.00978200286279218289564596489071846	4875	4.37300996872336966703187499660998583	5227	1.52225477343261306195643101091263816	3939	10.16901639960370218318530532997101545	16242	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
240	3.59783463291347249679574815672822297	6655	5.01908987834226572033458069199696183	4933	4.40917074703803191226825219928286970	5220	4.02383725760387100933712645201012492	4113	0.00000000000000000000000000000000000	0	8.08269611821978806176502985181286931	7971	5.01908987834226572033458069199696183	4933	4.40917074703803191226825219928286970	5220	1.52804874731413820043712803453672677	3876	10.19319758046590251865382015239447355	16510	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
250	3.45143377627560399290018722240347415	6626	4.70837422662117255356406531063839793	4987	4.06206103462211043364504803321324289	5087	3.74487986614829848619478980253916234	4399	0.00000000000000000000000000000000000	0	7.74994719144851718084510139306075871	7987	4.70837422662117255356406531063839793	4987	4.06206103462211043364504803321324289	5087	1.45773549147790526525625409703934565	3939	9.52414590705253871760760375764220953	17018	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
260	3.43535976460740988258635297825094312	6682	4.87104308267750063521361880702897906	4935	4.02976678802739751716899263556115329	5100	3.76406699941318079183361078321468085	4361	0.00000000000000000000000000000000000	0	7.90745592073799397070388295105658472	8095	4.87104308267750063521361880702897906	4935	4.02976678802739751716899263556115329	5100	1.43569528666981383047129838814726099	3870	9.55673480611208780999277223600074649	16962	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
270	3.31965089265279900132554757874459028	6660	4.65581566647393518820763347321189940	4821	4.00281714269929711491613488760776818	5154	3.68250613863407272319250296277459711	4653	0.00000000000000000000000000000000000	0	7.70615953539758713475293916417285800	8082	4.65581566647393518820763347321189940	4821	4.00281714269929711491613488760776818	5154	1.44119547983708118366052985948044807	3943	9.37254747312657343627506634220480919	17506	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
280	3.37744761800980608512645630980841815	6773	4.70599825372952551560956635512411594	4859	4.17007586249276762657700601266697049	5108	3.72616002112833077930531544552650303	4749	0.00000000000000000000000000000000000	0	7.69301878353928803022654392407275736	8194	4.70599825372952551560956635512411594	4859	4.17007586249276762657700601266697049	5108	1.41732909329658229857784590421942994	3839	9.43711694752152929765998123912140727	18016	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
290	3.42286145013342357756869205331895500	6771	4.75861483609256552540500706527382135	4808	4.16156854123341979345696017844602466	5091	3.72647525142849733725824989960528910	4896	0.00000000000000000000000000000000000	0	7.67904553347594465151360054733231664	8140	4.75861483609256552540500706527382135	4808	4.16156854123341979345696017844602466	5091	1.42110295340282699605438665457768366	3961	9.43975056536263501527628250187262893	18214	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
300	3.40946618060275197237274369399528950	6752	4.73776309070102907838872852153144777	4960	4.12874321900436935806055771536193788	5066	3.71884157279634841586357651976868510	4989	0.00000000000000000000000000000000000	0	7.80590847168949242274038624600507319	8160	4.73776309070102907838872852153144777	4960	4.12874321900436935806055771536193788	5066	1.42383574931966960797069532418390736	3814	9.43351407342889736185043147997930646	18616	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
310	3.51898311022507570555717393290251493	6814	4.79659492639429529958761122543364763	4840	4.19842775143567159545909817097708583	4999	3.76873043704692500810438104963395745	5105	0.00000000000000000000000000000000000	0	7.98774282956102599229097904753871262	8234	4.79659492639429529958761122543364763	4840	4.19842775143567159545909817097708583	4999	1.43240154400318298044680886960122734	3927	9.55142815793105626198666868731379509	18834	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
320	3.32526811228012730836667287803720683	6720	4.72070389720227190366586000891402364	4946	4.13893453381372822263983835000544786	4936	3.73797497674762801977976778289303184	5298	0.00000000000000000000000000000000000	0	7.66784639797580958031630871118977666	8106	4.72070389720227190366586000891402364	4946	4.13893453381372822263983835000544786	4936	1.44980541342981461561123524006688967	4012	9.50157368968466187197918770834803581	18888	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
330	3.29209226014857891939868750341702253	6672	4.85919073094945908053432503947988153	5127	3.99376891065923445012231240980327129	4886	3.72759899845873476920132816303521395	5415	0.00000000000000000000000000000000000	0	7.61262788048830074671968759503215551	8085	4.85919073094945908053432503947988153	5127	3.99376891065923445012231240980327129	4886	1.46723427486953994502982823178172112	3902	9.49921244070585757413027749862521887	19414	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
340	3.34338113091137056898105583968572319	6726	4.94999534917308370296495922957547009	5059	3.99196675284575475117776477418374270	4875	3.74959685906482320660870755091309547	5567	0.00000000000000000000000000000000000	0	7.61809572856749195324255197192542255	8109	4.94999534917308370296495922957547009	5059	3.99196675284575475117776477418374270	4875	1.45964587718697846874249535176204517	3957	9.52479364214101487107200227910652757	19508	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
350	3.45591223227839616782830489682964981	6742	4.90500271062309955993896437576040626	5063	4.09030775712025906898361427010968328	4858	3.75629286783740212740667629987001419	5673	0.00000000000000000000000000000000000	0	7.89680961741733256076258840039372444	8204	4.90500271062309955993896437576040626	5063	4.09030775712025906898361427010968328	4858	1.51017610379740574444440426304936409	3875	9.57162765746767618679768929723650217	19830	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
360	3.41766270953119555287003095145337284	6767	4.94500284707536508221892290748655796	5082	4.08301974502912390363462691311724484	4796	3.75957737031079020084689545910805464	5586	0.00000000000000000000000000000000000	0	7.80998672517502701140301724080927670	8198	4.94500284707536508221892290748655796	5082	4.08301974502912390363462691311724484	4796	1.48533132723089278393047152349026874	3924	9.56649608240490678667811152990907431	19550	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
370	3.53780116189464388654073445650283247	6615	4.90421512125723069175364798866212368	5184	3.98558310937658255568294407567009330	4886	3.72972196157036339769774713204242289	5640	0.00000000000000000000000000000000000	0	8.16694783573016991340409731492400169	8080	4.90421512125723069175364798866212368	5184	3.98558310937658255568294407567009330	4886	1.50478124416152048148376252356683835	3850	9.52144066596223836995704914443194866	19782	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
380	3.67226795748864986990156467072665691	6615	4.88464479400200968228773490409366786	5095	3.94885232085737625240540182858239859	4822	3.72507127256000902804089491837657988	5532	0.00000000000000000000000000000000000	0	8.43155139357311611547629581764340401	8146	4.88464479400200968228773490409366786	5095	3.94885232085737625240540182858239859	4822	1.56263405678906108775549910205882043	3937	9.56787977387230625936354044824838638	19218	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
390	3.55439410958290968878259263874497265	6553	4.90403607972920418944795528659597039	5119	3.90229013791739332006613949488382787	4825	3.70779253573848999181450381001923233	5939	0.00000000000000000000000000000000000	0	8.38212674012554259661555988714098930	8118	4.90403607972920418944795528659597039	5119	3.90229013791739332006613949488382787	4825	1.55322904370006753538291377481073141	3938	9.54017088670731183697171218227595091	20014	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
400	3.51090834425124675988172384677454829	6581	4.72675110110755980485919280909001827	5046	3.71955709833799863517356243391986936	4791	3.57621457872419101775562921829987317	5916	0.00000000000000000000000000000000000	0	8.44354506917667535503824183251708746	8237	4.72675110110755980485919280909001827	5046	3.71955709833799863517356243391986936	4791	1.54882631432616091338161368184955791	3926	9.24363509688316753454273566603660583	19860	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
410	3.76565470289651571533795504365116358	6712	4.83842308253978803378458906081505120	5002	3.78960189551912218774987195502035320	4748	3.58373550155497655467229378700722009	5754	0.00000000000000000000000000000000000	0	8.73786038305397916303718375274911523	8378	4.83842308253978803378458906081505120	5002	3.78960189551912218774987195502035320	4748	1.51206508689848262427801728335907683	3872	9.22426385648404156825108657358214259	19610	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
420	3.73031302811314713352430771919898689	6691	4.72756507247470203481043427018448710	4985	3.57797248939813439250201554386876523	4779	3.50135813328821621226438765006605536	5626	0.00000000000000000000000000000000000	0	8.57553888035150535529282933566719294	8339	4.72756507247470203481043427018448710	4985	3.57797248939813439250201554386876523	4779	1.53181307542985400971247145207598805	3897	9.04982630063082638116611633449792862	19222	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
430	3.87665152570607496329557761782780290	6719	4.87815058779640065012017657863907516	5186	3.54619621490533809549106081249192357	4585	3.48261640442218034507959600887261331	5731	0.00000000000000000000000000000000000	0	8.80498392081291925137520593125373125	8401	4.87815058779640065012017657863907516	5186	3.54619621490533809549106081249192357	4585	1.47272042824893811818753874831600115	3828	8.95804780035370207258438313147053123	19600	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
440	3.97337285127686712371541943866759539	6764	4.82206993694206342837560441694222391	5197	3.59146502355157259955831250408664346	4519	3.48610472470334720185292098904028535	5824	0.00000000000000000000000000000000000	0	8.90995873141497440883540548384189606	8417	4.82206993694206342837560441694222391	5197	3.59146502355157259955831250408664346	4519	1.46861530677023455204732726997463033	3867	8.96291884300829089227136137196794152	19960	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
450	4.16848137814603525441725651035085320	6777	4.93850295659786020507908688159659505	5097	3.57807772055903372532270623196382076	4655	3.50110386701537468212563908309675753	5728	0.00000000000000000000000000000000000	0	8.96339825863103811798282549716532230	8393	4.93850295659786020507908688159659505	5097	3.57807772055903372532270623196382076	4655	1.45149261301147070035710839874809608	3855	8.97007708695443817248360574012622237	19530	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
460	4.44831387199621719474862402421422303	6850	4.85682150814231050617308937944471836	4965	3.51362505912771094784829983836971223	4556	3.42857486129888311410240930854342878	5599	0.00000000000000000000000000000000000	0	9.66630685342489215372552280314266682	8629	4.85682150814231050617308937944471836	4965	3.51362505912771094784829983836971223	4556	1.47332340489538249350687237892998382	3850	8.83676073915099635769365704618394375	19320	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
470	4.36296196907218547522688822937197983	6817	4.86633492726243765957860887283459306	4971	3.48231762027634550449306516384240240	4548	3.42915086246346190179679069842677563	5614	0.00000000000000000000000000000000000	0	9.32540794080927248899115511449053884	8513	4.86633492726243765957860887283459306	4971	3.48231762027634550449306516384240240	4548	1.43044929800718967349837384972488508	3968	8.80272162723367124215201329207047820	19104	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
480	4.45359148024893247708178023458458483	6924	4.81071680051923777909905766136944294	4754	3.55679801853750410245424973254557699	4574	3.44416878613227606109603584627620876	5526	0.00000000000000000000000000000000000	0	9.63263223291117576252418075455352664	8674	4.81071680051923777909905766136944294	4754	3.55679801853750410245424973254557699	4574	1.47257829926449246293884698388865218	3998	8.87285902702848794376677687978371978	18744	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	0.00000000000000000000000000000000000	0	
