Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
355	 0.41415	 0.97022	 6.38052	 0.00000	 0.00000	 0.00000	-1208.878320469	-14265.773683609	2176.990478922
356	 0.42075	 1.02255	 6.25056	 0.00000	 0.00000	 0.00000	-1210.334012378	-14267.392319180	2164.052195396
357	 0.40384	 1.07074	 6.24521	 0.00000	 0.00000	 0.00000	-1211.256399260	-14270.297495270	2157.733502666
358	 0.38342	 1.10879	 6.07002	 0.00000	 0.00000	 0.00000	-1207.904771905	-14274.706429294	2195.658710246
359	 0.36284	 1.14967	 5.94824	 0.00000	 0.00000	 0.00000	-1205.661428167	-14265.375626488	2208.761344821
360	 0.37744	 1.09465	 5.79910	 0.00000	 0.00000	 0.00000	-1209.313866725	-14272.513083906	2179.374416655
361	 0.38845	 1.04937	 5.78249	 0.00000	 0.00000	 0.00000	-1208.626444342	-14261.885755356	2175.621311936
362	 0.40390	 1.01355	 5.91740	 0.00000	 0.00000	 0.00000	-1208.348341908	-14262.437450552	2178.954031468
363	 0.38722	 0.97880	 5.89408	 0.00000	 0.00000	 0.00000	-1208.779693358	-14267.383225654	2179.586292076
364	 0.36920	 1.01571	 6.08595	 0.00000	 0.00000	 0.00000	-1208.555775564	-14269.331211812	2183.773456170
365	 0.34845	 1.07111	 6.24493	 0.00000	 0.00000	 0.00000	-1209.463804422	-14272.742491322	2178.104447103
366	 0.36466	 1.02944	 6.07296	 0.00000	 0.00000	 0.00000	-1208.272918749	-14279.757430965	2197.028243476
367	 0.35318	 1.08686	 6.06733	 0.00000	 0.00000	 0.00000	-1212.594162046	-14290.047560050	2164.105939590
368	 0.34034	 1.13061	 6.04931	 0.00000	 0.00000	 0.00000	-1209.814249151	-14286.827516014	2188.685024502
369	 0.35679	 1.07610	 5.82106	 0.00000	 0.00000	 0.00000	-1206.169907759	-14270.317408343	2208.618330749
370	 0.33912	 1.11818	 5.80605	 0.00000	 0.00000	 0.00000	-1209.379290983	-14269.798133866	2176.005224034
