,logPrior,time_stats,num_coal,theta_root,P_Z_M,P_Z_M0,E_diff
0,34.527995000000004,0.035607,310,0.00010728799999999998,2716.3895399999997,2716.3912786838587,-0.0017386838590027764
1,34.575846999999996,0.038667,310,0.00010704700000000001,2687.754554,2687.7556547628074,-0.001100762807254796
2,34.525034999999995,0.038301999999999996,310,0.00011027499999999998,2692.432222,2692.4292818623544,0.0029401376455098216
3,34.572361,0.04102,310,0.000114022,2669.6506050000003,2669.647426176661,0.0031788233391125686
4,34.539087,0.041689,310,0.00011428200000000001,2663.973918,2663.905879041635,0.06803895836492302
5,34.512556,0.044637,310,0.000113826,2637.781942,2637.784721183021,-0.002779183020720666
6,34.570972,0.042328,310,0.00011369400000000001,2657.995127,2657.998033306538,-0.0029063065380796616
7,34.628616,0.039885000000000004,310,0.00011400299999999999,2679.5979629999997,2679.595007921612,0.0029550783879130904
8,34.688848,0.039167,310,0.000113593,2685.767806,2685.769938565945,-0.002132565944975795
9,34.54169,0.039293,310,0.000119743,2686.0849789999997,2686.0816446261315,0.0033343738682560797
10,34.384133,0.043391000000000006,310,0.00012749,2654.440229,2654.4438779871666,-0.003648987166798179
11,34.289217,0.042043000000000004,310,0.00012885799999999998,2665.212376,2665.209598974015,0.0027770259848693968
12,34.250904999999996,0.044462,310,0.00013517799999999999,2647.727455,2647.725777784697,0.00167721530306153
13,34.19597,0.045239,310,0.00014191,2642.785112,2642.7874973913968,-0.0023853913967286644
14,34.250438,0.046326,310,0.000142359,2635.1778489999997,2635.1780395981173,-0.00019059811756960698
15,34.144381,0.048679,310,0.00014273200000000002,2618.728535,2618.731826335045,-0.003291335044650623
16,34.184348,0.048258999999999996,310,0.000143151,2621.75685,2621.7553485150547,0.001501484945492848
17,34.220895,0.048007,310,0.000146471,2624.0118079999997,2624.0096742520755,0.002133747924290219
18,34.139379,0.047533,310,0.00014681799999999998,2627.282214,2627.279263856546,0.0029501434537451132
19,34.068422999999996,0.053237,310,0.000151831,2589.9945399999997,2589.992530399237,0.002009600762903574
20,33.913082,0.052328,310,0.000157773,2597.059689,2597.058757251508,0.0009317484923485608
21,33.797705,0.055434000000000004,310,0.000162724,2578.483057,2578.483972331776,-0.0009153317760137725
22,33.79339,0.054658000000000005,310,0.00016303700000000002,2583.301567,2583.3019226838655,-0.0003556838655640604
23,33.698584999999994,0.049326,310,0.000164283,2615.943393,2615.9406502639144,0.0027427360855654115
24,33.656944,0.054153999999999994,310,0.000161952,2586.235662,2586.237873412942,-0.002211412941960589
25,33.546921000000005,0.054722,310,0.00016789900000000003,2583.518207,2583.519358661445,-0.0011516614449647022
26,33.578216999999995,0.057604999999999996,310,0.000168764,2566.513674,2566.5138544379884,-0.00018043798854705528
27,33.652219,0.055844000000000005,310,0.00016917900000000001,2576.996111,2576.9988781606307,-0.0027671606308103947
28,33.802859999999995,0.0569,310,0.000162589,2569.4392829999997,2569.4418056935274,-0.0025226935276805307
29,33.842512,0.054877999999999996,310,0.00016782099999999996,2582.5829710000003,2582.5823630307555,0.0006079692448111018
30,33.865303000000004,0.055067,310,0.00016754,2581.428011,2581.42532076132,0.002690238679861068
31,33.796096999999996,0.053689999999999995,310,0.00017144700000000003,2589.800775,2589.800900668725,-0.00012566872464958578
32,33.728034,0.054463,310,0.000177797,2585.365031,2585.363485413663,0.001545586336760607
33,33.74555,0.05823300000000001,310,0.000173885,2563.686546,2563.6879573621427,-0.001411362142789585
34,33.810317,0.057324,310,0.000174465,2568.9791370000003,2568.9792125934705,-7.559347022834118e-05
35,33.853064,0.056446,310,0.000170192,2573.576504,2573.5757507676844,0.000753232315673813
36,33.766492,0.054951,310,0.00017999099999999998,2582.586005,2582.584177290809,0.001827709191275062
37,33.742605,0.060409000000000004,310,0.000186538,2552.965111,2552.9641946052893,0.0009163947106571868
38,33.647827,0.06327100000000001,310,0.00019171599999999998,2538.295206,2538.294594995081,0.0006110049189373967
39,33.668381,0.055799,310,0.00019105,2577.3314649999998,2577.333090560438,-0.0016255604382422462
40,33.639602000000004,0.061953999999999995,310,0.000191645,2545.159219,2545.1592362636184,-1.7263618246943224e-05
41,33.651811,0.06354,310,0.000195935,2537.281908,2537.279958727482,0.0019492725177769898
42,33.701329,0.055385000000000004,310,0.00019119700000000002,2579.485999,2579.484515603417,0.001483396582898422
43,33.571279,0.066276,310,0.000196815,2523.4379010000002,2523.4393702383004,-0.0014692383001602138
44,33.633789,0.060575,310,0.000196338,2552.411557,2552.410147335728,0.001409664271704969
45,33.729386,0.06412999999999999,310,0.000192678,2533.932694,2533.932481637969,0.00021236203110674978
46,33.589498,0.065335,310,0.000197996,2528.3456730000003,2528.34596835079,-0.00029535078965636785
47,33.424929,0.071748,310,0.00020723899999999999,2497.972537,2497.9743903338813,-0.0018533338811721478
48,33.34968,0.07168,310,0.000213876,2499.264879,2499.2635438886155,0.0013351113843782514
49,33.353096,0.067561,310,0.000213302,2518.506007,2518.505399856188,0.0006071438119761297
50,33.244678,0.072949,310,0.00022333599999999998,2494.3611969999997,2494.3605027874514,0.0006942125482964911
51,33.110192,0.074751,310,0.000231588,2486.968909,2486.970528876379,-0.0016198763787542703
52,33.031665000000004,0.078345,310,0.00023184299999999997,2471.480049,2471.4825232953676,-0.002474295367846935
53,32.934622,0.079899,310,0.000241543,2465.911563,2465.9133476956736,-0.0017846956734501873
54,32.89678,0.077058,310,0.000241543,2477.674031,2477.675228603007,-0.0011976030068581167
55,32.799295,0.08517899999999999,310,0.00025055400000000005,2445.3832399999997,2445.382171650691,0.0010683493087526585
