,logPrior,time_stats,num_coal,theta_root,P_Z_M,P_Z_M0,E_ratio
0,32.612206,0.11141500000000001,150,9.9983e-05,623.248085,371.209197343755,252.03888765624492
1,32.544296,0.318404,150,9.9983e-05,-1366.0067589999999,-1699.0327437862372,333.02598478623736
2,32.544296,0.44860200000000006,150,9.9983e-05,-2633.5377359999998,-3001.2341180198573,367.69638201985754
3,32.477239000000004,0.454029,150,0.000102823,-2509.28052,-2934.289278096595,425.0087580965951
4,32.30277,0.639138,150,0.000102823,-4164.231911999999,-4734.557700531264,570.3257885312651
5,32.208144,0.725279,150,0.000103051,-4907.163023,-5557.043766160721,649.8807431607211
6,32.088668,0.8321200000000001,150,0.000109376,-5514.752490999999,-6135.804790256396,621.0522992563965
7,31.978678000000002,0.840174,150,0.00011303399999999999,-5324.247213000001,-5965.7863222550495,641.539109255049
8,31.954026000000002,0.8708309999999999,150,0.00011303399999999999,-5552.6638920000005,-6237.005601409994,684.3417094099932
9,31.910788,0.911602,150,0.00011303399999999999,-5868.727938,-6597.702382909367,728.9744449093669
