,hm_data_likelihood,hyp_gene_likelihood,root,ref_gene_likelihood,rbf_ratio
0,14624.834818314368,4009.030272394975,3106.2861376209357,3106.2861376209357,-902.7441347740391
1,14432.040568260181,4003.469550712224,3125.8848972976475,3125.8848972976475,-877.5846534145767
2,14261.74312942668,3994.1498639421143,3074.1555561439636,3074.1555561439636,-919.9943077981507
3,14196.043841236684,3995.505578941221,3032.7128246926777,3032.7128246926777,-962.7927542485431
4,14175.016790722442,3981.3531214554923,2944.3885363335685,2944.3885363335685,-1036.9645851219238
5,14164.185701435174,4017.0351385278946,3061.682045072772,3061.682045072772,-955.3530934551227
6,14169.800242790969,3987.7636463837925,3028.3913572919037,3028.3913572919037,-959.3722890918889
7,14127.71823105108,4009.460759438242,3130.2491546882516,3130.2491546882516,-879.2116047499903
8,14120.784759301569,3972.4166455497757,3003.1594367841876,3003.1594367841876,-969.2572087655881
9,14135.229828470161,3954.5773445558,2958.551428202186,2958.551428202186,-996.0259163536143
10,14121.175026999861,4003.1050302413933,3117.587999933532,3117.587999933532,-885.5170303078612
11,14112.101312291099,3952.233800876379,2913.0205881634915,2913.0205881634915,-1039.2132127128875
12,14118.018201039731,3977.783244313768,3032.4858149438237,3032.4858149438237,-945.2974293699444
13,14115.811389689652,3956.699056041574,2909.0209670226304,2909.0209670226304,-1047.6780890189434
14,14120.576851897042,3942.8109612216085,2897.5628616567237,2897.5628616567237,-1045.2480995648848
15,14122.789864229442,3956.1998344145845,2862.017208611755,2862.017208611755,-1094.1826258028295
16,14106.910247827189,3968.247689532827,2852.9280837297183,2852.9280837297183,-1115.3196058031085
17,14107.89257204334,3930.7115357863927,2637.628753244305,2637.628753244305,-1293.082782542088
18,14100.609049435145,3940.681684847839,2616.412479206746,2616.412479206746,-1324.2692056410929
19,14093.763425399728,3949.971172876954,2579.340381789356,2579.340381789356,-1370.630791087598
20,14094.956406618481,3972.1229745930495,2746.48965310296,2746.48965310296,-1225.6333214900897
21,14095.807879591794,3996.4009463383136,2751.444287821725,2751.444287821725,-1244.9566585165885
22,14098.201099295837,3968.884997580418,2692.9565047209494,2692.9565047209494,-1275.9284928594684
23,14099.399718793615,3944.3127803344655,2641.7666344798063,2641.7666344798063,-1302.5461458546592
24,14102.955375272333,3975.55885871345,2806.3210780713907,2806.3210780713907,-1169.237780642059
25,14098.506606976256,3931.672143714484,2627.6979199123016,2627.6979199123016,-1303.9742238021822
26,14097.128875486304,3955.296173806047,2706.6866480992753,2706.6866480992753,-1248.6095257067718
27,14100.918944624944,3944.488586843907,2637.9271582411675,2637.9271582411675,-1306.5614286027394
28,14095.905556420304,3968.514224917641,2747.932244257516,2747.932244257516,-1220.5819806601253
29,14095.153895062193,3919.624254079752,2510.4989245142633,2510.4989245142633,-1409.1253295654888
30,14098.327344394302,3956.690811746219,2741.206905143196,2741.206905143196,-1215.4839066030231
31,14103.60277628868,3943.339855346906,2722.8714816487827,2722.8714816487827,-1220.4683736981233
32,14100.352567801028,3988.273384380674,2902.3984403268323,2902.3984403268323,-1085.8749440538418
33,14093.938274130041,3983.7663319494845,2849.0850862744933,2849.0850862744933,-1134.6812456749913
34,14092.968591190529,3978.4345555246286,2845.4333446833507,2845.4333446833507,-1133.001210841278
35,14095.93413076991,3975.9486989352063,2827.456875197757,2827.456875197757,-1148.491823737449
36,14096.35033714952,3931.567546302335,2705.407821296495,2705.407821296495,-1226.1597250058398
37,14099.939222667103,3995.6552911930953,2854.2130440412584,2854.2130440412584,-1141.442247151837
38,14104.87992152646,3974.6240403376905,2799.3315728492153,2799.3315728492153,-1175.2924674884753
39,14099.490310814821,3979.3161451275846,2844.817094522393,2844.817094522393,-1134.4990506051918
40,14093.250841890642,3997.9264909089306,2941.6065216920633,2941.6065216920633,-1056.3199692168673
41,14098.453909401089,3974.3925943667195,2810.462241237631,2810.462241237631,-1163.9303531290884
42,14103.280080105063,3951.9674340651136,2760.7482421815503,2760.7482421815503,-1191.2191918835633
43,14093.234669927715,3994.833905980396,2932.2645518860245,2932.2645518860245,-1062.5693540943716
44,14101.175608921707,4001.7717516292105,3001.7928456309005,3001.7928456309005,-999.97890599831
45,14103.747493653034,3987.8026118712596,2935.271045590557,2935.271045590557,-1052.5315662807025
46,14103.431387827233,3975.690831035181,2861.904865211621,2861.904865211621,-1113.7859658235598
47,14105.692536594246,3975.7982663373364,2873.0104123996252,2873.0104123996252,-1102.7878539377111
48,14109.061677294321,3972.010845338232,2937.0938477074724,2937.0938477074724,-1034.9169976307594
49,14102.568932545071,3990.72658741742,3047.4657746716393,3047.4657746716393,-943.2608127457806
50,14104.841051322377,3968.032647893759,3016.994727107383,3016.994727107383,-951.0379207863762
51,14105.180055760835,3982.190073694908,3091.964560106726,3091.964560106726,-890.2255135881819
52,14106.213579923686,4007.3146435007898,3171.9974057082345,3171.9974057082345,-835.3172377925553
53,14109.44712242165,4023.6031684232885,3170.9084120821985,3170.9084120821985,-852.6947563410899
54,14108.588642522987,3988.8365575696134,3095.689578933552,3095.689578933552,-893.1469786360612
55,14089.782203700452,3948.2268672354444,3051.7824800368726,3051.7824800368726,-896.4443871985718
56,14079.049699794856,3990.7026617317783,3180.950297693257,3180.950297693257,-809.7523640385211
57,14083.079541691086,4010.8044290257662,3219.1515997507863,3219.1515997507863,-791.6528292749799
58,14079.06616451867,4004.640631551855,3168.7179362515253,3168.7179362515253,-835.9226953003299
59,14076.066237122419,3988.563451128642,3122.808554276842,3122.808554276842,-865.7548968517999
60,14082.223656691474,3980.8586494851775,3022.632816167185,3022.632816167185,-958.2258333179925
61,14079.929488308842,3947.4261304398556,2869.175908811091,2869.175908811091,-1078.2502216287644
62,14079.47008788155,3966.3615291156166,2890.768492511812,2890.768492511812,-1075.5930366038046
63,14076.640132659624,3916.4488595312405,2788.351793326467,2788.351793326467,-1128.0970662047735
64,14081.414272483658,3965.862328040705,2966.471553171794,2966.471553171794,-999.3907748689112
65,14076.982648612911,3957.656707984832,2954.349869859516,2954.349869859516,-1003.3068381253161
66,14079.479403763879,3972.4678217819637,3041.9775905281467,3041.9775905281467,-930.490231253817
67,14069.877387883449,3943.931650865271,2924.359811684368,2924.359811684368,-1019.5718391809028
68,14078.250010977481,3960.3014393134044,2933.581721552616,2933.581721552616,-1026.7197177607886
69,14078.282346804212,3944.8328946784236,2892.363205816514,2892.363205816514,-1052.4696888619096
70,14071.45291728215,3931.025089534345,2802.990522771643,2802.990522771643,-1128.034566762702
71,14076.011616787466,3878.634328682135,2535.249888940958,2535.249888940958,-1343.3844397411772
72,14068.6228402644,3945.1657643768967,2720.2462309232433,2720.2462309232433,-1224.9195334536535
73,14067.123522179716,3956.937307340591,2797.0508207205967,2797.0508207205967,-1159.8864866199942
74,14074.29126137555,3946.7695405684563,2690.273651834722,2690.273651834722,-1256.4958887337343
75,14046.887609905983,3915.2486201374763,2646.7768144219917,2646.7768144219917,-1268.4718057154846
