Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 0.94345	 1.03570	 1.05790	 1.02750	-43108.828697370	-431631.576127022	543.289153318
1	 0.98613	 1.07639	 1.05790	 1.02750	-37347.101820452	-372372.839488685	-1098.178715839
2	 0.98613	 1.07639	 1.05790	 1.04471	-34191.574054242	-339632.974293558	-2282.766248863
3	 1.01433	 1.11744	 1.06100	 1.04777	-32380.152842041	-321567.603191378	-2233.925229028
4	 1.06108	 1.11744	 1.10815	 1.07588	-30901.885613633	-306557.526159603	-2461.329976730
5	 1.06432	 1.12085	 1.11153	 1.11585	-29822.851428925	-294504.783624870	-3723.730664383
6	 1.06432	 1.12085	 1.11153	 1.14228	-28971.420387760	-284478.018182144	-5236.185695461
7	 1.06432	 1.18479	 1.14369	 1.17845	-28356.447028331	-277865.940563776	-5698.529719530
8	 1.06793	 1.20744	 1.17624	 1.20870	-27687.280177353	-271061.293635156	-5811.508138377
9	 1.06793	 1.20744	 1.17624	 1.22168	-27083.999333471	-264620.448097414	-6219.545237292
10	 1.11893	 1.21038	 1.17910	 1.22465	-26447.141422275	-257225.306569118	-7246.107653630
11	 1.12167	 1.26550	 1.20806	 1.22766	-26126.231002762	-254722.642622797	-6539.667404827
12	 1.18388	 1.26964	 1.26102	 1.27102	-25899.881742331	-252360.681461538	-6638.135961773
13	 1.18679	 1.27276	 1.26412	 1.29964	-25411.606790797	-246999.935169034	-7116.132738931
14	 1.18679	 1.27276	 1.35043	 1.29964	-24915.130758238	-242699.706810169	-6451.600772210
15	 1.24483	 1.32613	 1.35215	 1.30130	-24561.186572369	-238687.819564701	-6924.046158985
16	 1.24662	 1.38552	 1.35410	 1.32322	-24368.472561595	-236560.143423547	-7124.582192405
17	 1.25063	 1.38998	 1.35846	 1.32748	-24154.249627946	-233635.800658335	-7906.695621129
18	 1.30143	 1.46080	 1.36243	 1.35829	-23783.860568612	-230054.783213724	-7783.822472392
19	 1.38409	 1.53163	 1.36243	 1.38983	-23530.162116335	-227351.227492682	-7950.393670665
20	 1.38409	 1.53163	 1.36243	 1.41447	-23308.032231930	-223915.832118307	-9164.490200991
21	 1.44637	 1.53954	 1.44273	 1.42178	-23106.853742497	-222787.001669751	-8281.535755217
22	 1.45054	 1.54398	 1.44690	 1.42588	-22829.659587388	-220176.802662580	-8119.793211300
23	 1.51465	 1.60436	 1.52901	 1.45474	-22720.117215860	-219580.152299496	-7621.019859101
24	 1.58183	 1.68416	 1.57606	 1.45474	-22472.142648149	-216973.715652287	-7747.710829201
25	 1.62542	 1.76248	 1.58371	 1.47997	-22303.583092042	-215486.490992741	-7549.339927676
26	 1.63179	 1.84733	 1.58992	 1.48577	-22189.458864469	-213801.570870578	-8093.017774110
27	 1.63662	 1.96048	 1.65589	 1.49017	-21990.730411808	-211942.386035918	-7964.918082163
28	 1.69659	 1.96048	 1.65589	 1.49017	-21933.650846108	-211264.182890618	-8072.325570461
29	 1.74546	 1.96836	 1.66254	 1.49616	-21894.100061750	-210527.646314159	-8413.354303344
30	 1.74546	 2.04729	 1.76454	 1.49616	-21809.028077208	-209891.463554089	-8198.817217987
31	 1.82045	 2.04729	 1.81245	 1.49616	-21691.481921086	-208828.724613136	-8086.094597727
32	 1.82045	 2.04729	 1.81245	 1.49616	-21584.343093306	-207576.471852102	-8266.959080954
33	 1.93395	 2.05076	 1.86334	 1.51571	-21427.068356581	-205980.591471662	-8290.092094151
34	 2.00566	 2.12728	 1.86927	 1.52054	-21269.890347341	-204371.980678989	-8326.922794422
35	 2.01220	 2.25869	 1.93851	 1.53945	-21177.105798521	-203180.632529694	-8590.425455518
36	 2.01220	 2.25869	 1.93851	 1.58007	-21126.631628097	-202453.428870742	-8812.887410226
37	 2.01679	 2.33740	 1.94294	 1.60212	-21031.724000615	-201401.364306097	-8915.875700055
38	 2.01679	 2.33740	 2.02851	 1.60212	-20964.520217293	-201302.842518422	-8342.359654505
39	 2.01679	 2.51023	 2.02851	 1.62446	-20863.230084632	-200083.674553701	-8548.626292616
40	 2.05124	 2.54739	 2.02851	 1.62446	-20547.255376288	-196011.925157367	-9460.628605516
41	 2.11803	 2.63965	 2.14029	 1.67847	-20286.519639756	-193416.843262502	-9448.353135058
42	 2.11803	 2.63965	 2.19689	 1.69518	-20202.479125614	-193130.266817571	-8894.524438573
43	 2.12198	 2.64457	 2.20099	 1.69834	-20161.106059716	-192463.958433886	-9147.102163271
44	 2.20334	 2.64457	 2.20099	 1.70642	-20074.264337926	-191618.085870131	-9124.557509126
45	 2.21140	 2.65425	 2.24874	 1.73106	-20006.063119308	-190760.659929609	-9299.971263470
46	 2.21140	 2.76759	 2.32439	 1.73106	-19948.822176335	-190201.710539422	-9286.511223931
47	 2.21473	 2.77175	 2.32788	 1.73366	-19933.536312590	-189942.125625113	-9393.237500789
48	 2.32544	 2.77175	 2.45346	 1.73366	-19877.857184927	-189809.212694295	-8969.359154973
49	 2.43647	 2.82509	 2.46376	 1.74093	-19866.336694156	-189524.770821388	-9138.596120172
50	 2.48564	 2.96978	 2.56971	 1.74791	-19813.361393039	-189261.261076744	-8872.352853651
51	 2.49240	 2.97786	 2.72829	 1.77477	-19701.431354999	-188460.003956167	-8554.309593818
52	 2.56754	 3.15910	 2.87972	 1.79321	-19573.047600034	-187513.933810763	-8216.542189579
53	 2.56754	 3.15910	 3.01002	 1.82009	-19505.562867158	-186539.949556308	-8515.679115272
54	 2.57249	 3.26525	 3.01582	 1.82360	-19488.510163743	-186172.773720984	-8712.327916441
55	 2.57249	 3.31292	 3.14442	 1.83553	-19434.261444178	-185629.756981544	-8712.857460236
