iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
     66	 4.296345	      150	 1.724561	        0	22.722029	-187608.791885	-177757.420116	-9851.371769
     67	 4.333218	      150	 1.717702	        0	22.203739	-186913.309254	-177496.606189	-9416.703065
     68	 4.380316	      150	 1.750755	        0	22.082560	-186865.937683	-177346.218658	-9519.719025
     69	 4.488171	      150	 1.803161	        0	21.860553	-186703.284899	-176950.548981	-9752.735918
     70	 4.633872	      150	 1.857652	        0	21.466920	-185987.925726	-176323.875046	-9664.050679
     71	 4.754562	      150	 1.870024	        0	20.900460	-184347.210455	-174911.646564	-9435.563891
     72	 4.921953	      150	 1.912516	        0	20.137670	-182793.441091	-173684.344737	-9109.096354
     73	 5.097446	      150	 2.007263	        0	19.762084	-181254.430403	-172160.425009	-9094.005394
     74	 5.339187	      150	 2.119240	        0	19.431890	-179752.548651	-170616.116871	-9136.431780
     75	 5.327324	      150	 2.151999	        0	19.302183	-178635.110818	-169528.009470	-9107.101348
     76	 5.454050	      150	 2.180896	        0	19.160965	-178013.545777	-168862.970676	-9150.575101
     77	 5.638826	      150	 2.203168	        0	18.742501	-177274.584225	-168108.653071	-9165.931154
     78	 5.823795	      150	 2.268326	        0	18.478643	-176926.242743	-167414.147638	-9512.095106
     79	 5.846260	      150	 2.316660	        0	18.098590	-174971.291886	-165425.607475	-9545.684410
     80	 6.054346	      150	 2.372593	        0	17.461830	-173688.404098	-164393.077196	-9295.326902
     81	 6.149581	      150	 2.412432	        0	17.086938	-173511.928142	-164083.428167	-9428.499975
     82	 6.342976	      150	 2.434913	        0	16.708165	-171946.420951	-162740.580996	-9205.839955
     83	 6.412800	      150	 2.474295	        0	16.493170	-171714.987011	-162402.193298	-9312.793712
     84	 6.584718	      150	 2.585670	        0	15.840574	-170877.799244	-161313.236219	-9564.563025
     85	 6.774925	      150	 2.636737	        0	15.617226	-169711.898505	-160213.952671	-9497.945834
     86	 6.896908	      150	 2.701911	        0	14.768724	-168527.031040	-159386.468063	-9140.562977
     87	 7.076533	      150	 2.742178	        0	14.481968	-168169.354722	-158758.848447	-9410.506276
     88	 7.482363	      150	 2.833905	        0	14.408673	-167113.650377	-157102.591052	-10011.059325
     89	 7.713378	      150	 2.901542	        0	13.473718	-166107.806389	-156205.602297	-9902.204092
     90	 7.844981	      150	 2.968723	        0	13.078603	-165762.235654	-155815.902478	-9946.333176
     91	 8.022184	      150	 3.037129	        0	12.280323	-165065.511795	-155162.413970	-9903.097825
     92	 8.330758	      150	 3.124300	        0	11.935406	-164513.016797	-154557.493403	-9955.523394
     93	 8.659036	      150	 3.223325	        0	11.733041	-164409.953194	-154038.965574	-10370.987620
     94	 8.731875	      150	 3.267526	        0	11.529827	-164293.362774	-153832.076918	-10461.285857
     95	 8.876525	      150	 3.302723	        0	10.575979	-163611.805685	-153209.965406	-10401.840279
     96	 8.939784	      150	 3.326797	        0	10.284607	-162929.979606	-152868.471183	-10061.508423
     97	 9.253390	      150	 3.440763	        0	10.001784	-160955.618367	-150530.157569	-10425.460798
     98	 9.441163	      150	 3.500227	        0	 9.179199	-160396.303885	-150119.851077	-10276.452808
     99	 9.514788	      150	 3.510874	        0	 8.796064	-159716.579445	-149354.088704	-10362.490741
    100	 9.634711	      150	 3.541531	        0	 8.392914	-159230.357681	-149101.523929	-10128.833752
    101	 9.841642	      150	 3.577035	        0	 7.578949	-158996.923941	-148632.105376	-10364.818565
    102	 9.900745	      150	 3.589596	        0	 6.915682	-158716.968317	-148289.349456	-10427.618861
    103	10.166458	      150	 3.611902	        0	 6.143637	-158581.745550	-147843.149897	-10738.595653
    104	10.252417	      150	 3.699441	        0	 5.728694	-158100.882913	-147660.147780	-10440.735132
    105	10.513459	      150	 3.757566	        0	 5.550763	-157833.494733	-147139.967780	-10693.526952
    106	10.488446	      150	 3.778540	        0	 4.463057	-157741.471214	-147121.341136	-10620.130079
    107	10.630570	      150	 3.821678	        0	 3.671508	-157101.770017	-146782.201477	-10319.568540
    108	10.824506	      150	 3.821741	        0	 3.553471	-156921.766559	-146417.735323	-10504.031236
    109	10.883240	      150	 3.876590	        0	 2.439015	-156651.501753	-146281.217001	-10370.284753
    110	11.136058	      150	 4.001989	        0	 1.530272	-156022.102662	-145869.299563	-10152.803098
    111	11.278183	      150	 4.032215	        0	 1.048559	-155401.243990	-145135.189707	-10266.054284
    112	11.555544	      150	 4.090647	        0	 0.086927	-153422.570387	-142900.791674	-10521.778713
    113	11.499438	      150	 4.114125	        0	 0.799300	-153314.146795	-142843.378692	-10470.768103
    114	11.658545	      150	 4.140665	        0	-0.296167	-152327.931489	-142206.639914	-10121.291575
    115	11.816871	      150	 4.181857	        0	-1.437513	-151392.321769	-141762.428353	-9629.893416
    116	12.244162	      150	 4.279379	        0	-1.592287	-150112.818133	-140503.904883	-9608.913250
    117	12.568841	      150	 4.433355	        0	-2.387068	-149838.588493	-139990.088515	-9848.499978
    118	12.795592	      150	 4.465902	        0	-2.839837	-149309.697189	-139300.590871	-10009.106318
    119	13.350894	      150	 4.581504	        0	-2.763092	-148701.221923	-138245.888781	-10455.333142
    120	13.513388	      150	 4.648961	        0	-3.430911	-148391.592333	-137807.424559	-10584.167774
    121	13.945365	      150	 4.786521	        0	-3.870775	-147937.688220	-137026.530978	-10911.157241
    122	14.058183	      150	 4.777392	        0	-4.807330	-147665.723876	-136666.856041	-10998.867834
    123	14.514523	      150	 4.837781	        0	-5.170623	-147098.013716	-136035.619518	-11062.394198
    124	14.799734	      150	 4.882364	        0	-5.783440	-146360.728794	-135491.318174	-10869.410620
    125	15.164412	      150	 4.974196	        0	-6.033362	-145298.541867	-134686.267483	-10612.274384
    126	15.179817	      150	 4.942303	        0	-7.032376	-143965.931753	-133378.423039	-10587.508714
    127	15.283856	      150	 4.968992	        0	-7.032376	-143257.199587	-132589.074832	-10668.124754
    128	15.710523	      150	 5.118503	        0	-8.371053	-142719.075477	-132051.664677	-10667.410800
    129	15.763194	      150	 5.108072	        0	-9.179610	-142298.741205	-131991.947051	-10306.794155
    130	15.839639	      150	 5.082216	        0	-9.735232	-141813.104917	-131826.333049	-9986.771868
    131	16.222182	      150	 5.253867	        0	-10.681337	-141707.473256	-131455.974136	-10251.499120
    132	16.297563	      150	 5.232468	        0	-11.596772	-141634.117781	-131334.205976	-10299.911805
    133	16.415733	      150	 5.297594	        0	-11.795806	-141552.620401	-131216.929231	-10335.691170
    134	17.023465	      150	 5.491401	        0	-10.904386	-141440.275245	-130694.775919	-10745.499326
    135	17.019552	      150	 5.502636	        0	-11.516430	-140758.801765	-130431.982363	-10326.819402
    136	17.065157	      150	 5.488898	        0	-13.202730	-139835.341663	-130074.038417	-9761.303246
    137	17.651072	      150	 5.653619	        0	-13.561180	-139201.485801	-129066.308243	-10135.177558
    138	17.860819	      150	 5.668040	        0	-14.970015	-138209.683007	-128781.804709	-9427.878298
    139	18.401199	      150	 5.757239	        0	-15.567090	-138058.399815	-128344.231947	-9714.167868
    140	19.218470	      150	 5.980724	        0	-16.347293	-137858.763911	-127709.805204	-10148.958706
    141	19.376334	      150	 5.995334	        0	-17.612854	-137584.372770	-127364.684004	-10219.688767
    142	19.497189	      150	 6.120631	        0	-19.501169	-136843.460497	-127179.457693	-9664.002803
    143	19.815427	      150	 6.151630	        0	-21.044980	-136162.442754	-126753.732065	-9408.710689
    144	20.660643	      150	 6.389046	        0	-21.566674	-135979.039540	-126165.156822	-9813.882718
    145	21.240855	      150	 6.552874	        0	-22.676227	-135826.430816	-125746.069540	-10080.361276
    146	21.379116	      150	 6.580808	        0	-22.186464	-135730.643518	-125574.146410	-10156.497107
    147	21.266942	      150	 6.551827	        0	-23.916350	-135044.023913	-125574.446756	-9469.577157
    148	21.618443	      150	 6.708493	        0	-24.909407	-134493.585166	-125095.707897	-9397.877269
    149	22.074851	      150	 6.755772	        0	-25.659857	-134131.778898	-124545.504924	-9586.273974
    150	22.750138	      150	 6.965747	        0	-26.569937	-133406.733953	-123896.272625	-9510.461327
    151	23.043283	      150	 7.021236	        0	-28.796832	-132714.611391	-123662.258774	-9052.352617
    152	23.792361	      150	 7.217644	        0	-30.074991	-132383.519376	-123274.771508	-9108.747868
    153	24.242396	      150	 7.322501	        0	-30.761698	-132247.018718	-122987.551079	-9259.467640
    154	24.851914	      150	 7.459453	        0	-32.995066	-132109.389560	-122597.016094	-9512.373466
    155	25.333560	      150	 7.527598	        0	-33.842897	-131914.919666	-122230.266045	-9684.653622
    156	25.530277	      150	 7.511920	        0	-34.885252	-131799.676568	-122052.936108	-9746.740460
    157	25.468983	      150	 7.572972	        0	-36.082993	-131228.866689	-122018.549412	-9210.317276
    158	25.881640	      150	 7.587818	        0	-38.165533	-130500.138463	-121597.339693	-8902.798770
    159	26.472458	      150	 7.733110	        0	-39.478927	-129398.026359	-120694.294776	-8703.731582
    160	27.213178	      150	 7.909552	        0	-38.863055	-128947.625704	-120002.694486	-8944.931218
    161	27.463710	      150	 8.015134	        0	-40.107827	-128908.458090	-119875.561500	-9032.896590
    162	27.887146	      150	 8.086517	        0	-41.577864	-128325.116083	-119599.240959	-8725.875124
    163	28.527197	      150	 8.201477	        0	-43.094653	-127888.525632	-119318.843774	-8569.681858
    164	28.911210	      150	 8.283504	        0	-44.321607	-127025.168337	-118690.874967	-8334.293370
    165	29.265127	      150	 8.409119	        0	-45.999358	-126204.896047	-117983.033095	-8221.862951
    166	30.250159	      150	 8.635443	        0	-48.705362	-125315.424860	-117247.350785	-8068.074075
    167	31.207284	      150	 8.763917	        0	-50.770268	-124556.254206	-116705.715656	-7850.538549
    168	32.086777	      150	 9.092302	        0	-50.195312	-124353.992812	-116250.504293	-8103.488520
    169	32.596244	      150	 9.242634	        0	-51.539771	-123972.973849	-115747.318557	-8225.655292
    170	32.646563	      150	 9.219992	        0	-53.816069	-123723.322294	-115645.936003	-8077.386291
    171	33.198177	      150	 9.363217	        0	-55.603227	-123441.993203	-115429.792789	-8012.200414
    172	33.806834	      150	 9.404406	        0	-57.693635	-123225.170516	-115052.520948	-8172.649567
    173	34.484834	      150	 9.534721	        0	-59.013258	-122902.963649	-114571.576707	-8331.386943
    174	35.455181	      150	 9.696358	        0	-59.658531	-121855.552593	-113381.245447	-8474.307146
    175	35.790350	      150	 9.793787	        0	-61.256434	-121458.391103	-112897.664720	-8560.726383
    176	36.352108	      150	 9.827860	        0	-62.568678	-121273.481168	-112567.165506	-8706.315662
    177	36.308920	      150	 9.754142	        0	-65.898101	-121181.924367	-112515.673655	-8666.250712
    178	37.456907	      150	 9.970142	        0	-67.168071	-120579.938664	-111737.118278	-8842.820386
    179	37.882448	      150	10.065682	        0	-68.912491	-120193.953276	-111561.620761	-8632.332515
    180	38.063787	      150	10.110505	        0	-70.293411	-119790.544829	-111491.363788	-8299.181041
    181	38.253610	      150	10.132375	        0	-73.749276	-119483.584815	-111416.825812	-8066.759002
    182	38.999629	      150	10.264283	        0	-78.019516	-118944.053901	-111145.110512	-7798.943390
    183	39.931654	      150	10.461839	        0	-81.362782	-118379.524746	-110738.322839	-7641.201907
    184	40.869708	      150	10.658581	        0	-80.969195	-118265.288574	-110445.208627	-7820.079947
    185	42.016364	      150	10.902166	        0	-84.788301	-117016.140972	-109358.988896	-7657.152076
    186	42.923208	      150	11.100908	        0	-86.451868	-116732.215835	-108913.280371	-7818.935463
    187	43.788868	      150	11.223022	        0	-89.426038	-116615.981642	-108626.285621	-7989.696021
    188	44.811871	      150	11.433473	        0	-93.740457	-116373.592923	-108351.370795	-8022.222128
    189	45.016063	      150	11.492444	        0	-96.520038	-116290.766491	-108257.141436	-8033.625055
    190	45.414245	      150	11.598395	        0	-96.833886	-116211.125460	-108120.897283	-8090.228177
    191	45.714150	      150	11.657565	        0	-96.557475	-116188.791523	-108053.261653	-8135.529870
    192	46.027750	      150	11.743944	        0	-95.945330	-115784.469473	-107603.461280	-8181.008193
    193	46.580930	      150	11.816202	        0	-96.822827	-115456.070951	-107183.197906	-8272.873045
    194	47.156414	      150	11.807871	        0	-97.888362	-115003.648017	-106652.923748	-8350.724270
