Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
53	 2.20808	 3.39285	 1.12297	10096.02406	 0.00000	 0.00000	-20438.580044	-184117.583939	-20268.216504
54	 2.26761	 3.40339	 1.08853	10127.37954	 0.00000	 0.00000	-20373.522886	-183019.474014	-20715.754842
55	 2.39032	 3.40339	 1.13339	10127.37257	 0.00000	 0.00000	-20300.317598	-182802.945593	-20200.230391
56	 2.50337	 3.40339	 1.07723	10127.36501	 0.00000	 0.00000	-20225.619892	-181995.571332	-20260.627592
57	 2.56364	 3.48369	 1.11155	10127.37178	 0.00000	 0.00000	-20166.220873	-181634.539689	-20027.669037
58	 2.57307	 3.60852	 1.19046	10164.61992	 0.00000	 0.00000	-20113.953888	-180963.563411	-20175.975471
59	 2.65873	 3.62178	 1.16898	10201.99580	 0.00000	 0.00000	-20064.662218	-180433.998931	-20212.623250
60	 2.65873	 3.62178	 1.22349	10201.99526	 0.00000	 0.00000	-20062.142608	-180075.428315	-20545.997761
61	 2.65873	 3.62178	 1.16211	10202.00436	 0.00000	 0.00000	-20058.336626	-179685.526559	-20897.839699
62	 2.78693	 3.63238	 1.12352	10231.83872	 0.00000	 0.00000	-19997.442283	-179410.635630	-20563.787198
63	 2.87636	 3.81658	 1.09527	10256.01127	 0.00000	 0.00000	-19900.387635	-178985.322713	-20018.553638
64	 2.97045	 3.82779	 1.05887	10286.12629	 0.00000	 0.00000	-19853.544917	-178505.861746	-20029.587419
65	 2.97045	 4.06723	 1.10239	10286.13587	 0.00000	 0.00000	-19786.583647	-178215.868747	-19649.967724
66	 2.97045	 4.06723	 1.05208	10286.12801	 0.00000	 0.00000	-19776.340983	-177712.186085	-20051.223741
67	 3.06163	 4.19033	 1.00666	10286.13662	 0.00000	 0.00000	-19708.052991	-177526.473669	-19554.056236
68	 3.21855	 4.19033	 1.05057	10286.14654	 0.00000	 0.00000	-19648.315059	-177212.941533	-19270.209058
69	 3.21855	 4.26959	 1.08221	10286.14284	 0.00000	 0.00000	-19621.557405	-176738.558603	-19477.015448
70	 3.21855	 4.26959	 1.02814	10286.12964	 0.00000	 0.00000	-19609.306280	-176056.791933	-20036.270869
71	 3.22479	 4.46139	 0.99180	10306.05541	 0.00000	 0.00000	-19554.320239	-175858.123477	-19685.078912
72	 3.32716	 4.53985	 1.04984	10351.23931	 0.00000	 0.00000	-19498.082589	-175584.690780	-19396.135114
73	 3.48825	 4.82560	 1.08355	10382.78344	 0.00000	 0.00000	-19378.452715	-175164.730695	-18619.796452
74	 3.57402	 5.05628	 1.13223	10406.77889	 0.00000	 0.00000	-19297.146213	-174268.092080	-18703.370049
75	 3.57402	 5.05628	 1.09526	10406.76912	 0.00000	 0.00000	-19287.013753	-173423.784901	-19446.352633
76	 3.58862	 5.20688	 1.05806	10449.28957	 0.00000	 0.00000	-19243.675054	-173052.140804	-19384.609734
77	 3.58862	 5.38931	 1.09188	10449.29964	 0.00000	 0.00000	-19201.729054	-172776.763839	-19240.526701
78	 3.67504	 5.65187	 1.05650	10481.45383	 0.00000	 0.00000	-19119.599655	-172206.519076	-18989.477472
79	 3.72815	 5.65187	 1.10768	10481.46330	 0.00000	 0.00000	-19101.738982	-171891.960468	-19125.429348
80	 3.86939	 5.65187	 1.15664	10481.45205	 0.00000	 0.00000	-19049.345620	-171266.395337	-19227.060859
81	 3.86939	 5.65187	 1.10696	10481.45617	 0.00000	 0.00000	-19046.445678	-170887.444345	-19577.012431
82	 4.01205	 5.65187	 1.04615	10481.46643	 0.00000	 0.00000	-19000.653804	-170574.293152	-19432.244886
83	 4.07727	 6.01932	 1.09276	10482.03309	 0.00000	 0.00000	-18910.984948	-170198.738279	-18911.111198
84	 4.08972	 6.03770	 1.01961	10514.03791	 0.00000	 0.00000	-18901.300984	-169865.909835	-19147.100001
85	 4.10118	 6.05463	 1.08439	10543.51989	 0.00000	 0.00000	-18889.384948	-169473.266322	-19420.583162
86	 4.35673	 6.05463	 1.04588	10543.53190	 0.00000	 0.00000	-18818.967092	-169007.439967	-19182.230951
87	 4.57891	 6.30999	 1.06501	10594.61673	 0.00000	 0.00000	-18712.627532	-168319.877422	-18806.397894
88	 4.73650	 6.59110	 1.11229	10594.62390	 0.00000	 0.00000	-18622.294652	-167676.324818	-18546.621697
89	 4.75522	 6.87387	 1.15898	10636.49885	 0.00000	 0.00000	-18566.820049	-167208.645388	-18459.555101
90	 4.74795	 7.13089	 1.10702	10620.24522	 0.00000	 0.00000	-18526.308849	-166814.045386	-18449.043103
91	 4.74795	 7.13089	 1.18006	10620.24176	 0.00000	 0.00000	-18519.012973	-166424.091253	-18766.038481
92	 5.00039	 7.56317	 1.18321	10648.54422	 0.00000	 0.00000	-18400.160154	-165991.383419	-18010.218121
93	 5.19878	 7.75274	 1.18362	10655.62705	 0.00000	 0.00000	-18327.033720	-165530.313597	-17740.023605
94	 5.20144	 7.75670	 1.14871	10661.05571	 0.00000	 0.00000	-18316.560174	-164674.700520	-18490.901224
95	 5.19050	 7.74040	 1.08791	10638.65833	 0.00000	 0.00000	-18307.631433	-164295.393359	-18780.920971
96	 5.33421	 7.76194	 1.04374	10668.25502	 0.00000	 0.00000	-18270.854429	-163885.829550	-18822.714743
97	 5.33421	 7.76194	 1.07532	10668.24747	 0.00000	 0.00000	-18266.997977	-163420.397276	-19249.582498
98	 5.55184	 7.74385	 1.08593	10643.38260	 0.00000	 0.00000	-18221.546666	-163081.494155	-19133.972508
99	 5.57401	 8.11932	 1.12910	10685.88777	 0.00000	 0.00000	-18165.262363	-162735.486890	-18917.136736
100	 5.86134	 8.37253	 1.15359	10685.88321	 0.00000	 0.00000	-18077.642146	-162418.251317	-18358.170140
101	 6.03391	 8.68332	 1.09080	10650.84098	 0.00000	 0.00000	-18002.746618	-162110.310196	-17917.155983
102	 6.03872	 8.69024	 1.03168	10659.34522	 0.00000	 0.00000	-17994.118588	-161546.838704	-18394.347171
