Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 1.01060	 1.02013	 1.00002	10086.11426	 0.00000	 0.00000	-77845.609218	-780309.671762	1853.579584
1	 1.01060	 1.05753	 0.98484	10086.10599	 0.00000	 0.00000	-56024.326324	-560206.741836	-36.521409
2	 1.01359	 1.04449	 1.01672	10115.98872	 0.00000	 0.00000	-48165.356500	-478268.707710	-3384.857290
3	 1.01658	 1.09462	 1.06926	10145.82940	 0.00000	 0.00000	-39549.404117	-389505.824419	-5988.216756
4	 1.03528	 1.12202	 1.09654	10173.29461	 0.00000	 0.00000	-34389.290345	-334419.953261	-9472.950187
5	 1.03528	 1.18150	 1.13481	10173.30330	 0.00000	 0.00000	-31502.033209	-305042.332994	-9977.999094
6	 1.07978	 1.13052	 1.16378	10173.31027	 0.00000	 0.00000	-28333.892483	-272122.774155	-11216.150679
7	 1.08331	 1.07119	 1.12329	10206.58200	 0.00000	 0.00000	-26335.982839	-250782.266855	-12577.561534
8	 1.08617	 1.02146	 1.07929	10233.53829	 0.00000	 0.00000	-24782.176440	-233885.133776	-13936.630624
9	 1.09054	 1.07264	 1.04402	10274.70872	 0.00000	 0.00000	-23530.825842	-219925.735662	-15382.522757
10	 1.09054	 1.02447	 1.09494	10274.71668	 0.00000	 0.00000	-21551.146488	-200931.426987	-14580.037890
11	 1.09335	 0.99081	 1.14214	10301.15084	 0.00000	 0.00000	-21033.126203	-195211.180259	-15120.081775
12	 1.12692	 1.02454	 1.18348	10324.05391	 0.00000	 0.00000	-20349.188087	-188628.700497	-14863.180368
13	 1.13007	 1.05970	 1.23614	10352.82588	 0.00000	 0.00000	-20184.524393	-186710.338242	-15134.905690
14	 1.13182	 1.12524	 1.32179	10368.87345	 0.00000	 0.00000	-19884.865408	-184307.329402	-14541.324681
15	 1.13182	 1.09171	 1.34789	10368.88150	 0.00000	 0.00000	-19691.405579	-181563.630939	-15350.424851
16	 1.13182	 1.03638	 1.30107	10368.88972	 0.00000	 0.00000	-19208.886108	-177401.198833	-14687.662250
17	 1.13182	 1.07021	 1.26457	10368.89470	 0.00000	 0.00000	-19176.762293	-176942.223383	-14825.399550
18	 1.13693	 1.04249	 1.20951	10415.71234	 0.00000	 0.00000	-19090.265649	-176049.573730	-14853.082757
19	 1.14091	 0.99340	 1.19399	10452.19257	 0.00000	 0.00000	-18869.831069	-173623.504713	-15074.805980
20	 1.21445	 1.03366	 1.25791	10479.38918	 0.00000	 0.00000	-18604.668574	-171718.336603	-14328.349137
21	 1.28548	 1.09489	 1.31814	10479.38147	 0.00000	 0.00000	-18334.490628	-169251.212001	-14093.694276
22	 1.32696	 1.14710	 1.36901	10448.90077	 0.00000	 0.00000	-18213.380413	-168842.604295	-13291.199834
23	 1.38802	 1.09440	 1.31563	10448.91101	 0.00000	 0.00000	-17985.419273	-166564.256176	-13289.936558
24	 1.45810	 1.15400	 1.31563	10448.91842	 0.00000	 0.00000	-17796.509324	-164441.679433	-13523.413805
25	 1.50661	 1.09531	 1.25793	10448.92820	 0.00000	 0.00000	-17730.295207	-164228.996543	-13073.955525
26	 1.50322	 1.04345	 1.21389	10425.40229	 0.00000	 0.00000	-17689.150063	-163438.076338	-13453.424287
27	 1.50743	 1.09654	 1.24108	10454.59496	 0.00000	 0.00000	-17617.288709	-161786.348177	-14386.538916
28	 1.50415	 1.14036	 1.19972	10431.85389	 0.00000	 0.00000	-17354.609834	-159012.867956	-14533.230380
29	 1.50031	 1.07331	 1.15096	10405.25576	 0.00000	 0.00000	-17344.887349	-158770.844064	-14678.029422
30	 1.55813	 1.03186	 1.15096	10405.27048	 0.00000	 0.00000	-17267.903029	-158515.676176	-14163.354113
31	 1.62619	 1.05748	 1.11147	10405.27697	 0.00000	 0.00000	-17188.151410	-158211.639252	-13669.874846
32	 1.62619	 1.01299	 1.06999	10405.28519	 0.00000	 0.00000	-17163.716203	-157768.073933	-13869.088094
33	 1.62912	 0.98615	 1.05959	10423.97868	 0.00000	 0.00000	-17147.592199	-157372.774050	-14103.147942
34	 1.62912	 0.93602	 1.00295	10423.99404	 0.00000	 0.00000	-17138.003601	-156892.450354	-14487.585660
35	 1.68144	 0.98508	 0.94838	10394.79280	 0.00000	 0.00000	-17081.878042	-156736.614601	-14082.165816
36	 1.72527	 0.94427	 0.99527	10394.80429	 0.00000	 0.00000	-17031.892927	-156378.894959	-13940.034311
37	 1.79222	 0.98382	 1.03063	10394.79640	 0.00000	 0.00000	-16966.246528	-156244.407666	-13418.057616
38	 1.79222	 0.94728	 1.04072	10394.80716	 0.00000	 0.00000	-16961.831468	-155826.965066	-13791.349610
39	 1.84704	 0.96203	 1.01847	10347.19148	 0.00000	 0.00000	-16900.378784	-155427.652244	-13576.135595
40	 1.92962	 0.91688	 1.07028	10374.05051	 0.00000	 0.00000	-16804.677724	-154904.700572	-13142.076668
41	 2.02052	 0.87062	 1.01505	10360.36294	 0.00000	 0.00000	-16653.122793	-153411.888960	-13119.338967
42	 2.01749	 0.91335	 0.98570	10344.82043	 0.00000	 0.00000	-16637.906984	-152972.223981	-13406.845858
43	 2.07321	 0.87320	 0.95763	10344.80993	 0.00000	 0.00000	-16570.034867	-152369.654624	-13330.694047
44	 2.19928	 0.89027	 1.00921	10344.81701	 0.00000	 0.00000	-16459.733852	-152100.027709	-12497.310813
45	 2.19676	 0.93800	 1.01561	10332.96244	 0.00000	 0.00000	-16453.549775	-151783.067861	-12752.429887
46	 2.24493	 0.95073	 1.01561	10332.95546	 0.00000	 0.00000	-16412.701236	-151519.409341	-12607.603015
47	 2.34865	 0.90898	 0.99457	10355.95226	 0.00000	 0.00000	-16327.400589	-150877.270871	-12396.735021
48	 2.34865	 0.86642	 0.99457	10355.95226	 0.00000	 0.00000	-16313.917176	-150294.375743	-12844.796020
49	 2.35327	 0.85966	 0.96618	10376.33741	 0.00000	 0.00000	-16293.015923	-149530.352828	-13399.806403
50	 2.34432	 0.82909	 1.01104	10336.83678	 0.00000	 0.00000	-16292.843926	-149399.235306	-13529.203952
51	 2.48531	 0.87271	 0.99349	10323.11419	 0.00000	 0.00000	-16199.649629	-149269.870945	-12726.625341
52	 2.48531	 0.91009	 0.96124	10323.12529	 0.00000	 0.00000	-16187.796154	-148768.515196	-13109.446345
53	 2.47975	 0.87870	 1.00445	10300.01993	 0.00000	 0.00000	-16188.037262	-148646.774802	-13233.597819
54	 2.47239	 0.83046	 0.94597	10269.48878	 0.00000	 0.00000	-16193.929354	-148600.048123	-13339.245414
55	 2.62709	 0.81701	 0.98308	10299.55275	 0.00000	 0.00000	-16088.123653	-148044.652292	-12836.584239
56	 2.75377	 0.76019	 0.94074	10263.72837	 0.00000	 0.00000	-16010.919051	-147858.554461	-12250.636049
57	 2.81154	 0.78821	 0.92034	10255.71653	 0.00000	 0.00000	-15970.580515	-147464.260605	-12241.544541
58	 2.81154	 0.76554	 0.92034	10255.70633	 0.00000	 0.00000	-15952.387098	-147118.223886	-12405.647097
59	 2.79981	 0.78502	 0.95837	10212.91577	 0.00000	 0.00000	-15948.883616	-146811.470112	-12677.366053
60	 2.80420	 0.80303	 1.00460	10228.93589	 0.00000	 0.00000	-15932.314132	-146268.774874	-13054.366449
61	 2.87814	 0.78036	 1.00460	10228.94689	 0.00000	 0.00000	-15887.753609	-146076.831396	-12800.704690
62	 3.01959	 0.74614	 1.07037	10228.93835	 0.00000	 0.00000	-15799.215081	-145637.128750	-12355.022059
63	 3.01959	 0.77340	 1.01586	10228.92572	 0.00000	 0.00000	-15784.774511	-145128.118069	-12719.627037
64	 3.01959	 0.74833	 1.05558	10228.93759	 0.00000	 0.00000	-15774.666691	-144540.420244	-13206.246667
65	 3.17088	 0.76509	 1.03377	10203.65347	 0.00000	 0.00000	-15670.754087	-144458.581835	-12248.959036
66	 3.23517	 0.72443	 0.98921	10203.64083	 0.00000	 0.00000	-15620.412826	-144060.095951	-12144.032312
67	 3.22073	 0.69833	 1.02210	10158.09136	 0.00000	 0.00000	-15612.059173	-143675.230193	-12445.361542
68	 3.29745	 0.72746	 0.98751	10127.21384	 0.00000	 0.00000	-15573.442121	-143404.845241	-12329.575972
69	 3.30417	 0.69280	 1.05250	10147.83214	 0.00000	 0.00000	-15554.452400	-142559.194652	-12985.329345
70	 3.30417	 0.72848	 1.01599	10147.82278	 0.00000	 0.00000	-15549.919857	-142406.483701	-13092.714868
71	 3.47171	 0.76736	 1.05759	10120.50722	 0.00000	 0.00000	-15472.427747	-142222.084645	-12502.192820
72	 3.46605	 0.73732	 1.13116	10104.02049	 0.00000	 0.00000	-15469.379744	-142166.774020	-12527.023423
73	 3.61786	 0.70537	 1.17768	10081.30374	 0.00000	 0.00000	-15403.576845	-141951.466226	-12084.302228
74	 3.75350	 0.72600	 1.14176	10041.20427	 0.00000	 0.00000	-15346.175599	-141452.214229	-12009.541760
75	 3.73900	 0.75954	 1.16415	10002.42081	 0.00000	 0.00000	-15346.630897	-141115.740310	-12350.568663
76	 3.86860	 0.78096	 1.09984	9980.21656	 0.00000	 0.00000	-15283.236815	-140657.647679	-12174.720471
77	 3.85575	 0.76346	 1.03663	9947.08468	 0.00000	 0.00000	-15277.846839	-140480.183998	-12298.284387
78	 3.95305	 0.75198	 1.05775	9922.32422	 0.00000	 0.00000	-15211.794321	-139946.651356	-12171.291856
79	 4.14008	 0.78578	 0.99526	9922.33622	 0.00000	 0.00000	-15135.804613	-139237.605492	-12120.440638
80	 4.38693	 0.75377	 1.03595	9951.13514	 0.00000	 0.00000	-15044.547107	-138743.864366	-11701.606703
81	 4.59310	 0.78882	 0.99295	9925.97958	 0.00000	 0.00000	-14970.257471	-138076.477402	-11626.097305
82	 4.77202	 0.81704	 1.02453	9925.96858	 0.00000	 0.00000	-14902.204309	-137030.201467	-11991.841619
83	 4.86228	 0.77707	 1.06574	9925.97672	 0.00000	 0.00000	-14831.811176	-136226.360414	-12091.751351
84	 4.85720	 0.74509	 1.09388	9915.62706	 0.00000	 0.00000	-14823.304274	-135751.324703	-12481.718037
85	 5.09080	 0.77602	 1.04992	9891.35506	 0.00000	 0.00000	-14743.651493	-135385.072824	-12051.442102
86	 5.09080	 0.80618	 1.02059	9891.36795	 0.00000	 0.00000	-14729.528265	-134814.799533	-12480.483116
87	 5.09080	 0.82623	 0.98532	9891.38130	 0.00000	 0.00000	-14705.929390	-134342.402295	-12716.891607
88	 5.28745	 0.85962	 1.00741	9834.53934	 0.00000	 0.00000	-14643.950157	-134167.035883	-12272.465682
89	 5.49506	 0.88019	 0.98054	9812.43904	 0.00000	 0.00000	-14572.943699	-133652.132713	-12077.304278
90	 5.80291	 0.86583	 1.03377	9812.44650	 0.00000	 0.00000	-14491.720623	-133481.481869	-11435.724362
91	 5.82239	 0.90988	 1.07664	9845.40354	 0.00000	 0.00000	-14479.462183	-133086.257946	-11708.363888
92	 5.82239	 0.90988	 1.03861	9845.41368	 0.00000	 0.00000	-14474.226330	-132655.351845	-12086.911451
93	 5.98509	 0.94186	 1.09042	9822.72103	 0.00000	 0.00000	-14426.437636	-132252.475442	-12011.900918
