iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
     69	7.726675	      150	2.369862	        0	30.095553	-145982.246251	-132138.952414	-13843.293836
     70	7.948477	      150	2.465245	        0	30.180631	-145930.924314	-131654.636104	-14276.288210
     71	7.959516	      150	2.461304	        0	30.196796	-145893.136119	-131595.298732	-14297.837386
     72	8.126887	      150	2.503683	        0	30.138454	-145713.664177	-131224.415367	-14489.248810
     73	8.197720	      150	2.543847	        0	30.122067	-145467.419334	-131050.288806	-14417.130528
     74	8.266587	      150	2.569742	        0	29.957190	-144847.685416	-130856.650126	-13991.035290
     75	8.454829	      150	2.594287	        0	30.041199	-144798.459725	-130460.780188	-14337.679538
     76	8.575890	      150	2.608810	        0	30.041106	-144690.329598	-130129.720002	-14560.609596
     77	8.661998	      150	2.656141	        0	29.867375	-144008.626822	-129959.861554	-14048.765268
     78	8.751065	      150	2.698125	        0	29.789118	-143888.753613	-129700.131971	-14188.621641
     79	8.844702	      150	2.699902	        0	29.796675	-143846.509298	-129492.960626	-14353.548672
     80	8.985357	      150	2.734054	        0	29.546875	-143110.903784	-129213.896155	-13897.007630
     81	9.135090	      150	2.788343	        0	29.643505	-143082.409667	-128933.520735	-14148.888932
     82	9.404942	      150	2.854725	        0	29.476950	-142339.753070	-128350.768643	-13988.984427
     83	9.636506	      150	2.913061	        0	29.274423	-141497.908916	-127803.014945	-13694.893971
     84	9.811087	      150	2.949187	        0	28.887740	-140546.000918	-127450.190770	-13095.810148
     85	10.135123	      150	3.065256	        0	28.503192	-139741.676341	-126909.417581	-12832.258761
     86	10.480446	      150	3.144631	        0	28.458470	-139497.796130	-126316.960683	-13180.835447
     87	10.889584	      150	3.242846	        0	28.080690	-138534.373318	-125628.731216	-12905.642102
     88	11.329977	      150	3.395865	        0	28.107526	-138381.804887	-124906.566975	-13475.237912
     89	11.440799	      150	3.414725	        0	28.120293	-138371.047653	-124752.474577	-13618.573076
     90	11.688731	      150	3.497983	        0	28.096747	-138248.245501	-124347.198899	-13901.046602
     91	11.914126	      150	3.607405	        0	28.070266	-138195.428301	-124003.605476	-14191.822825
     92	11.977444	      150	3.612002	        0	28.102830	-138076.980976	-123867.991909	-14208.989067
     93	12.132251	      150	3.602827	        0	28.152032	-138037.579165	-123631.332825	-14406.246340
     94	12.239298	      150	3.600331	        0	28.133025	-137987.355208	-123443.606741	-14543.748467
     95	12.392676	      150	3.637980	        0	28.152429	-137872.544423	-123179.701860	-14692.842563
     96	12.537968	      150	3.657154	        0	28.134816	-137770.758750	-122946.014234	-14824.744517
     97	12.523030	      150	3.644987	        0	28.171116	-137757.851317	-122952.171489	-14805.679828
     98	12.573450	      150	3.656527	        0	27.873286	-137178.111647	-122878.667616	-14299.444031
     99	12.612890	      150	3.687876	        0	27.606749	-136617.441154	-122813.864957	-13803.576198
    100	12.780754	      150	3.689849	        0	27.274052	-136010.434841	-122567.297175	-13443.137666
    101	13.331709	      150	3.858655	        0	27.052875	-135584.752998	-121893.190887	-13691.562110
    102	13.523316	      150	3.954592	        0	27.112620	-135529.223695	-121624.264476	-13904.959220
    103	13.615682	      150	3.982389	        0	26.721229	-134882.732408	-121506.269825	-13376.462583
    104	13.889286	      150	4.064226	        0	26.343339	-134330.851217	-121163.863142	-13166.988075
    105	14.032164	      150	4.116919	        0	26.118525	-133989.951288	-120986.164714	-13003.786575
