Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
2504	 0.39973	 2.36623	 8.29002	 0.00000	-1326.337246449	-14265.422331580	1002.049867088
2505	 0.41035	 2.46889	 8.71598	 0.00000	-1326.363493937	-14263.198726184	999.563786814
2506	 0.43169	 2.58516	 8.72141	 0.00000	-1326.414381724	-14264.346189591	1000.202372350
2507	 0.44279	 2.68931	 9.31722	 0.00000	-1326.074097243	-14262.775638702	1002.034666269
2508	 0.42935	 2.81999	 9.12389	 0.00000	-1325.204318863	-14264.717837627	1012.674648995
2509	 0.40867	 2.69932	 8.75182	 0.00000	-1328.157400793	-14265.579990924	984.005982994
2510	 0.42126	 2.84253	 9.07247	 0.00000	-1326.313103223	-14263.132652192	1000.001619958
2511	 0.44103	 2.75810	 9.34601	 0.00000	-1327.724114669	-14269.007658475	991.766511788
2512	 0.43642	 2.90388	 9.81847	 0.00000	-1327.761153079	-14266.341382832	988.729852041
2513	 0.41607	 2.80122	10.06173	 0.00000	-1328.663379063	-14263.882695393	977.248904767
2514	 0.40404	 2.69637	10.40578	 0.00000	-1329.021513501	-14258.539009472	968.323874463
2515	 0.39467	 2.82802	11.05906	 0.00000	-1328.120768042	-14262.355174222	981.147493802
2516	 0.39978	 2.93638	11.23998	 0.00000	-1328.008856391	-14261.965940149	981.877376237
2517	 0.38523	 2.78235	10.69297	 0.00000	-1330.100602601	-14264.609768406	963.603742397
2518	 0.40189	 2.66122	10.44116	 0.00000	-1328.708074371	-14268.840036462	981.759292751
2519	 0.41684	 2.82242	10.30700	 0.00000	-1328.869365501	-14274.782309021	986.088654009
2520	 0.40031	 2.87869	10.56587	 0.00000	-1326.226772794	-14258.029923362	995.762195418
2521	 0.40994	 2.92577	10.13964	 0.00000	-1326.405450639	-14264.347417024	1000.292910632
2522	 0.39850	 2.95179	10.29720	 0.00000	-1327.044522154	-14265.246582850	994.801361311
2523	 0.40928	 2.82779	10.76797	 0.00000	-1328.451155325	-14264.337523646	979.825970399
2524	 0.42405	 2.97268	10.32033	 0.00000	-1328.832164454	-14262.261750195	973.940105650
2525	 0.40510	 2.80723	10.67303	 0.00000	-1328.894260033	-14263.627412301	974.684811974
2526	 0.38655	 2.65573	10.66219	 0.00000	-1330.796980468	-14268.533063862	960.563259183
2527	 0.38489	 2.76883	10.64032	 0.00000	-1331.861137792	-14269.871792032	951.260414111
2528	 0.39236	 2.64212	10.33548	 0.00000	-1331.600532141	-14271.181929666	955.176608258
2529	 0.40072	 2.70371	10.38521	 0.00000	-1327.600572644	-14263.374696783	987.368970341
2530	 0.41961	 2.79367	10.36324	 0.00000	-1328.139071803	-14271.331928835	989.941210805
2531	 0.41118	 2.68665	10.73421	 0.00000	-1328.972979728	-14265.362305237	975.632507956
2532	 0.39501	 2.79801	10.16062	 0.00000	-1328.448950486	-14272.958495437	988.468990581
