iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	
0	0.00000000216251513453618663062932603	0	0.00000000000000000000000000000000000	0	0.01676661298376265832321685422812152	150	0.00000000216251513453618580344871347	0	0.00000000000000000000000000000000000	0	0.01676661051231676316519703107132955	150	
1	0.00000000216251513453618663062932603	0	0.00000000000000000000000000000000000	0	0.01808691316369049131851376444046764	150	0.00000000216251513453618580344871347	0	0.00000000000000000000000000000000000	0	0.01808691069224459616049394128367567	150	
2	0.00000000216858164808954208575122322	0	0.00000000000000000000000000000000000	0	0.02001455852408835778266649185752613	150	0.00000000216858164808954125857061066	0	0.00000000000000000000000000000000000	0	0.02001455604570927943042235597204126	150	
3	0.00000000216286616638058158071119200	0	0.00000000000000000000000000000000000	0	0.01621980856024532458015130487183342	150	0.00000000216286616638058116712088573	0	0.00000000000000000000000000000000000	0	0.01621980608839821910716061381663167	150	
4	0.00000000216891313506706006564687989	0	0.00000000000000000000000000000000000	0	0.01880867445919249744679113689471706	150	0.00000000216891313506706006564687989	0	0.00000000000000000000000000000000000	0	0.01880867198043459712075708978318289	150	
5	0.00000000216245315060765337554698043	0	0.00000000000000000000000000000000000	0	0.01857714209594007320758279888650577	150	0.00000000216245315060765296195667416	0	0.00000000000000000000000000000000000	0	0.01857713962456506232023834002120566	150	
6	0.00000000215816442102111079408385314	0	0.00000000000000000000000000000000000	0	0.01670459778119524549278018810127833	150	0.00000000215816442102111079408385314	0	0.00000000000000000000000000000000000	0	0.01670459531472164027565696642341209	150	
7	0.00000000215449882668568365173508941	0	0.00000000000000000000000000000000000	0	0.01780466018630784408305345323242364	150	0.00000000215449882668568365173508941	0	0.00000000000000000000000000000000000	0	0.01780465772402347809921785426467977	150	
8	0.00000000215449882668568365173508941	0	0.00000000000000000000000000000000000	0	0.02017974823797681269144099758250377	150	0.00000000215449882668568365173508941	0	0.00000000000000000000000000000000000	0	0.02017974577569241895202978298584640	150	
9	0.00000000215740841668929509838361777	0	0.00000000000000000000000000000000000	0	0.02121292600117134427573084565210593	150	0.00000000215740841668929551197392405	0	0.00000000000000000000000000000000000	0	0.02121292353556167645245444930424128	150	
