iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	root_theta	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
     51	2.911866	     7000	0.910652	        0	79.479010	2.531984	-1345367.032132	-1401989.054783	-56622.022652
     52	2.927309	     7000	0.928459	        0	79.042546	2.608339	-1345391.818951	-1401983.994803	-56592.175852
     53	2.986920	     7000	0.949160	        0	78.830335	2.744323	-1345558.174333	-1401912.594974	-56354.420641
     54	3.026249	     7000	0.954122	        0	78.439677	2.744323	-1345699.402788	-1401923.414028	-56224.011241
     55	3.065229	     7000	0.957991	        0	77.992907	2.878439	-1345826.015966	-1401938.958919	-56112.942953
     56	3.243909	     7000	1.045222	        0	77.766650	2.878439	-1346290.792286	-1401844.270856	-55553.478570
     57	3.213090	     7000	1.011818	        0	77.619771	2.878439	-1346136.004521	-1401846.917066	-55710.912545
     58	3.201708	     7000	1.009440	        0	77.569571	2.878439	-1346156.299652	-1401920.126192	-55763.826540
     59	3.192220	     7000	1.004784	        0	77.187186	3.049717	-1346117.403917	-1401894.744443	-55777.340526
     60	3.342571	     7000	1.067200	        0	77.038511	3.049717	-1346423.925777	-1401829.768145	-55405.842369
     61	3.460318	     7000	1.117775	        0	76.729771	3.100658	-1346700.061476	-1401823.840252	-55123.778776
     62	3.376054	     7000	1.090444	        0	76.518484	3.118208	-1346436.953317	-1401850.279851	-55413.326534
     63	3.378492	     7000	1.094980	        0	76.330396	3.206413	-1346383.028877	-1401829.078796	-55446.049919
     64	3.412403	     7000	1.112767	        0	76.267685	3.279154	-1346545.091193	-1401819.134412	-55274.043219
     65	3.443834	     7000	1.120408	        0	76.120817	3.406295	-1346662.902053	-1401836.003713	-55173.101660
     66	3.610834	     7000	1.168757	        0	75.637428	3.617880	-1347122.641363	-1401837.490116	-54714.848753
     67	3.523018	     7000	1.154632	        0	75.351830	3.631045	-1346850.453330	-1401796.959231	-54946.505901
     68	3.655556	     7000	1.190225	        0	74.956633	3.822142	-1347199.706426	-1401787.335488	-54587.629062
     69	3.811277	     7000	1.250014	        0	74.989364	3.882213	-1347567.318900	-1401814.465364	-54247.146464
     70	3.795266	     7000	1.237534	        0	74.676669	3.882213	-1347519.292673	-1401771.620575	-54252.327902
     71	3.822734	     7000	1.264421	        0	74.641741	3.882213	-1347567.075943	-1401776.784123	-54209.708181
     72	3.862874	     7000	1.283271	        0	73.980762	3.967222	-1347602.067883	-1401785.100246	-54183.032363
     73	3.924711	     7000	1.302892	        0	73.880375	3.971942	-1347738.894002	-1401760.380864	-54021.486862
     74	3.953813	     7000	1.279678	        0	73.666545	3.981925	-1347825.055149	-1401792.145929	-53967.090780
     75	3.960252	     7000	1.279204	        0	73.444925	4.105911	-1347839.963519	-1401817.642522	-53977.679003
     76	4.042845	     7000	1.311173	        0	73.259431	4.203294	-1348121.482487	-1401851.640186	-53730.157699
     77	4.046279	     7000	1.317133	        0	73.186283	4.213807	-1348108.291110	-1401840.916947	-53732.625837
     78	4.057305	     7000	1.320240	        0	72.734400	4.380571	-1348136.076810	-1401845.073654	-53708.996844
     79	4.096849	     7000	1.353824	        0	72.682198	4.380571	-1348175.853291	-1401809.860256	-53634.006964
     80	4.112954	     7000	1.335542	        0	72.482387	4.370357	-1348191.437754	-1401794.256138	-53602.818385
     81	4.093229	     7000	1.336035	        0	72.490791	4.394203	-1348225.838363	-1401863.984647	-53638.146284
     82	4.124539	     7000	1.360464	        0	72.598534	4.380824	-1348303.175451	-1401801.111174	-53497.935724
     83	4.082912	     7000	1.345018	        0	72.565361	4.388319	-1348170.265246	-1401810.316291	-53640.051045
     84	4.086495	     7000	1.346623	        0	72.311053	4.380720	-1348092.506827	-1401784.860223	-53692.353396
     85	4.157847	     7000	1.376060	        0	71.985381	4.400368	-1348213.599347	-1401735.382917	-53521.783570
     86	4.193579	     7000	1.380716	        0	72.060190	4.400368	-1348367.271347	-1401809.688606	-53442.417259
     87	4.185250	     7000	1.375934	        0	72.174861	4.409403	-1348294.600465	-1401785.569872	-53490.969407
     88	4.144832	     7000	1.371490	        0	71.824138	4.392324	-1348187.758062	-1401790.639536	-53602.881474
     89	4.134371	     7000	1.374536	        0	71.873293	4.392324	-1348167.344949	-1401802.116213	-53634.771264
     90	4.111185	     7000	1.364902	        0	71.633323	4.409887	-1348077.854149	-1401759.582109	-53681.727960
     91	4.146361	     7000	1.370808	        0	71.288486	4.546759	-1348196.780726	-1401787.052966	-53590.272240
     92	4.296478	     7000	1.437491	        0	70.849400	4.643359	-1348483.088066	-1401757.356540	-53274.268474
     93	4.211086	     7000	1.404228	        0	70.994148	4.624846	-1348351.295803	-1401792.539836	-53441.244033
     94	4.366391	     7000	1.468260	        0	70.255543	4.905897	-1348640.192127	-1401789.941014	-53149.748887
     95	4.319796	     7000	1.445712	        0	70.141279	4.911146	-1348534.429749	-1401768.925185	-53234.495436
     96	4.301922	     7000	1.448287	        0	70.057320	4.777342	-1348463.221768	-1401758.836806	-53295.615038
     97	4.292088	     7000	1.441519	        0	69.789374	4.852187	-1348481.489979	-1401744.766350	-53263.276372
     98	4.322956	     7000	1.470904	        0	69.816381	4.846141	-1348579.808189	-1401788.660290	-53208.852101
     99	4.412493	     7000	1.487962	        0	69.928821	4.860504	-1348683.684070	-1401760.864449	-53077.180379
    100	4.353785	     7000	1.478445	        0	69.923609	4.846544	-1348563.427024	-1401761.779978	-53198.352954
    101	4.257778	     7000	1.426829	        0	69.572737	4.866529	-1348339.526388	-1401721.276941	-53381.750553
    102	4.340288	     7000	1.456497	        0	69.629095	4.861620	-1348592.868671	-1401709.707385	-53116.838714
    103	4.370764	     7000	1.460009	        0	69.513326	4.875987	-1348642.322564	-1401715.038347	-53072.715783
    104	4.383298	     7000	1.469934	        0	68.999651	5.052302	-1348748.581926	-1401741.250800	-52992.668874
    105	4.480629	     7000	1.504884	        0	68.353010	5.060963	-1348985.338354	-1401791.537938	-52806.199584
    106	4.411939	     7000	1.483094	        0	68.547156	4.881179	-1348841.595223	-1401741.481524	-52899.886300
    107	4.299351	     7000	1.436000	        0	68.591809	4.867261	-1348545.739055	-1401734.988222	-53189.249167
    108	4.363107	     7000	1.449073	        0	68.384357	5.004611	-1348784.059277	-1401775.234084	-52991.174807
    109	4.501803	     7000	1.515164	        0	68.387199	5.014030	-1349044.890011	-1401788.640592	-52743.750580
    110	4.430297	     7000	1.472625	        0	68.411983	4.997131	-1348838.496264	-1401753.079822	-52914.583559
    111	4.484171	     7000	1.501943	        0	68.606514	5.018935	-1349042.500164	-1401812.663863	-52770.163700
