iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	C_coal_stats_total	C_num_coals_total	D_coal_stats_total	D_num_coals_total	AB_coal_stats_total	AB_num_coals_total	ABC_coal_stats_total	ABC_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	C__pop_coal_stats_total	C__pop_num_coals_total	D__pop_coal_stats_total	D__pop_num_coals_total	AB__pop_coal_stats_total	AB__pop_num_coals_total	ABC__pop_coal_stats_total	ABC__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	D->B_mig_stats	D->B_num_migs	
60	0.01029746369763886136572406115874401	64	0.01034168396028281068643739359913525	68	0.01921135847906144111796322704321938	175	0.12108530885669943621962829638505355	333	0.11690792096232835439728603432740783	356	1.00480545668568144179744194843806326	3319	3.69402370497689291894971574947703630	7000	0.01029746369763762797733264164889988	64	0.01034168396028154607302340650676342	68	0.01921135847906141683183456336792005	175	0.12108530885669160914730468903144356	333	0.05497488834205024876844447589974152	224	0.71364844113024061833527866838267073	2788	1.48602721033051299315275173285044730	3348	0.01050267598594091869590450016858085	2	
65	0.00851475501627369305013282030358823	56	0.00851964132747871222273161606608483	46	0.02089459694933571559660734351382416	174	0.12176307618570085533615809936236474	302	0.12613284430106608269284151901956648	402	1.01227283284853020184357319521950558	3279	3.82509585797004758589423545345198363	7000	0.00851475501627225496437123553050697	56	0.00851964132747722382998922796559782	46	0.02089459694933413005935030071213987	174	0.12176307618569243151895875598711427	302	0.07501856197548374682870786500643590	300	0.69725774000852813738760005435324274	2703	1.60429297827270112009045988088473678	3419	0.00864206383148105605762623326882022	5	
70	0.00979199269694053069101880026892104	58	0.00984161184910299809136535742482010	49	0.02074667253507926634181757208352792	164	0.12087991560360744625057805023971014	300	0.12503696237880165820222089223534567	373	1.01127452250043892156838865048484877	3304	3.85952626495786077498451049905270338	7000	0.00979199269693981078077626989397686	58	0.00984161184910221052690726395439924	49	0.02074667253507732692097143001319637	164	0.12087991560359556686421456106472760	300	0.06613110798217400332354998226946918	266	0.69889844877988227533904819210874848	2767	1.64641456178989575853677251870976761	3396	0.00996265690402696815763938786858489	1	
75	0.00742146841628110211230850978836315	56	0.00746965219826902816768754433951472	45	0.01941684696209338908956532065985812	154	0.12538977728846661952033514353388455	275	0.11596400717660558521426850120406016	367	1.01591760963471822165615776611957699	3303	3.96027157256935824491961284365970641	7000	0.00742146841628025816933744707171172	56	0.00746965219826817121429041179681008	45	0.01941684696208927432548030367343017	154	0.12538977728845779324728937353938818	275	0.07128091857661621177921773551133811	266	0.72540153888357283840093714388785884	2782	1.71545670742590616875133946450660005	3422	0.00756449131492000804988240503234920	2	
80	0.00779445218851702696649663693051480	57	0.00781256097112494225787049373366244	46	0.02081928373785075017665668895006092	143	0.12436821504213045608278065401464119	272	0.12381432449789572802778536697587697	328	1.02119203729959417970007962139789015	3315	4.00962400072452229693453773506917059	7000	0.00779445218851644496677044671173462	57	0.00781256097112435592133561357286453	46	0.02081928373784509497812500455893314	143	0.12436821504212387801135974996213918	272	0.07698625196088816624584438841338851	225	0.71063133576698311877350988652324304	2844	1.76426389957098161964665905543370172	3413	0.00791078717018386771975269056156321	0	
85	0.00663018131244507129967713510154681	40	0.00657744535196549007932675934284816	46	0.02093299187977253408843303361663857	151	0.12475578064949501000402420913815149	268	0.12430739892045172823031862208154052	360	1.02855584640750508107487348752329126	3312	4.07591080685955997608971301815472543	7000	0.00663018131244460726114731130564905	40	0.00657744535196504338803169531502135	46	0.02093299187976685460377268555021146	151	0.12475578064949087442325748043003841	268	0.08467308221526353984032198241038714	274	0.71650564815104655913557962776394561	2801	1.81553873355170991565898930275579914	3420	0.00667210550120542547625213103401620	1	
90	0.00727743117220623885604835479057328	49	0.00733264146013912557209302178762300	32	0.02105611002945410176190321749345458	153	0.12639405915139734215557609786628745	254	0.12539447646329524022057455567846773	353	1.00612276131836542170105985860573128	3393	3.97761586955883084115725978335831314	7000	0.00727743117220554670138144004454261	49	0.00733264146013844122368174893722426	32	0.02105611002944862697461303469026461	153	0.12639405915139473313146822874841746	254	0.08155548214581551103030676586058689	272	0.69169306957053600104501356327091344	2887	1.74814161840197779262950916745467111	3353	0.00738976081510081712899751238410317	0	
95	0.00830588278086625934892861522484964	59	0.00831375048790040753476926482790077	48	0.01979544647071942650717879530475329	129	0.12627076006045076517203540333866840	259	0.11730211219942673905869412465108326	360	1.00658325584985930412074139894684777	3400	3.98729704352975478087728333775885403	7000	0.00830588278086574760550320206675678	59	0.00831375048789986283159780811047312	48	0.01979544647071256047166087910227361	129	0.12627076006044582467957582139206352	259	0.06743606521627938665819357311193016	253	0.71202582433848826681810351146850735	2911	1.75621169358132789284354657866060734	3341	0.00841971060089461917352871012099058	1	
100	0.00944914983423934297379620517176591	59	0.00939908366742742140687028040701989	66	0.01953148597603291888868959347291820	151	0.12347396253996678616715598764130846	237	0.11672871737039784700851186016734573	353	0.97463549898873602650439806893700734	3378	4.02006345765041395168282178929075599	7000	0.00944914983423951297669685089886116	59	0.00939908366742760355283525797176480	66	0.01953148597603315134163537436506886	151	0.12347396253997056092543971317354590	237	0.06015990278271236141316435919179639	228	0.68223393412602995056204235879704356	2874	1.85434755450074706395469092967687175	3385	0.00955779123208173354842021041122280	1	
105	0.00970125828089425483458096977074092	59	0.00965703089184387873655790457405601	58	0.01877255210189914327867377608072275	128	0.12514484281189502956621595330943819	231	0.11144938924410577318901971466402756	335	0.97384559996966280071006849539116956	3365	3.98518504215018198877373833965975791	7000	0.00970125828089449249169717859331286	59	0.00965703089184407822975764190687187	58	0.01877255210190070106035520325349353	128	0.12514484281189522385524526271183277	231	0.05337130153676285237995813304223702	218	0.69398687366989131319883199466858059	2902	1.81489739845402486828618293657200411	3404	0.00982876659061515146886822691385532	3	
110	0.01103433398387971067777790779018687	65	0.01096926002378075665211198952420091	72	0.01886828870301337363057925244902435	113	0.12586747591921745859089298846811289	222	0.11257845718559680858739113773481222	319	0.97852450545539659820803990442072973	3386	3.97527795785364501668368575337808579	7000	0.01103433398388063008122017549794691	65	0.01096926002378165523887254551027581	72	0.01886828870301494875949543938986608	113	0.12586747591922184397184025783644756	222	0.04654126929542964918873337865079520	182	0.69649862830398956425881351606221870	2954	1.79057381837414064662539203709457070	3392	0.01116052254952622571626541514433484	1	
115	0.01100184872715046988100873193161533	64	0.01097833598040884317548204762715613	74	0.01946743442187906861229329535944998	126	0.12257236254613435022520206985063851	219	0.11583581724870044282749148578659515	356	0.94639954912340140680271360906772316	3368	3.88601544565989520663151779444888234	7000	0.01100184872715215776695085736491819	64	0.01097833598041054493921198087491575	74	0.01946743442187934269860249969497090	126	0.12257236254613548820380231063609244	219	0.04987766441852112958565967915092187	218	0.65589422442572797855575572611996904	2886	1.77115455033967972298114545992575586	3413	0.01118154603047860802533808310954555	2	
120	0.01090233154442028611075254929119183	85	0.01086553631056630560280940045458919	85	0.01903577600976153610945473815263540	142	0.12931154057614396846176418875984382	174	0.11283991801051326819838038773013977	366	0.98380163706207757190469465058413334	3307	4.04613328184530196551804692717269063	7000	0.01090233154442177103404798543806464	85	0.01086553631056778532193440867104073	85	0.01903577600976274000754706605675892	142	0.12931154057614102637074893209501170	174	0.04752394509897994029357093381804589	196	0.70026850302861476382787486727465875	2799	1.83858867531312153431599654140882194	3519	0.01111765203052304112896209176142293	2	
125	0.01135840990471059450128699097604112	101	0.01145113779153904796925811382379834	80	0.01813024176161287526198861996817868	115	0.12997629315277203776446413030498661	169	0.10682477611595059263649432068632450	348	1.00210141669988561652360203879652545	3255	4.07208386960363188933342826203443110	7000	0.01135840990471240728731938673945479	101	0.01145113779154080524413927832938498	80	0.01813024176161388487105163846990763	115	0.12997629315277134387507373958214885	169	0.03837825748795446051397917130998394	167	0.73324357820894536796885176954674534	2792	1.83351738375485018295307781954761595	3576	0.01170584658562953510319015748564198	5	
130	0.01249557467152353357198180106024665	114	0.01275884698549287210589398000593064	73	0.01824316498187051813206771555542218	116	0.12997595234946279774135291518177837	179	0.10745761174164726592383800607422017	345	1.00631612750834986691472749953391030	3297	4.10564026568411755135912244440987706	7000	0.01249557467152462644777166644871613	114	0.01275884698549392681776737390464405	73	0.01824316498187143406606303130956803	116	0.12997595234946232589656744949024869	179	0.03165372029057931385631619036757911	158	0.73585635837416663029841856769053265	2836	1.85753303500163813311019112006761134	3524	0.01304138108489192628136610352385105	6	
135	0.01231736573221510824827085173183150	118	0.01264828711642409370119466416326759	69	0.01802732211723519911705793106193596	122	0.13500839476177414755220240749622462	124	0.10698027204227925079926819762476953	336	0.98030069054988955290497187888831832	3370	3.98793260867810062109128921292722225	7000	0.01231736573221550029577642249023484	118	0.01264828711642437125695082045240270	69	0.01802732211723444277762240517404280	122	0.13500839476175185982498305747867562	124	0.03204351620941024714195322076193406	149	0.71165394562419492796578879278968088	2912	1.75913543778763648006702169368509203	3506	0.01289402301571623658815735069538277	2	
140	0.01335183466950522201965867452599923	126	0.01367043251744211838916154277967507	80	0.01950309855486153515213842979392211	124	0.12958226131851072193690299627633067	148	0.11492988596092758302180669716108241	350	1.00289872431121573903567423258209601	3223	4.03721260868962161794115672819316387	7000	0.01335183466950572682419018377686371	126	0.01367043251744254166168968112060611	80	0.01950309855486103902122430042709311	124	0.12958226131849162610087944358383538	148	0.03379935742877022281094312461391382	144	0.71372256855107474304844572543515824	2749	1.79971380622024756945620538317598403	3629	0.01398655598628140497852179180426901	5	
145	0.01252682109348709528495735554542989	103	0.01278322488007863251546769589594987	67	0.01729950168443467745094110910031304	104	0.12331553591080192389117797802100540	169	0.10235139347824585842605671359706321	302	0.98452039118654000038333151678671129	3205	3.97978791845079404865259675716515630	7000	0.01252682109348665813464140939004210	103	0.01278322488007804270948586378153777	67	0.01729950168443416397279221996541310	104	0.12331553591078210641018841897675884	169	0.02640939460480955583432383093622775	132	0.72736876213939660740237513891770504	2799	1.80244682596791627737786711804801598	3626	0.01301390584263189403868565818811476	1	
150	0.01250737043892759942087522517795151	113	0.01281319852585249136067702124819334	59	0.01727684413958994677495972780434386	106	0.12410376739854217520431234333955217	173	0.10260234591475070331512142729479820	276	0.98115808492351896941130462437286042	3196	4.01237543481585401394795553642325103	7000	0.01250737043892762197228041287644373	113	0.01281319852585252258569958883072104	59	0.01727684413958963105528710002545267	106	0.12410376739853798411239438337361207	173	0.02659935524157332198402770018219599	104	0.72361631099532242039629181817872450	2814	1.83811752366429903560174352605827153	3631	0.01302700141681369626345254886246039	4	
155	0.01097228824049770179449581064545782	95	0.01121436480200170039689400169891087	69	0.01668899818340136703698206588342146	99	0.12510672910016790160270261367259081	156	0.09840898029931875734543922362718149	272	0.96468315402603410646520387672353536	3272	4.01817523238108709193738832254894078	7000	0.01097228824049652738670257434705491	95	0.01121436480200052078493033747008667	69	0.01668899818340026028340439268049522	99	0.12510672910016520931186789766798029	156	0.03183506719349760843984498137615446	108	0.71708949008341382747033776468015276	2901	1.86044789242338692858425019949208945	3572	0.01139875262073194658873909190788254	2	
160	0.00987648171805675760548393071758255	74	0.00986765650830584255259747550326210	67	0.01588515822070507566010633127007168	99	0.13524575041021891230741402978310362	150	0.09342086392970001818003566995685105	271	1.02383896074150282373693698900751770	3266	4.15978006410817258142742502968758345	7000	0.00987648171805596657157888529354750	74	0.00986765650830502896728724238073482	67	0.01588515822070317093372970873588201	99	0.13524575041020597820917714670940768	150	0.03414763776599530342714672315196367	130	0.78865560475169238507930913328891620	2896	1.85757177526722028204630987602286041	3584	0.01007429376934754379491199216545283	1	
165	0.00970230473651950177382818907290130	93	0.00976953554496226561631999629753409	71	0.01558602072182972871072781373413818	105	0.12919680358791466034951156416354934	181	0.09186007409672596046856796192514594	282	1.01486835981699652364795838366262615	3222	4.11771873699337387364494134089909494	7000	0.00970230473651866563711276825188179	93	0.00976953554496141907126371961567202	71	0.01558602072182796623167622129813026	105	0.12919680358789664698093702099868096	181	0.03341520894138023944908155726807308	118	0.78373743842680565485636634548427537	2835	1.86204311375450659582497792143840343	3597	0.00997131475500507430398400288140692	1	
170	0.00894200754718917252550358654161755	97	0.00914935020673295767990040872064128	55	0.01648052392876558219780847025504045	116	0.12742687228144669586704651464970084	182	0.09686026401474263913815576643173699	301	0.99344995250036705058960251335520297	3235	4.15997595178783097225050369161181152	7000	0.00894200754718875792659282808472199	97	0.00914935020673254481571312624055281	55	0.01648052392876343807959216292147175	116	0.12742687228142740574199365255481098	182	0.04257617887849442228631602347377338	149	0.74952694403441633141937927575781941	2818	1.94571444332783616282256389240501449	3583	0.00928145771737960700864533691856195	2	
175	0.01029636170611463764912318907818189	97	0.01044662223477272298965967678441302	53	0.01836499796745257734320588838272670	126	0.12975019026527864762776687257428421	151	0.10852602328434056422334919034256018	326	0.99456612350424267177118053950835019	3248	4.09417086036844057872485791449435055	7000	0.01029636170611430978638622946164105	97	0.01044662223477240726998704900552184	53	0.01836499796745145671184040736534371	126	0.12975019026526382615038812673446955	151	0.04628363130973722067151854275834921	176	0.72170568915041521940167967841261998	2796	1.86808800438934974330607019510352984	3601	0.01061877963311743007512877312592536	4	
180	0.01023684723394632095638812074867019	92	0.01041135022760343760428458637079530	55	0.01831077233241576798783434298911743	121	0.12965328360110278671513128756487276	137	0.10842374406101581985062409785314230	299	0.99458185278093491632489531184546649	3287	4.11490365476686736911915431846864522	7000	0.01023684723394610411595362364778339	92	0.01041135022760328841806565236538518	55	0.01831077233241465776480971783257701	121	0.12965328360108460681310305062652333	137	0.04646196257478428515153012767768814	152	0.72213774415378673143806054213200696	2867	1.89105257048407815467783166241133586	3576	0.01057419147685674347403317341331785	4	
185	0.01034104358161695019768799852499797	96	0.01063307946884226376504933853084367	45	0.01735584582941743572725989963601023	110	0.13193052089020407269259749227785505	129	0.10326228201479557833319944393224432	296	1.01429805710652165551266534748720005	3228	4.25832460992269457022985079674981534	7000	0.01034104358161655468073547581298044	96	0.01063307946884194631065323477514539	45	0.01735584582941609652073644554093335	110	0.13193052089018197925440745166270062	129	0.04031600735394982176762468384367821	155	0.75527800653951870923918932021479122	2822	1.99248328073096758750182289077201858	3643	0.01076339970116343448813811534137130	4	
190	0.01041640647271265332496348321456026	110	0.01067993190204169322299332378634062	59	0.01609534754133957329402804248275061	108	0.12964544547104228655598490149714053	152	0.09483436114326861121615053207278834	306	0.98597832730505785558960951675544493	3257	4.16816499965767039981301422812975943	7000	0.01041640647271181198407763446311947	110	0.01067993190204090565853523031591976	59	0.01609534754133730080627451286545693	108	0.12964544547102016536221924525307259	152	0.03151967870264529847368351056502433	137	0.74734734743702024850620091456221417	2843	1.95429989216186505984751420328393579	3591	0.01085006034891603139691529378296764	1	
195	0.01118618589050026680686844571255278	99	0.01137534729893282213486482845610226	65	0.01526376208451669415355755887730993	98	0.13115750620360036582390250714524882	132	0.09098929008661539585833821774940589	273	0.99016148571515827381261942718992941	3238	4.08456247699290475594580129836685956	7000	0.01118618589049902647958312229548028	99	0.01137534729893160609370816871432908	65	0.01526376208451506698293709263225537	98	0.13115750620358240796647919523820747	132	0.02327793058984824886570308422051312	109	0.76212421356437154429386282572522759	2867	1.85855031546375970563644841604400426	3630	0.01158019589037609549386775853463405	2	
200	0.00979516983613695768617901649122359	106	0.01002859772852636791040659147711267	53	0.01508669180879593403610261503899892	99	0.13045060114153350649957019413704984	128	0.08917883645688957916508599055305240	282	0.95568676840089372692688129973248579	3275	3.98904332994362098574470110179390758	7000	0.00979516983613675819297927915840773	106	0.01002859772852618229499466195875357	53	0.01508669180879569290953945426281280	99	0.13045060114153486652277535995381186	128	0.02967781362246768583901257443358190	123	0.73155537428470918115408494486473501	2894	1.81792484426481171233547229348914698	3597	0.01018198327427754720786445830071898	1	
205	0.00999585636883856647194601663386493	86	0.01014601557135150732003037177264559	58	0.01528860572231485054350841323866916	90	0.13234902137405632482902717583783669	140	0.09080255432334294329876911433530040	248	1.02028666380192212237432158872252330	3230	4.16685406448509798593704545055516064	7000	0.00999585636883832881482980781129299	86	0.01014601557135127833653154283410913	58	0.01528860572231427981948481686913510	90	0.13234902137405130106984074700449128	140	0.03035778955774090862029801485277858	104	0.79246162957114474334474607530864887	2892	1.88392280474928619504737525858217850	3630	0.01029478405184532617544501675865831	2	
210	0.00801637699053267017978985364834443	112	0.00829101948590551911244528326960790	43	0.01181164396413852089862128735830993	96	0.13160153322302520217945698277617339	138	0.07025365049402548800472345646994654	250	0.92736789712609424274347702521481551	3383	3.95590107069717644705519887793343514	7000	0.00801637699053115750091880187255811	112	0.00829101948590388847237786507093915	43	0.01181164396413862324730636998992850	96	0.13160153322301632039525998152385000	138	0.02132099895140025444528752984751918	95	0.75114470670689725828594873746624216	3037	1.82422643231985648348825179709820077	3479	0.00838427350468057101806618192085807	1	
215	0.00789963152809199618820112931416588	111	0.00808743432764067425588816462322939	64	0.01502647172980549339360578642299515	85	0.12724550828099964738804317221365636	146	0.08663574470459019238877118596064975	328	0.92109656887780555489797507107141428	3384	3.96166228934966113683913135901093483	7000	0.00789963152809032564949376364893396	111	0.00808743432763885626568534092939444	64	0.01502647172980707719613935324787235	85	0.12724550828098754595707475800736574	146	0.03865386559292280366229022092738887	153	0.70152832723090496891416023572674021	2971	1.86405889547592984456514386693015695	3470	0.00821860242425034338842326775420588	1	
220	0.00790723769339093766894688286583914	95	0.00809730842819393094311752889780109	45	0.01604199402900783819059249424299196	98	0.12608630758500266599853034676925745	141	0.09444409260031437491900163649916067	309	0.92357849059976449002107301566866226	3390	3.94788768117084609698963504342827946	7000	0.00790723769338946662343925453342308	95	0.00809730842819235581420134195695937	45	0.01604199402900970128360569333381136	98	0.12608630758499098090119616699666949	141	0.04642413265727957788486790491333522	169	0.68583779455968640892393750618794002	2983	1.85227432749072451478866696561453864	3469	0.00820476921139070940192095093834723	2	
225	0.00868399149439344313072819403487301	101	0.00893494298889797346208130335298847	41	0.01422033747045647888995745233842172	113	0.12256785751388948879636586752894800	192	0.08486107403679925276218654062176938	257	0.94074890965612090187875082847313024	3289	3.99671645716761192446142558765131980	7000	0.00868399149439250464532769058223494	101	0.00893494298889698466969999657294466	41	0.01422033747045872535685884230360898	113	0.12256785751387723470973156736363308	192	0.03198879532499127043010389570554253	115	0.72810664142564551770675507214036770	2919	1.88897147796363129579333417495945469	3519	0.00905062245066607685972659425033271	4	
230	0.00862735524248701285410234618211689	105	0.00890853975889926638642712930504786	42	0.01281420655406037382995076967517889	106	0.12339652471203708949953892215489759	167	0.07625780185162212010396842742920853	246	0.90061183672982658698913382977480069	3337	3.86702501066880177660323170130141079	7000	0.00862735524248585232409691769817073	105	0.00890853975889801738552442600393988	42	0.01281420655406239478280028265544388	106	0.12339652471201599526207104418062954	167	0.02363602639587426140765913373797957	99	0.70938391445025439363547548055066727	2985	1.81854637085004933183540742902550846	3496	0.00902000547418881776229326874272374	2	
235	0.00977818146018716652378977016724093	103	0.00999989718531517704502853405301721	67	0.01279620985779603148380090260616271	100	0.12133814817269392150045348444109550	161	0.07614737861615401837145356012115371	239	0.89536458019773901284565909008961171	3342	3.82571411348992374001909411163069308	7000	0.00977818146018651773720975484138762	103	0.00999989718531447274729728746933688	67	0.01279620985779811315197207477467600	100	0.12133814817267403463052488632456516	161	0.01679785498431475565528359084055410	69	0.70440628441934283188174958922900259	3003	1.79794143003728934537832628848263994	3497	0.01018405810661900459668238738686341	2	
240	0.00978693731104983595525670381221062	119	0.01017680522487898753247748118155869	42	0.01367134048112085727144648927833259	139	0.12276738573543705124180291932134423	149	0.08302151176056241088652143389481353	249	0.89485981917776546978871010651346296	3308	3.82741416021669378366709679539781064	7000	0.00978693731104936931464166605110222	119	0.01017680522487841854317736078883172	42	0.01367134048112229015303764612099258	139	0.12276738573541495780361287870618980	149	0.02311627869054212400246051117846946	88	0.68802192047405952290972663831780665	2920	1.79116411484288629019090421934379265	3543	0.01029201341289031658432495675015161	0	
245	0.01014068223572158096434936425112028	134	0.01073317381795482576556377551924015	43	0.01389174834692342465347625335425619	118	0.12200394310131083830395226641485351	160	0.08351715072930193661804310067964252	255	0.95487870816259023953875839652027935	3181	4.09061972712132249085925650433637202	7000	0.01014068223571997981458103765817214	134	0.01073317381795309624625822664256702	43	0.01389174834692516458112265809177188	118	0.12200394310129171471235309809344471	160	0.02088185130738298353469950541239086	78	0.74614002939403156755560075907851569	2808	1.96366082995566637592332881467882544	3659	0.01084354604461407536875050539038057	1	
