Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	m_C->A	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
1904	 8.07917	 8.15844	11.10392	13.59281	 9.59815	 1.07938	 3.38818	496.40893	-1349.076297	-2864639.913457	166487.320134
1905	 7.70420	 7.89179	11.07278	13.55469	 9.57124	 1.07635	 3.37868	497.28197	-1348.975137	-2864571.681975	166621.407815
1906	 7.66474	 7.77899	11.01606	14.12230	 9.23994	 1.07084	 3.36137	507.80311	-1348.697597	-2864531.427440	167136.232871
1907	 7.63612	 7.74994	10.97493	14.06958	 9.20544	 1.06684	 3.36851	519.76585	-1348.465233	-2864423.770020	167493.304012
1908	 7.87642	 7.77320	10.75031	14.11179	 9.23306	 1.07004	 3.34541	505.46235	-1348.650425	-2864518.643130	167217.792211
1909	 8.16032	 7.89990	10.75031	14.11179	 9.23306	 1.07004	 3.31765	512.16193	-1348.514530	-2864505.408769	167476.349746
1910	 8.33326	 7.92106	10.77909	14.60159	 9.25778	 1.07291	 3.32653	510.79421	-1348.565098	-2864500.230489	167370.033797
1911	 8.17272	 7.91003	10.76410	14.97540	 9.24490	 1.07141	 3.35498	511.50587	-1348.764827	-2864552.956648	167023.302128
1912	 7.84531	 8.30743	10.80873	14.30868	 9.28324	 1.07586	 3.36890	519.54870	-1348.711491	-2864552.249160	167129.266799
1913	 7.85845	 8.32135	10.62709	14.84399	 9.29879	 1.07766	 3.35604	518.67970	-1348.672870	-2864579.813804	167234.073945
1914	 7.88117	 8.34541	10.57773	14.88690	 9.32568	 1.08077	 3.37162	517.18450	-1348.730583	-2864418.036352	166956.869477
1915	 8.31787	 8.08672	10.53089	14.17505	 9.28438	 1.07599	 3.34443	519.48514	-1348.544712	-2864535.155639	167445.731596
1916	 8.03628	 8.34701	10.50057	14.13424	 9.25765	 1.07289	 3.33480	534.32549	-1348.322775	-2864557.453815	167911.904180
1917	 8.04930	 8.36054	10.51759	14.15714	 9.27265	 1.07463	 3.36217	533.46104	-1348.309728	-2864431.474179	167812.017585
1918	 8.07261	 8.38474	10.54804	14.19813	 9.29950	 1.07774	 3.35594	531.92098	-1348.519945	-2864425.608699	167385.718123
1919	 8.11079	 8.42440	10.90552	14.26529	 9.34348	 1.08284	 3.37181	548.81837	-1348.251212	-2864424.580355	167922.157155
1920	 8.14498	 8.45991	10.95149	14.32542	 9.38287	 1.08740	 3.38603	533.67533	-1348.332569	-2864448.435153	167783.297465
1921	 8.11769	 8.43157	10.53168	14.27743	 9.35144	 1.08376	 3.36084	535.46910	-1348.285822	-2864455.504160	167883.859180
1922	 7.89537	 8.82811	10.57175	14.33176	 9.38702	 1.08788	 3.37363	537.81801	-1348.255379	-2864451.042612	167940.284360
1923	 7.65477	 8.86988	10.62178	14.39957	 9.43144	 1.09303	 3.38959	529.79056	-1348.441469	-2864522.200889	167639.262640
1924	 7.98610	 8.89310	10.64958	14.43727	 9.45613	 1.09589	 3.36614	528.40727	-1348.383576	-2864489.456997	167722.304028
1925	 8.00216	 8.60841	10.67101	14.46631	 9.47515	 1.09810	 3.37292	540.47704	-1348.155911	-2864556.569232	168244.748144
1926	 8.00216	 8.60841	10.67101	14.46631	 9.47515	 1.09810	 3.40308	536.78360	-1348.283974	-2864459.356680	167891.409145
1927	 8.29527	 8.95850	10.69441	14.12284	 9.49593	 1.10050	 3.41054	535.60904	-1348.084160	-2864438.242413	168269.922663
1928	 8.28144	 8.74673	10.67658	14.09930	 9.48010	 1.09867	 3.40486	527.17108	-1348.212217	-2864635.445301	168211.011092
1929	 8.26422	 8.41226	10.65438	14.20939	 9.46038	 1.09639	 3.39778	528.26970	-1348.184680	-2864549.171130	168179.810353
1930	 8.28162	 8.42997	10.67680	14.23930	 9.48030	 1.09869	 3.40493	527.16010	-1347.865901	-2864567.589730	168835.787826
1931	 8.16304	 8.09037	10.69881	13.93578	 9.49983	 1.10096	 3.37065	526.07592	-1347.896933	-2864573.726202	168779.859577
1932	 8.13664	 7.86016	10.66421	13.89071	 9.46911	 1.09740	 3.35975	519.59826	-1348.114593	-2864602.681256	168373.495631
1933	 8.15978	 7.88252	10.69454	13.58422	 9.49604	 1.10052	 3.36931	518.12473	-1348.022048	-2864561.080772	168516.984480
1934	 8.14378	 7.86706	10.67357	13.55758	 9.47742	 1.09836	 3.33948	514.55321	-1348.270892	-2864595.255787	168053.472614
1935	 8.51000	 8.07133	10.65185	13.53000	 9.45814	 1.09613	 3.31025	515.60224	-1348.124027	-2864560.052987	168311.998339
1936	 8.02982	 8.46874	10.61942	13.87063	 9.47925	 1.09279	 3.30017	517.17666	-1348.195495	-2864464.452332	168073.461657
1937	 7.72496	 8.49657	10.65432	13.41275	 9.51040	 1.09638	 3.31102	529.44738	-1348.302287	-2864507.055347	167902.482181
