Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	m_C->A	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
0	 1.05550	 1.02877	 1.07509	 1.09705	 0.96954	 0.49451	 3.05251	 0.00000	-1368.482653	-2928065.853062	191100.546683
1	 1.09290	 1.02877	 1.08889	 1.09705	 0.96954	 0.50626	 3.07883	19.15598	-1361.761879	-2912490.286054	188966.527392
2	 1.09290	 1.02877	 1.12682	 1.09705	 0.96954	 0.50626	 3.07883	19.55723	-1358.064132	-2904404.292675	188276.028441
3	 1.16514	 1.09279	 1.12682	 1.09705	 0.92241	 0.50626	 3.10581	20.00975	-1356.519453	-2900428.581361	187389.675941
4	 1.21728	 1.15081	 1.13004	 1.13471	 0.89795	 0.50771	 3.11468	19.58006	-1355.368859	-2897866.917613	187129.199009
5	 1.22260	 1.18143	 1.14519	 1.19243	 0.90188	 0.50993	 3.15058	19.16118	-1354.688454	-2895682.459685	186305.551618
6	 1.22260	 1.18143	 1.14519	 1.19243	 0.85850	 0.51585	 3.15058	18.72696	-1354.218843	-2894142.587243	185704.901038
7	 1.28461	 1.18143	 1.14519	 1.22814	 0.82744	 0.51585	 3.16532	18.29078	-1353.695814	-2893091.900408	185700.273226
8	 1.32759	 1.18143	 1.16400	 1.22814	 0.80087	 0.51596	 3.18722	18.61923	-1353.481477	-2892415.836404	185452.881427
9	 1.33082	 1.18430	 1.16683	 1.23113	 0.81731	 0.51722	 3.17676	18.95239	-1353.284401	-2891711.434930	185142.632239
10	 1.36624	 1.22580	 1.20881	 1.29613	 0.78749	 0.51722	 3.17676	18.74367	-1352.979761	-2891220.583568	185261.060698
11	 1.42651	 1.22580	 1.20881	 1.33347	 0.78749	 0.51722	 3.17676	18.74367	-1352.851426	-2890721.200335	185018.348947
12	 1.47110	 1.25386	 1.20881	 1.33347	 0.78749	 0.51722	 3.17676	19.17302	-1352.837174	-2890053.160157	184378.812922
13	 1.52914	 1.32745	 1.21331	 1.33843	 0.79041	 0.51914	 3.20673	19.39165	-1352.786005	-2889877.833289	184305.823015
14	 1.52914	 1.37342	 1.23622	 1.36682	 0.79041	 0.51914	 3.23252	19.59737	-1352.691021	-2889525.507750	184143.464845
15	 1.52914	 1.37342	 1.23622	 1.42253	 0.81327	 0.51914	 3.23252	19.89287	-1352.726973	-2889217.812429	183763.866037
16	 1.62534	 1.37640	 1.23890	 1.46415	 0.78628	 0.52027	 3.26227	19.84981	-1352.781942	-2888815.088987	183251.205466
17	 1.74481	 1.38955	 1.30719	 1.49484	 0.81398	 0.52145	 3.29960	20.18611	-1352.748177	-2888532.889338	183036.535503
18	 1.84089	 1.40878	 1.33592	 1.49710	 0.81521	 0.52224	 3.31469	19.60691	-1352.899706	-2888422.707159	182623.296151
19	 1.86307	 1.41243	 1.33938	 1.50097	 0.84344	 0.52359	 3.29498	20.01992	-1353.063457	-2888244.538927	182117.625717
20	 1.99859	 1.41243	 1.33938	 1.50097	 0.84344	 0.52359	 3.30071	20.01992	-1353.101999	-2888005.116984	181801.119301
21	 2.08939	 1.41312	 1.34004	 1.50171	 0.84386	 0.52385	 3.27784	20.32334	-1352.984196	-2887795.306840	181826.914686
22	 2.13152	 1.41312	 1.34004	 1.55805	 0.82318	 0.53050	 3.29252	20.32334	-1353.014971	-2887696.094995	181666.153904
23	 2.13754	 1.41711	 1.42750	 1.56245	 0.84821	 0.53200	 3.33137	20.66000	-1352.977030	-2887437.649382	181483.589825
24	 2.25495	 1.41711	 1.44623	 1.56245	 0.84821	 0.53200	 3.33137	20.66000	-1353.035328	-2887226.654943	181155.999701
25	 2.33212	 1.48137	 1.44598	 1.65583	 0.88579	 0.53200	 3.33796	20.66000	-1352.809949	-2887015.065262	181395.167326
26	 2.43614	 1.51948	 1.50876	 1.66077	 0.88843	 0.53359	 3.37565	20.12997	-1352.987180	-2886641.116692	180666.755920
27	 2.43614	 1.51948	 1.50876	 1.66077	 0.92499	 0.53359	 3.37565	19.74431	-1353.273802	-2886304.305720	179756.701701
28	 2.57900	 1.58017	 1.51492	 1.71993	 0.98135	 0.53577	 3.38944	20.27100	-1353.165414	-2886079.204067	179748.376773
29	 2.58499	 1.60324	 1.51845	 1.72392	 0.98363	 0.53701	 3.42987	20.53788	-1353.397281	-2885917.510682	179122.949230
30	 2.71940	 1.67746	 1.52284	 1.80981	 1.00055	 0.53857	 3.45941	20.47868	-1353.269445	-2885617.793496	179078.904288
31	 2.71940	 1.72621	 1.57425	 1.89509	 1.02081	 0.53857	 3.48128	21.01011	-1353.300830	-2885344.677974	178743.018198
32	 2.72705	 1.82976	 1.66912	 1.99495	 1.07286	 0.54008	 3.51491	20.95117	-1353.319872	-2884924.960709	178285.217124
33	 2.83170	 1.83361	 1.67264	 1.99916	 1.11177	 0.54122	 3.52232	21.47600	-1353.573206	-2884509.243140	177362.830570
34	 2.83170	 1.87880	 1.74799	 1.99916	 1.13153	 0.55299	 3.51306	21.47600	-1353.659398	-2884351.457826	177032.661020
35	 2.83170	 1.87880	 1.74799	 2.09657	 1.13153	 0.55299	 3.54326	22.04065	-1353.728343	-2884101.168427	176644.483153
36	 2.89311	 1.87880	 1.85346	 2.19154	 1.13153	 0.55299	 3.54326	22.04065	-1353.659577	-2883761.961497	176442.807611
37	 3.00105	 1.96282	 1.85951	 2.25230	 1.16687	 0.55479	 3.57934	21.96902	-1353.909367	-2883379.846141	175561.111953
38	 3.13574	 1.97014	 1.91236	 2.26071	 1.17122	 0.55686	 3.57631	21.88734	-1353.844658	-2882955.129176	175265.812692
39	 3.28998	 1.97014	 1.91236	 2.33667	 1.17122	 0.55686	 3.60128	21.88734	-1353.902092	-2882902.558569	175098.375430
40	 3.46430	 2.08344	 1.94709	 2.39161	 1.20691	 0.55793	 3.61845	21.98374	-1353.743287	-2882425.092978	174938.519287
41	 3.59068	 2.18842	 1.94709	 2.39161	 1.28804	 0.55793	 3.61845	21.98374	-1353.799632	-2882012.047807	174412.784614
42	 3.74949	 2.28380	 2.01127	 2.50950	 1.28804	 0.55793	 3.61845	21.55528	-1353.776221	-2881658.072589	174105.630689
43	 3.74949	 2.28380	 2.10770	 2.50950	 1.31695	 0.55793	 3.61845	21.55528	-1354.021730	-2881543.348197	173499.888939
44	 3.90902	 2.33747	 2.21002	 2.50950	 1.37875	 0.55793	 3.61845	22.06020	-1353.858787	-2881162.622329	173445.047970
45	 4.03849	 2.33747	 2.21002	 2.61022	 1.37875	 0.55793	 3.61845	22.06020	-1353.869511	-2880756.925243	173017.902539
46	 4.24452	 2.34370	 2.26040	 2.73905	 1.38243	 0.55942	 3.62810	22.40629	-1353.986109	-2880435.473149	172463.255368
47	 4.24452	 2.42621	 2.33327	 2.73905	 1.38243	 0.55942	 3.60525	22.40629	-1354.075616	-2880239.888093	172088.656941
48	 4.42961	 2.49376	 2.46403	 2.84052	 1.44949	 0.56201	 3.65294	22.77745	-1354.220182	-2879802.156194	171361.792674
49	 4.59358	 2.50370	 2.57579	 2.85184	 1.50310	 0.56425	 3.63699	22.86471	-1354.133405	-2879301.497855	171034.687082
50	 4.60753	 2.61690	 2.73264	 2.86050	 1.50766	 0.56596	 3.62046	22.79549	-1354.124768	-2878872.429853	170622.894622
51	 4.60688	 2.62233	 2.73831	 2.96973	 1.55024	 0.56713	 3.61411	22.74830	-1354.157793	-2878411.232380	170095.646473
52	 4.62038	 2.66508	 2.74633	 2.97843	 1.55479	 0.56880	 3.58909	22.68184	-1354.180003	-2878066.190335	169706.183990
53	 4.63257	 2.76702	 2.85862	 2.98628	 1.55889	 0.57675	 3.57132	22.62218	-1353.888838	-2877695.427100	169917.750991
54	 4.65485	 2.86967	 3.04653	 3.10544	 1.56638	 0.57953	 3.56325	22.98407	-1353.826204	-2877174.990829	169522.583648
55	 4.65485	 2.86967	 3.04653	 3.22675	 1.56638	 0.57953	 3.53890	22.98407	-1353.879995	-2876852.994854	169093.004791
56	 4.65485	 2.86967	 3.13972	 3.36192	 1.56638	 0.57953	 3.52243	23.60551	-1353.860403	-2876451.745652	168730.938757
57	 4.65485	 3.03619	 3.31506	 3.36192	 1.56638	 0.57953	 3.50525	23.60551	-1353.778675	-2876041.784544	168484.433944
58	 4.65485	 3.03619	 3.45871	 3.52956	 1.61800	 0.57953	 3.53803	23.60551	-1353.847692	-2875659.226357	167963.842517
59	 4.66810	 3.13473	 3.46855	 3.53960	 1.75635	 0.58118	 3.52127	23.53853	-1353.653834	-2875048.232994	167740.565209
60	 4.66810	 3.13473	 3.65164	 3.66923	 1.75635	 0.58118	 3.49174	24.08499	-1353.636905	-2874647.525582	167373.715637
61	 4.68039	 3.14299	 3.66125	 3.82227	 1.76097	 0.58090	 3.50093	23.69560	-1353.688093	-2874211.475987	166835.290621
62	 4.83627	 3.24395	 3.82454	 3.82227	 1.83312	 0.58090	 3.50093	23.24733	-1353.677310	-2873691.519976	166336.899318
63	 4.89316	 3.41801	 3.90908	 3.99395	 1.83924	 0.59029	 3.51262	23.53094	-1353.772859	-2873388.356908	165842.639879
64	 5.04291	 3.55132	 4.03829	 3.99395	 1.90591	 0.59029	 3.48866	24.00299	-1353.707058	-2873198.296095	165784.180433
65	 5.26854	 3.72169	 4.03829	 4.16172	 1.90591	 0.59029	 3.48866	24.00299	-1353.768302	-2872936.283862	165399.678986
66	 5.28570	 3.73381	 4.21692	 4.41134	 1.91212	 0.59222	 3.51382	24.11071	-1353.857407	-2872576.066147	164861.251233
67	 5.29723	 3.90998	 4.47644	 4.65015	 2.04608	 0.59351	 3.52148	24.78443	-1353.842074	-2872150.324360	164466.176190
68	 5.32016	 3.92690	 4.68220	 4.87176	 2.11278	 0.59608	 3.53672	25.18959	-1354.046804	-2871834.974698	163741.366610
69	 5.48358	 3.94318	 4.70160	 5.01081	 2.12153	 0.59855	 3.55138	25.08564	-1354.208344	-2871464.681505	163047.992593
70	 5.70202	 3.95299	 4.81104	 5.02328	 2.12681	 0.60004	 3.53676	25.02336	-1354.070538	-2871129.972930	162988.897160
71	 5.72664	 4.17647	 4.83182	 5.04497	 2.21054	 0.60263	 3.50859	24.91575	-1353.984872	-2870791.145470	162821.400766
72	 5.74540	 4.19015	 4.84764	 5.06149	 2.29481	 0.60460	 3.49936	25.07459	-1354.102422	-2870643.197177	162438.353307
73	 5.75872	 4.27795	 4.85889	 5.30522	 2.30014	 0.61439	 3.54267	25.01656	-1354.203706	-2870302.783998	161895.371881
74	 5.96924	 4.27795	 5.04476	 5.44923	 2.40042	 0.61439	 3.53656	25.59898	-1354.219265	-2870140.876182	161702.345927
75	 6.17196	 4.27795	 5.04476	 5.73848	 2.40042	 0.61439	 3.53656	25.08497	-1354.384393	-2870008.694710	161239.907741
76	 6.17196	 4.27795	 5.04476	 5.73848	 2.40042	 0.61439	 3.49489	25.08497	-1354.258474	-2869982.914846	161465.967585
77	 6.17196	 4.27795	 5.04476	 5.73848	 2.40042	 0.61439	 3.48238	25.35765	-1354.327044	-2869729.262020	161075.173460
78	 6.17196	 4.27795	 5.04476	 5.88929	 2.40042	 0.61439	 3.45941	25.69803	-1354.289175	-2869459.359545	160881.010018
79	 6.44311	 4.28056	 5.04784	 5.89289	 2.40188	 0.61477	 3.42915	26.23332	-1354.188093	-2869381.415540	161005.230154
80	 6.45580	 4.28900	 5.26353	 6.19794	 2.55303	 0.61598	 3.46284	26.18172	-1354.288693	-2869200.267096	160622.881215
81	 6.82720	 4.30117	 5.27847	 6.53702	 2.58994	 0.61773	 3.47267	26.76029	-1354.460526	-2869013.852446	160092.800843
82	 7.12430	 4.30117	 5.27847	 6.53702	 2.59236	 0.61773	 3.46602	27.24879	-1354.583422	-2868882.962561	159716.118354
83	 7.32160	 4.47185	 5.28307	 6.77581	 2.59462	 0.61827	 3.46904	27.22505	-1354.543598	-2868804.010990	159716.814560
84	 7.73960	 4.47185	 5.39168	 7.11437	 2.68971	 0.61827	 3.46904	27.74130	-1354.687534	-2868778.878481	159403.810371
85	 7.94600	 4.47185	 5.53641	 7.11437	 2.76351	 0.61827	 3.45193	27.54021	-1354.692622	-2868547.257465	159162.014083
86	 7.97287	 4.65763	 5.68909	 7.13842	 2.77285	 0.62036	 3.46360	27.44740	-1354.990784	-2868380.383491	158398.814910
87	 8.20673	 4.67526	 5.84702	 7.16545	 2.78335	 0.62271	 3.47671	27.34389	-1354.934481	-2868187.822411	158318.860921
88	 8.22648	 4.68651	 6.02927	 7.52381	 2.87894	 0.62420	 3.48508	28.12662	-1354.848570	-2868006.343607	158309.204072
89	 8.43455	 4.68651	 6.28917	 7.70579	 3.01412	 0.62420	 3.45781	28.45826	-1355.038306	-2867938.984015	157862.371793
90	 8.46045	 4.70090	 6.72266	 7.72945	 3.16405	 0.62612	 3.46842	28.37116	-1355.301252	-2867806.047849	157203.543004
91	 8.77221	 4.52940	 6.99403	 8.20714	 3.17524	 0.62833	 3.48069	28.65146	-1355.301328	-2867648.936169	157046.280463
92	 9.05197	 4.62230	 7.37139	 8.54520	 3.17524	 0.63690	 3.50130	29.08412	-1355.610694	-2867612.051284	156390.663887
93	 9.06344	 4.77113	 7.76783	 8.55603	 3.32002	 0.63771	 3.50574	29.04731	-1355.604748	-2867461.914202	156252.418429
94	 9.41549	 4.77113	 7.76783	 8.58825	 3.32002	 0.64114	 3.50574	29.52335	-1355.783505	-2867421.121960	155854.111868
95	 9.94221	 4.95234	 7.78325	 8.88186	 3.49750	 0.64241	 3.51270	29.46484	-1355.734877	-2867173.983228	155704.230210
96	 9.55081	 4.75382	 7.78325	 8.88186	 3.62302	 0.64241	 3.48865	29.13119	-1355.867432	-2867210.024384	155475.160500
97	 9.56808	 4.96810	 7.79733	 8.89792	 3.83226	 0.64358	 3.52372	29.07860	-1356.053840	-2867112.740848	155005.060182
98	 9.99881	 5.09729	 8.16874	 9.36850	 3.84294	 0.64537	 3.52215	28.41977	-1356.089684	-2866896.568142	154717.199395
99	10.01473	 5.00543	 8.47707	 9.38341	 3.84906	 0.64640	 3.49297	28.85382	-1356.204427	-2866783.174448	154374.320097
100	 9.83799	 5.02204	 8.50521	 9.41456	 3.86183	 0.65363	 3.47944	29.27841	-1356.170449	-2866690.458992	154349.560732
101	10.27296	 5.03481	 8.52683	 9.94379	 3.87165	 0.66364	 3.51612	29.20416	-1356.304157	-2866708.956217	154100.641726
102	 9.82312	 5.04023	 8.53601	10.23222	 4.04309	 0.66436	 3.51990	29.52183	-1356.365324	-2866678.175929	153947.527236
103	 9.84471	 5.05131	 8.55477	10.25471	 4.05198	 0.67102	 3.52764	30.28271	-1356.410274	-2866504.109113	153683.560646
104	 9.84471	 5.05131	 8.55477	10.65877	 4.14451	 0.67102	 3.52764	30.28271	-1356.512486	-2866451.617523	153426.646480
105	 9.86185	 5.06011	 8.56967	10.67734	 4.36000	 0.67219	 3.54474	31.06938	-1356.658058	-2866379.979918	153063.864625
106	10.31999	 5.07492	 8.59475	11.23759	 4.37275	 0.68399	 3.55512	30.97873	-1356.780410	-2866337.803705	152776.983619
107	10.61950	 5.08576	 9.00976	11.26161	 4.52321	 0.68546	 3.56271	31.83446	-1356.712279	-2866330.118735	152905.560312
108	10.64330	 4.98236	 9.02995	11.28684	 4.53334	 0.68699	 3.52592	31.30571	-1356.760912	-2866279.187899	152757.363516
109	11.12891	 5.11651	 9.31140	11.79232	 4.55010	 0.70027	 3.57103	31.19046	-1357.040869	-2866161.024541	152079.286587
110	11.12891	 5.11651	 9.31140	11.79232	 4.55010	 0.70027	 3.55809	31.86790	-1356.959090	-2866060.436024	152142.256013
111	11.12891	 5.11651	 9.70601	11.79232	 4.55010	 0.70027	 3.55809	32.44259	-1357.024427	-2866020.486124	151971.632609
112	11.57575	 5.13529	 9.89315	12.21385	 4.56680	 0.70850	 3.57116	32.85437	-1357.058133	-2865949.471575	151833.205236
113	11.00393	 5.15279	 9.92687	12.25548	 4.71591	 0.71092	 3.58333	33.51763	-1357.108303	-2865924.822405	151708.215426
114	10.71715	 5.16500	 9.95039	12.85502	 4.72708	 0.71260	 3.60112	33.43842	-1357.302171	-2866001.390236	151397.048923
115	11.32038	 5.04157	 9.98029	13.52111	 4.74129	 0.71474	 3.61195	33.00855	-1357.318272	-2865768.081303	151131.537045
116	11.33010	 5.28650	10.41589	13.53272	 4.74536	 0.71536	 3.57244	33.49208	-1357.176065	-2865691.620131	151339.490891
117	10.96553	 5.04637	10.44128	13.56571	 4.75692	 0.72005	 3.58115	34.34891	-1357.248289	-2865729.885967	151233.307174
118	10.96553	 5.04637	10.44128	13.56571	 4.75692	 0.72005	 3.55091	34.70482	-1357.287433	-2865810.042952	151235.175979
119	11.01621	 5.06969	11.17655	14.32326	 4.77891	 0.72337	 3.56732	34.54517	-1357.444891	-2865748.761814	150858.979292
120	11.01621	 5.06969	11.17655	14.32326	 4.77891	 0.72337	 3.59301	35.42674	-1357.572915	-2865841.469722	150695.640081
121	11.33863	 5.08961	11.22048	14.37955	 4.79769	 0.72622	 3.58319	35.87981	-1357.522389	-2865816.625963	150771.847777
122	11.36780	 5.10271	11.80137	14.73044	 5.00735	 0.73157	 3.59240	37.02232	-1357.436508	-2865727.073183	150854.056795
123	11.36780	 5.00446	11.80137	15.16038	 5.00735	 0.73358	 3.59240	37.76696	-1357.684248	-2865704.517063	150336.020520
124	11.41193	 5.18658	11.84718	15.21923	 5.26728	 0.73643	 3.63439	38.49219	-1357.871235	-2865672.027889	149929.557750
125	11.46145	 5.20909	11.89859	15.93707	 5.29014	 0.73962	 3.65016	38.32587	-1357.889784	-2865594.358596	149814.791289
126	11.48037	 5.21769	11.91823	16.56975	 5.29887	 0.74084	 3.61929	38.26273	-1357.798535	-2865471.127299	149874.056487
127	11.52435	 5.23767	12.51665	16.63323	 5.31917	 0.74368	 3.63316	38.49220	-1357.902196	-2865517.904703	149713.512060
128	12.01583	 5.25218	12.55131	17.25917	 5.33390	 0.74574	 3.64322	39.36056	-1357.943236	-2865415.890408	149529.418252
129	12.06367	 5.20935	12.60128	17.32789	 5.56214	 0.74871	 3.65772	39.20447	-1358.078029	-2865439.075833	149283.018694
130	11.61796	 5.46196	13.15192	17.32789	 5.56214	 0.74871	 3.65772	39.20447	-1358.243003	-2865407.477585	148921.471162
131	11.96777	 5.23769	13.17187	18.03475	 5.77527	 0.75533	 3.66327	39.41859	-1358.323725	-2865447.779670	148800.329311
132	12.00724	 5.25496	13.21531	18.73294	 5.79432	 0.76819	 3.67535	39.68856	-1358.402462	-2865387.711268	148582.787187
133	12.00724	 5.25496	13.21531	18.73294	 6.04884	 0.77298	 3.67535	40.62936	-1358.374116	-2865321.836332	148573.604665
134	11.97861	 5.14150	13.18380	18.68828	 6.03442	 0.77348	 3.66659	41.38316	-1358.534775	-2865370.174914	148300.624978
135	12.40092	 5.26172	12.68059	18.73483	 6.13168	 0.77541	 3.67572	41.28035	-1358.435602	-2865356.970590	148485.766783
136	12.08116	 5.21821	12.72727	18.80378	 6.15425	 0.77826	 3.69286	42.14575	-1358.467277	-2865375.141546	148440.587392
137	12.10886	 5.23018	12.75646	19.97104	 6.16836	 0.78005	 3.66872	42.72844	-1358.567117	-2865325.048431	148190.815266
138	12.14448	 5.24556	12.79397	20.64673	 6.28207	 0.78234	 3.67951	43.18479	-1358.475991	-2865233.752334	148281.771151
139	12.55519	 5.07191	12.79397	20.64673	 6.46399	 0.78234	 3.67951	43.18479	-1358.639341	-2865205.574386	147926.891644
140	12.52635	 5.06026	12.76459	20.59931	 6.44914	 0.78055	 3.62965	44.79328	-1358.465740	-2865197.029570	148265.549953
141	12.53658	 5.06439	12.77501	21.87354	 6.68899	 0.78118	 3.65399	44.75674	-1358.628343	-2865200.294246	147943.608527
142	12.12406	 5.06755	12.78297	21.88717	 6.98710	 0.78167	 3.67866	44.72887	-1358.711311	-2865117.211246	147694.589829
143	11.56451	 4.94474	12.74851	21.82817	 7.12247	 0.78874	 3.66875	45.56487	-1358.793100	-2865038.573744	147452.373694
144	11.58693	 4.95433	12.63154	22.96809	 7.14369	 0.79026	 3.64903	45.47672	-1358.897382	-2865166.843615	147372.080082
145	11.84761	 4.88142	12.63154	22.96809	 7.36555	 0.79026	 3.64903	45.47672	-1358.858832	-2865067.958068	147350.293517
146	11.82421	 4.61489	12.60659	23.86158	 7.35100	 0.78870	 3.61514	46.34799	-1358.918011	-2865089.940981	147253.918948
147	11.85992	 4.62883	12.64467	23.93365	 7.37321	 0.80110	 3.62606	46.78990	-1359.071907	-2865065.011089	146921.196285
148	11.85992	 4.62883	12.64467	23.93365	 7.37321	 0.80110	 3.62606	46.12014	-1358.947193	-2865075.925206	147181.539774
149	11.85992	 4.79841	12.96602	23.93365	 7.37321	 0.80110	 3.62606	45.60439	-1358.990752	-2865035.549047	147054.044576
150	11.90056	 4.81485	13.20371	24.01566	 7.56506	 0.80385	 3.61451	45.44866	-1359.081771	-2865008.949348	146845.407024
151	11.42115	 4.80383	12.83871	23.73225	 7.54774	 0.80201	 3.60624	46.29014	-1359.072741	-2865008.471489	146862.988604
152	11.39686	 4.89684	12.81140	23.06843	 7.53168	 0.80517	 3.59856	47.55148	-1359.126656	-2865096.011462	146842.699857
153	11.70836	 4.88706	12.78581	23.02235	 7.67394	 0.81094	 3.56238	48.43207	-1358.972038	-2865113.465324	147169.388552
154	11.73621	 4.89868	12.81622	23.07711	 7.69219	 0.81287	 3.54894	48.88426	-1358.850391	-2865028.820197	147328.038723
155	12.04834	 4.89868	12.81622	23.85433	 7.69219	 0.81287	 3.54894	50.05714	-1358.942379	-2865002.731764	147117.974607
156	12.19471	 4.75443	12.81622	24.20236	 7.95193	 0.81287	 3.54894	51.62354	-1358.966755	-2865038.874562	147105.364574
157	12.14201	 4.73388	12.76084	24.09777	 7.91757	 0.80936	 3.51272	52.52186	-1358.943581	-2864982.917559	147095.755210
158	12.14201	 4.50784	12.76084	25.11341	 7.91757	 0.80936	 3.51272	52.52186	-1358.877404	-2865006.727388	147251.920208
159	11.50108	 4.49291	11.95814	25.03027	 8.14538	 0.80668	 3.50109	53.55963	-1358.941010	-2865014.215641	147132.195131
160	11.67211	 4.70917	12.48129	25.03027	 8.14538	 0.80668	 3.50109	53.55963	-1358.965364	-2864959.266864	147028.539459
161	11.70592	 4.72282	12.23196	25.10279	 8.16898	 0.80372	 3.47963	54.59294	-1358.877688	-2864840.478505	147085.102479
162	11.67269	 4.70941	12.19724	25.03152	 8.14579	 0.80143	 3.45390	54.74837	-1358.971195	-2864906.780465	146964.390248
163	11.78455	 4.69587	12.16218	25.51490	 8.12237	 0.79913	 3.44397	55.39882	-1358.825153	-2864765.346222	147115.040019
164	11.83238	 4.71493	12.21155	26.89821	 8.15534	 0.80727	 3.45795	55.17486	-1358.977721	-2864861.251452	146905.810160
165	11.57435	 4.69888	12.16996	25.65800	 8.12757	 0.80452	 3.44618	55.36340	-1358.921692	-2864842.521595	146999.137458
166	11.19705	 4.68759	12.14073	25.11012	 8.10804	 0.80259	 3.43790	55.49671	-1358.746403	-2864781.052810	147288.245938
167	11.56775	 4.54896	12.10382	25.03379	 8.08340	 0.80015	 3.42745	56.59540	-1358.772644	-2864783.005664	147237.718231
168	11.57119	 4.80987	12.10382	26.07731	 8.42785	 0.80015	 3.42745	56.01775	-1358.893695	-2864772.245302	146984.855619
169	11.54280	 4.79807	12.07412	26.01333	 8.40717	 0.79818	 3.39585	57.37553	-1358.857898	-2864885.358499	147169.561853
170	11.10472	 4.56306	11.93283	25.98355	 8.39755	 0.79727	 3.39197	57.44128	-1358.805338	-2864891.273401	147280.597951
171	11.44874	 4.57088	11.95328	26.78836	 8.41194	 0.79085	 3.39778	58.86305	-1358.939123	-2864840.306787	146962.061428
172	10.91394	 4.39103	11.91285	26.69775	 8.62279	 0.78817	 3.34547	60.55801	-1358.708719	-2864842.850453	147425.413028
173	11.18390	 4.55689	11.93375	26.74458	 8.63792	 0.78956	 3.33553	61.60913	-1358.750862	-2864772.417739	147270.694529
174	11.16624	 4.78796	11.91489	26.70233	 8.62427	 0.78831	 3.33026	61.70661	-1358.807345	-2864802.743202	147188.053024
175	11.63039	 4.78796	11.91489	26.70233	 8.62427	 0.79555	 3.33026	62.84992	-1358.989571	-2864763.460627	146784.319433
176	11.65048	 4.79623	11.93548	26.74847	 8.63917	 0.80071	 3.33602	62.74151	-1358.862970	-2864666.806335	146940.867284
177	11.18225	 4.89843	11.97190	26.83009	 8.78787	 0.80315	 3.34620	62.55065	-1358.930149	-2864659.902286	146799.604921
178	11.46284	 4.77131	11.62557	27.80679	 8.76332	 0.80091	 3.33685	64.20792	-1359.007708	-2864804.775448	146789.359194
179	11.50187	 4.86547	11.90423	27.90147	 8.94687	 0.80364	 3.32510	65.10080	-1359.035582	-2864799.927733	146728.762957
180	11.50187	 5.08756	11.90423	27.90147	 8.94687	 0.80364	 3.32510	65.10080	-1359.232642	-2864843.024640	146377.739764
181	11.50187	 5.17866	11.90423	26.40046	 9.08176	 0.80364	 3.32510	65.10080	-1359.220017	-2864795.576334	146355.542023
182	11.50187	 4.98125	11.90423	26.40046	 9.08176	 0.80364	 3.32510	66.45506	-1359.082912	-2864695.791227	146529.967109
183	11.13596	 4.76945	11.56230	25.96230	 9.08176	 0.80364	 3.29974	66.45506	-1358.952991	-2864716.348422	146810.367263
184	11.16775	 4.78307	11.59531	25.10229	 9.10769	 0.80593	 3.27650	66.26586	-1358.793334	-2864601.071295	147014.403791
185	11.11811	 4.97212	11.54377	24.99070	 9.06720	 0.80235	 3.26193	66.56176	-1358.892199	-2864617.197656	146832.800149
186	11.55996	 4.97891	11.03635	25.02484	 9.07959	 0.80345	 3.21628	66.47098	-1358.877963	-2864731.623224	146975.696806
187	11.55996	 4.97891	11.03635	25.02484	 9.07959	 0.80345	 3.19619	67.65452	-1358.841526	-2864650.157599	146967.105778
188	11.20808	 4.96266	11.00032	24.94314	 9.28859	 0.80082	 3.14528	66.96020	-1358.876020	-2864727.901725	146975.860841
189	10.74039	 4.94757	10.96689	26.20713	 9.26037	 0.79839	 3.13572	68.88165	-1358.892935	-2864709.684720	146923.814872
190	10.71601	 4.69907	10.94199	27.06637	 9.23934	 0.79658	 3.09171	69.03840	-1358.727546	-2864570.017070	147114.925396
191	10.91699	 4.85813	10.94199	27.06637	 9.23934	 0.79658	 3.09171	69.03840	-1358.816802	-2864561.785541	146928.182460
192	11.28823	 4.99238	11.20419	27.58879	 9.20389	 0.80240	 3.07985	69.30433	-1358.949452	-2864617.448820	146718.545622
193	10.95742	 4.97753	11.17087	27.50674	 9.17651	 0.80538	 3.07069	71.14507	-1359.043526	-2864670.919269	146583.868254
194	11.14677	 4.98602	11.18992	27.55365	 9.19217	 0.80675	 3.07593	72.50901	-1358.848278	-2864501.160414	146804.604354
195	11.47613	 4.96846	11.15051	28.31551	 9.15979	 0.80391	 3.06509	72.76532	-1358.840233	-2864540.647494	146860.180874
196	11.43341	 4.94996	11.10900	28.21011	 9.12569	 0.80092	 3.01867	73.03718	-1358.761518	-2864606.646367	147083.609400
197	11.43337	 4.83323	11.10896	28.21001	 9.12566	 0.80091	 3.03512	74.21782	-1358.696188	-2864699.394426	147307.018135
198	11.67380	 4.81693	11.07150	28.11488	 9.09488	 0.79821	 3.04650	75.69494	-1358.591100	-2864595.405901	147413.205151
199	11.43215	 4.81578	10.97824	28.10815	 9.09271	 0.79802	 3.04577	77.20117	-1358.778232	-2864742.797753	147186.333358
200	11.39663	 4.80082	10.94413	29.14513	 9.06446	 0.79554	 3.00749	77.44177	-1358.386555	-2864529.557294	147756.446419
201	11.07574	 4.80659	10.95729	29.18017	 9.07535	 0.79650	 2.97960	77.31816	-1358.498762	-2864617.459375	147619.935495
