iteration	C_AB cs	C_AB nc	C_AB_A cs	C_AB_A nc	C_AB_B cs	C_AB_B nc	C_ABC cs	C_ABC nc	C_ABC_A cs	C_ABC_A nc	C_ABC_B cs	C_ABC_B nc	C_ABC_C cs	C_ABC_C nc	C_root cs	C_root nc	C_root_A cs	C_root_A nc	C_root_B cs	C_root_B nc	C_root_C cs	C_root_C nc	C_root_D cs	C_root_D nc	C_root_D->B ms	C_root_D->B nm	P_A cs	P_A nc	P_B cs	P_B nc	P_C cs	P_C nc	P_D cs	P_D nc	P_AB cs	P_AB nc	P_ABC cs	P_ABC nc	P_root cs	P_root nc	
75	0.07128091857663911012910062936498434	266	0.00742146841628110211230850978836315	56	0.00746965219826902816768754433951472	45	0.90433569842628369617187900075805373	3145	0.00742146841628110211230850978836315	56	0.00746965219826902816768754433951472	45	0.00742011568372792727071862728394080	57	3.75093613543839099477850140829104930	6821	0.00742146841628110211230850978836315	56	0.00746965219826902816768754433951472	45	0.00742011568372792727071862728394080	57	0.00759196550402903378579333448783473	21	0.00756449131492040269947318975596318	2	0.00742146841628025816933744707171172	56	0.00746965219826817121429041179681008	45	0.01941684696208927432548030367343017	154	0.12538977728845779324728937353938818	275	0.07128091857661621177921773551133811	266	0.72540153888357283840093714388785884	2782	1.71545670742590616875133946450660005	3422	
80	0.07698625196090216893374247320025461	225	0.00779445218851702696649663693051480	57	0.00781256097112494225787049373366244	46	0.90402570848089502941746786746080033	3169	0.00779445218851702696649663693051480	57	0.00781256097112494225787049373366244	46	0.00782393112917260415140052742799526	43	3.78994445946168934113984505529515445	6837	0.00779445218851702696649663693051480	57	0.00781256097112494225787049373366244	46	0.00782393112917260415140052742799526	43	0.00794943700322818698478233301329965	17	0.00791078717018399955873686479890239	0	0.00779445218851644496677044671173462	57	0.00781256097112435592133561357286453	46	0.02081928373784509497812500455893314	143	0.12436821504212387801135974996213918	272	0.07698625196088816624584438841338851	225	0.71063133576698311877350988652324304	2844	1.76426389957098161964665905543370172	3413	
85	0.08467308221527741762812979686714243	274	0.00663018131244507129967713510154681	40	0.00657744535196549007932675934284816	46	0.92948679838563796895556379240588285	3181	0.00663018131244507129967713510154681	40	0.00657744535196549007932675934284816	46	0.00660127566369565332154989434343406	45	3.89029741004715523544632560515310615	6849	0.00663018131244507129967713510154681	40	0.00657744535196549007932675934284816	46	0.00660127566369565332154989434343406	45	0.00671047546059959972714059617260318	20	0.00667210550120538124080349362543529	1	0.00663018131244460726114731130564905	40	0.00657744535196504338803169531502135	46	0.02093299187976685460377268555021146	151	0.12475578064949087442325748043003841	268	0.08467308221526353984032198241038714	274	0.71650564815104655913557962776394561	2801	1.81553873355170991565898930275579914	3420	
90	0.08155548214583330235427638399414718	272	0.00727743117220623885604835479057328	49	0.00733264146013912557209302178762300	32	0.89653732727306656435928289283765480	3267	0.00727743117220623885604835479057328	49	0.00733264146013912557209302178762300	32	0.00730419666017661974727337437229835	45	3.77242154503805471321697950770612806	6859	0.00727743117220623885604835479057328	49	0.00733264146013912557209302178762300	32	0.00730419666017661974727337437229835	45	0.00739585735808248514316920463329552	15	0.00738976081510100361177117989086582	0	0.00727743117220554670138144004454261	49	0.00733264146013844122368174893722426	32	0.02105611002944862697461303469026461	153	0.12639405915139473313146822874841746	254	0.08155548214581551103030676586058689	272	0.69169306957053600104501356327091344	2887	1.74814161840197779262950916745467111	3353	
95	0.06743606521629459671363093775653397	253	0.00830588278086625934892861522484964	59	0.00831375048790040753476926482790077	48	0.88198103749164968867546576802851632	3235	0.00830588278086625934892861522484964	59	0.00831375048790040753476926482790077	48	0.00829925668819500063355665275821593	58	3.75358778580984253636643188656307757	6816	0.00830588278086625934892861522484964	59	0.00831375048790040753476926482790077	48	0.00829925668819500063355665275821593	58	0.00846735591509995000336630255333148	19	0.00841971060089455325403662300232099	1	0.00830588278086574760550320206675678	59	0.00831375048789986283159780811047312	48	0.01979544647071256047166087910227361	129	0.12627076006044582467957582139206352	259	0.06743606521627938665819357311193016	253	0.71202582433848826681810351146850735	2911	1.75621169358132789284354657866060734	3341	
100	0.06015990278271285407463153660501121	228	0.00944914983423934297379620517176591	59	0.00939908366742742140687028040701989	66	0.83348650678536684299757553162635304	3183	0.00944914983423934297379620517176591	59	0.00939908366742742140687028040701989	66	0.00937031388754797772699944857777155	70	3.75511676590189580338119412772357464	6786	0.00944914983423934297379620517176591	59	0.00939908366742742140687028040701989	66	0.00937031388754797772699944857777155	70	0.00962413200964951087712506705429405	19	0.00955779123208161038305341605791909	1	0.00944914983423951297669685089886116	59	0.00939908366742760355283525797176480	66	0.01953148597603315134163537436506886	151	0.12347396253997056092543971317354590	237	0.06015990278271236141316435919179639	228	0.68223393412602995056204235879704356	2874	1.85434755450074706395469092967687175	3385	
105	0.05337130153676494792591711302520707	218	0.00970125828089425483458096977074092	59	0.00965703089184387873655790457405601	58	0.82853370852793239986766593574429862	3192	0.00970125828089425483458096977074092	59	0.00965703089184387873655790457405601	58	0.00969438495526684859693311580031150	56	3.71236493380841814371251530246809125	6805	0.00970125828089425483458096977074092	59	0.00965703089184387873655790457405601	58	0.00969438495526684859693311580031150	56	0.00993412890850748839244310772755853	22	0.00982876659061504391601271635181547	3	0.00970125828089449249169717859331286	59	0.00965703089184407822975764190687187	58	0.01877255210190070106035520325349353	128	0.12514484281189522385524526271183277	231	0.05337130153676285237995813304223702	218	0.69398687366989131319883199466858059	2902	1.81489739845402486828618293657200411	3404	
110	0.04654126929543210555717536180964089	182	0.01103433398387971067777790779018687	65	0.01096926002378075665211198952420091	72	0.81378827614280535573954011852038093	3174	0.01103433398387971067777790779018687	65	0.01096926002378075665211198952420091	72	0.01093404170186986282264918202145054	75	3.66600938393295727735221589682623744	6765	0.01103433398387971067777790779018687	65	0.01096926002378075665211198952420091	72	0.01093404170186986282264918202145054	75	0.01123916474830351577840481525072391	23	0.01116052254952538957954999432331533	1	0.01103433398388063008122017549794691	65	0.01096926002378165523887254551027581	72	0.01886828870301494875949543938986608	113	0.12586747591922184397184025783644756	222	0.04654126929542964918873337865079520	182	0.69649862830398956425881351606221870	2954	1.79057381837414064662539203709457070	3392	
115	0.04987766441852450188809697806391341	218	0.01100184872715046988100873193161533	64	0.01097833598040884317548204762715613	74	0.78164527239044401252243687849841081	3156	0.01100184872715046988100873193161533	64	0.01097833598040884317548204762715613	74	0.01096284618023459812852227202029098	74	3.57662181493923858610628485621418804	6763	0.01100184872715046988100873193161533	64	0.01097833598040884317548204762715613	74	0.01096284618023459812852227202029098	74	0.01125789014640832079450216696159259	25	0.01118154603047697391582371295726261	2	0.01100184872715215776695085736491819	64	0.01097833598041054493921198087491575	74	0.01946743442187934269860249969497090	126	0.12257236254613548820380231063609244	219	0.04987766441852112958565967915092187	218	0.65589422442572797855575572611996904	2886	1.77115455033967972298114545992575586	3413	
120	0.04752394509898053009955276593245799	196	0.01090233154442028611075254929119183	85	0.01086553631056630560280940045458919	85	0.82034026496222656188450628178543411	3060	0.01090233154442028611075254929119183	85	0.01086553631056630560280940045458919	85	0.01090896447174751447695140171845196	77	3.73837041974459394211294238630216569	6738	0.01090233154442028611075254929119183	85	0.01086553631056630560280940045458919	85	0.01090896447174751447695140171845196	77	0.01128283898365803339380875058850506	15	0.01111765203052149549034499642630180	2	0.01090233154442177103404798543806464	85	0.01086553631056778532193440867104073	85	0.01903577600976274000754706605675892	142	0.12931154057614102637074893209501170	174	0.04752394509897994029357093381804589	196	0.70026850302861476382787486727465875	2799	1.83858867531312153431599654140882194	3519	
125	0.03837825748795297559068373516311112	167	0.01135840990471059450128699097604112	101	0.01145113779153904796925811382379834	80	0.83050519128746658203965580469230190	2998	0.01135840990471059450128699097604112	101	0.01145113779153904796925811382379834	80	0.01149020346857462446243935971779138	76	3.74902611141038555331306270090863109	6719	0.01135840990471059450128699097604112	101	0.01145113779153904796925811382379834	80	0.01149020346857462446243935971779138	76	0.01185742319670984000479219133694642	24	0.01170584658562768241851781425566514	5	0.01135840990471240728731938673945479	101	0.01145113779154080524413927832938498	80	0.01813024176161388487105163846990763	115	0.12997629315277134387507373958214885	169	0.03837825748795446051397917130998394	167	0.73324357820894536796885176954674534	2792	1.83351738375485018295307781954761595	3576	
130	0.03165372029057903630056003407844400	158	0.01249557467152353357198180106024665	114	0.01275884698549287210589398000593064	73	0.81602238481439348660728683171328157	3026	0.01249557467152353357198180106024665	114	0.01275884698549287210589398000593064	73	0.01278127884800843265533654147247944	84	3.74632165387992843719189295370597392	6714	0.01249557467152353357198180106024665	114	0.01275884698549287210589398000593064	73	0.01278127884800843265533654147247944	84	0.01332355841386682025750953783926889	15	0.01304138108489079350693629066881840	6	0.01249557467152462644777166644871613	114	0.01275884698549392681776737390464405	73	0.01824316498187143406606303130956803	116	0.12997595234946232589656744949024869	179	0.03165372029057931385631619036757911	158	0.73585635837416663029841856769053265	2836	1.85753303500163813311019112006761134	3524	
135	0.03204351620941257861030493359066895	149	0.01231736573221510824827085173183150	118	0.01264828711642409370119466416326759	69	0.79262685491221296363306692001060583	3096	0.01231736573221510824827085173183150	118	0.01264828711642409370119466416326759	69	0.01254092782086473588376573928826474	87	3.63361333999102598113495332654565573	6713	0.01231736573221510824827085173183150	118	0.01264828711642409370119466416326759	69	0.01254092782086473588376573928826474	87	0.01310631174661572133366416181843306	13	0.01289402301571591566431429498607031	2	0.01231736573221550029577642249023484	118	0.01264828711642437125695082045240270	69	0.01802732211723444277762240517404280	122	0.13500839476175185982498305747867562	124	0.03204351620941024714195322076193406	149	0.71165394562419492796578879278968088	2912	1.75913543778763648006702169368509203	3506	
140	0.03379935742877427512498300643528637	144	0.01335183466950522201965867452599923	126	0.01367043251744211838916154277967507	80	0.79948304347349286036461535331909545	2929	0.01335183466950522201965867452599923	126	0.01367043251744211838916154277967507	80	0.01363817813502176366780016536495168	88	3.65309657158085876460518193198367953	6688	0.01335183466950522201965867452599923	126	0.01367043251744211838916154277967507	80	0.01363817813502176366780016536495168	88	0.01423486013649100621891729900880819	18	0.01398655598628086894896771497087684	5	0.01335183466950572682419018377686371	126	0.01367043251744254166168968112060611	80	0.01950309855486103902122430042709311	124	0.12958226131849162610087944358383538	148	0.03379935742877022281094312461391382	144	0.71372256855107474304844572543515824	2749	1.79971380622024756945620538317598403	3629	
145	0.02640939460481356651500028931423003	132	0.01252682109348709528495735554542989	103	0.01278322488007863251546769589594987	67	0.79413024153266176252685681902221404	2959	0.01252682109348709528495735554542989	103	0.01278322488007863251546769589594987	67	0.01275730817263190895738400598702356	76	3.62109039895877060644124867394566536	6741	0.01252682109348709528495735554542989	103	0.01278322488007863251546769589594987	67	0.01275730817263190895738400598702356	76	0.01317998998994251470817662408308024	13	0.01301390584263246996687968248807010	1	0.01252682109348665813464140939004210	103	0.01278322488007804270948586378153777	67	0.01729950168443416397279221996541310	104	0.12331553591078210641018841897675884	169	0.02640939460480955583432383093622775	132	0.72736876213939660740237513891770504	2799	1.80244682596791627737786711804801598	3626	
150	0.02659935524157256217514522234068863	104	0.01250737043892759942087522517795151	113	0.01281319852585249136067702124819334	59	0.79068789721789056734735368081601337	2944	0.01250737043892759942087522517795151	113	0.01281319852585249136067702124819334	59	0.01274785447263662545303031237153846	80	3.65344230652930823666224569024052471	6733	0.01250737043892759942087522517795151	113	0.01281319852585249136067702124819334	59	0.01274785447263662545303031237153846	80	0.01322669873447726747450747808443339	15	0.01302700141681367891621778909438945	4	0.01250737043892762197228041287644373	113	0.01281319852585252258569958883072104	59	0.01727684413958963105528710002545267	106	0.12410376739853798411239438337361207	173	0.02659935524157332198402770018219599	104	0.72361631099532242039629181817872450	2814	1.83811752366429903560174352605827153	3631	
155	0.03183506719349667862806185780755186	108	0.01097228824049770179449581064545782	95	0.01121436480200170039689400169891087	69	0.79760962144548130936527741141617298	3047	0.01097228824049770179449581064545782	95	0.01121436480200170039689400169891087	69	0.01121311715796060107241949310719065	61	3.70362063380743444795939467439893633	6762	0.01097228824049770179449581064545782	95	0.01121436480200170039689400169891087	69	0.01121311715796060107241949310719065	61	0.01153591342049728636631744649321263	13	0.01139875262073310885346799636863580	2	0.01097228824049652738670257434705491	95	0.01121436480200052078493033747008667	69	0.01668899818340026028340439268049522	99	0.12510672910016520931186789766798029	156	0.03183506719349760843984498137615446	108	0.71708949008341382747033776468015276	2901	1.86044789242338692858425019949208945	3572	
160	0.03414763776599814143475342120837013	130	0.00987648171805675760548393071758255	74	0.00986765650830584255259747550326210	67	0.87489788130003853794391943665686995	3070	0.00987648171805675760548393071758255	74	0.00986765650830584255259747550326210	67	0.01003107945901331003735190705583591	55	3.87962371815265116836712877557147294	6794	0.00987648171805675760548393071758255	74	0.00986765650830584255259747550326210	67	0.01003107945901331003735190705583591	55	0.01024494286238529332233593294176899	10	0.01007429376934831574685880184460984	1	0.00987648171805596657157888529354750	74	0.00986765650830502896728724238073482	67	0.01588515822070317093372970873588201	99	0.13524575041020597820917714670940768	150	0.03414763776599530342714672315196367	130	0.78865560475169238507930913328891620	2896	1.85757177526722028204630987602286041	3584	
165	0.03341520894138291092323456155099848	118	0.00970230473651950177382818907290130	93	0.00976953554496226561631999629753409	71	0.86823589022459313202517705576610751	2995	0.00970230473651950177382818907290130	93	0.00976953554496226561631999629753409	71	0.00984258194691494010808430203951502	63	3.84200766996609743841872841585427523	6754	0.00970230473651950177382818907290130	93	0.00976953554496226561631999629753409	71	0.00984258194691494010808430203951502	63	0.01006625960540134118170740862296952	19	0.00997131475500597982963846277471021	1	0.00970230473651866563711276825188179	93	0.00976953554496141907126371961567202	71	0.01558602072182796623167622129813026	105	0.12919680358789664698093702099868096	181	0.03341520894138023944908155726807308	118	0.78373743842680565485636634548427537	2835	1.86204311375450659582497792143840343	3597	
170	0.04257617887850038279617947978294978	149	0.00894200754718917252550358654161755	97	0.00914935020673295767990040872064128	55	0.85717491061954809161704815778648481	3020	0.00894200754718917252550358654161755	97	0.00914935020673295767990040872064128	55	0.00915747943811969465632838449664632	63	3.90371646771561753297419272712431848	6768	0.00894200754718917252550358654161755	97	0.00914935020673295767990040872064128	55	0.00915747943811969465632838449664632	63	0.00936441447756248927791755676253160	17	0.00928145771738007711870732663328454	2	0.00894200754718875792659282808472199	97	0.00914935020673254481571312624055281	55	0.01648052392876343807959216292147175	116	0.12742687228142740574199365255481098	182	0.04257617887849442228631602347377338	149	0.74952694403441633141937927575781941	2818	1.94571444332783616282256389240501449	3583	
175	0.04628363130974231381964401066397841	176	0.01029636170611463764912318907818189	97	0.01044662223477272298965967678441302	53	0.83855298228002417282311853341525421	3027	0.01029636170611463764912318907818189	97	0.01044662223477272298965967678441302	53	0.01045179848165856718866795205258313	71	3.80044816618169933875037713733036071	6768	0.01029636170611463764912318907818189	97	0.01044662223477272298965967678441302	53	0.01045179848165856718866795205258313	71	0.01078994395789450652656249474148353	11	0.01061877963311776661148311262650168	4	0.01029636170611430978638622946164105	97	0.01044662223477240726998704900552184	53	0.01836499796745145671184040736534371	126	0.12975019026526382615038812673446955	151	0.04628363130973722067151854275834921	176	0.72170568915041521940167967841261998	2796	1.86808800438934974330607019510352984	3601	
180	0.04646196257478861502132616578819579	152	0.01023684723394632095638812074867019	92	0.01041135022760343760428458637079530	55	0.83936766178119670556156961538363248	3072	0.01023684723394632095638812074867019	92	0.01041135022760343760428458637079530	55	0.01038213225936922973202669595593761	68	3.82258767167970070488536293851211667	6776	0.01023684723394632095638812074867019	92	0.01041135022760343760428458637079530	55	0.01038213225936922973202669595593761	68	0.01075357640106316958750198864436243	9	0.01057419147685686837412344374342865	4	0.01023684723394610411595362364778339	92	0.01041135022760328841806565236538518	55	0.01831077233241465776480971783257701	121	0.12965328360108460681310305062652333	137	0.04646196257478428515153012767768814	152	0.72213774415378673143806054213200696	2867	1.89105257048407815467783166241133586	3576	
185	0.04031600735395578921638204406008299	155	0.01034104358161695019768799852499797	96	0.01063307946884226376504933853084367	45	0.85690214845750101169130630296422169	3017	0.01034104358161695019768799852499797	96	0.01063307946884226376504933853084367	45	0.01049505410801601819337225407480219	70	3.96218375486795659767835786624345928	6775	0.01034104358161695019768799852499797	96	0.01063307946884226376504933853084367	45	0.01049505410801601819337225407480219	70	0.01084962601267702546337101665585578	14	0.01076339970116371377861774760731350	4	0.01034104358161655468073547581298044	96	0.01063307946884194631065323477514539	45	0.01735584582941609652073644554093335	110	0.13193052089018197925440745166270062	129	0.04031600735394982176762468384367821	155	0.75527800653951870923918932021479122	2822	1.99248328073096758750182289077201858	3643	
