,hypothesis,root,reference,E_ratio
0,543.289153318,295.5482460784872,295.5482460784872,-247.7409072395128
1,-1098.178715839,-1419.8825772704224,-1419.8825772704224,-321.7038614314224
2,-2282.766248863,-2690.1007517766348,-2690.1007517766348,-407.3345029136349
3,-2233.925229028,-2697.7443976112895,-2697.7443976112895,-463.8191685832894
4,-2461.32997673,-2976.710329510824,-2976.710329510824,-515.3803527808241
5,-3723.7306643829997,-4296.041444681685,-4296.041444681685,-572.3107802986851
6,-5236.185695460999,-5862.729807587328,-5862.729807587328,-626.5441121263284
7,-5698.52971953,-6338.755587309198,-6338.755587309198,-640.2258677791979
8,-5811.508138376999,-6447.472814111196,-6447.472814111196,-635.964675734197
9,-6219.545237292,-6927.397712076705,-6927.397712076705,-707.852474784705
10,-7246.10765363,-7971.749331301629,-7971.749331301629,-725.6416776716296
11,-6539.667404827,-7267.294437719098,-7267.294437719098,-727.6270328920982
12,-6638.135961773,-7368.128980000296,-7368.128980000296,-729.9930182272956
13,-7116.132738931,-7892.329614513039,-7892.329614513039,-776.196875582039
14,-6451.60077221,-7147.914211556189,-7147.914211556189,-696.3134393461887
15,-6924.046158985,-7665.695412814575,-7665.695412814575,-741.6492538295752
16,-7124.582192405,-7910.394107888473,-7910.394107888473,-785.8119154834731
17,-7906.695621129,-8712.112002557498,-8712.112002557498,-805.4163814284984
18,-7783.822472391999,-8630.645232032246,-8630.645232032246,-846.8227596402467
19,-7950.393670665,-8867.914927618685,-8867.914927618685,-917.5212569536852
20,-9164.490200991,-10095.858869076214,-10095.858869076214,-931.3686680852134
21,-8281.535755216999,-9160.594433706925,-9160.594433706925,-879.058678489926
22,-8119.7932113,-9019.640181948833,-9019.640181948833,-899.8469706488331
23,-7621.019859100999,-8499.356412655918,-8499.356412655918,-878.3365535549183
24,-7747.710829201,-8621.662136197223,-8621.662136197223,-873.9513069962231
25,-7549.339927676,-8458.21922262769,-8458.21922262769,-908.8792949516892
26,-8093.01777411,-9017.104266226477,-9017.104266226477,-924.0864921164775
27,-7964.918082163001,-8843.757919015321,-8843.757919015321,-878.8398368523203
28,-8072.325570461,-8976.039167523471,-8976.039167523471,-903.7135970624713
29,-8413.354303344,-9336.917539208205,-9336.917539208205,-923.5632358642051
30,-8198.817217987,-9051.888001554838,-9051.888001554838,-853.0707835678386
31,-8086.094597726999,-8919.343685282323,-8919.343685282323,-833.249087555324
32,-8266.959080954,-9099.653762026825,-9099.653762026825,-832.6946810728241
33,-8290.092094151,-9120.739523334763,-9120.739523334763,-830.647429183764
34,-8326.922794422,-9182.393379492754,-9182.393379492754,-855.4705850707542
35,-8590.425455518,-9429.18686401344,-9429.18686401344,-838.7614084954403
36,-8812.887410226,-9667.585872366104,-9667.585872366104,-854.6984621401043
37,-8915.875700055,-9787.814170627364,-9787.814170627364,-871.9384705723642
38,-8342.359654505,-9153.03680573567,-9153.03680573567,-810.6771512306696
39,-8548.626292616,-9388.251281243123,-9388.251281243123,-839.6249886271235
40,-9460.628605516,-10320.080086198273,-10320.080086198273,-859.4514806822735
41,-9448.353135058,-10303.399712218386,-10303.399712218386,-855.0465771603867
42,-8894.524438573,-9721.50051506222,-9721.50051506222,-826.9760764892198
43,-9147.102163271,-9985.371783343513,-9985.371783343513,-838.2696200725131
44,-9124.557509126,-9986.303919600488,-9986.303919600488,-861.7464104744886
45,-9299.97126347,-10142.92970221971,-10142.92970221971,-842.9584387497089
46,-9286.511223931,-10100.214995295106,-10100.214995295106,-813.7037713641057
47,-9393.237500789,-10208.464776262168,-10208.464776262168,-815.2272754731675
48,-8969.359154973,-9723.07361720048,-9723.07361720048,-753.7144622274791
49,-9138.596120172,-9910.392185037086,-9910.392185037086,-771.796064865086
50,-8872.352853651,-9610.507864625051,-9610.507864625051,-738.155010974051
51,-8554.309593818001,-9231.385671698532,-9231.385671698532,-677.0760778805306
52,-8216.542189579,-8858.112750438095,-8858.112750438095,-641.5705608590943
53,-8515.679115272,-9115.887634071334,-9115.887634071334,-600.2085187993343
54,-8712.327916441,-9320.826164891192,-9320.826164891192,-608.4982484501925
55,-8712.857460236,-9289.38112784621,-9289.38112784621,-576.5236676102104
56,-8888.485855451,-9466.245925593883,-9466.245925593883,-577.7600701428837
57,-9145.208264951,-9738.511660386617,-9738.511660386617,-593.3033954356179
58,-9379.10997648,-9994.392754795084,-9994.392754795084,-615.2827783150842
59,-9229.522610762,-9851.74604452816,-9851.74604452816,-622.2234337661594
60,-9214.01024688,-9810.858588065334,-9810.858588065334,-596.848341185334
61,-8898.731640426,-9467.847128084193,-9467.847128084193,-569.1154876581932
