Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 1.00621	 0.96538	 1.07560	 0.53630	-1252.629265	-152348.166874	-27085.240388
1	 1.00899	 1.00008	 1.11540	 0.57432	-1214.595477	-148501.910608	-27042.362870
2	 1.04282	 1.04030	 1.11540	 0.57432	-1195.396545	-146710.064383	-27170.409842
3	 1.04645	 1.09066	 1.17174	 0.57632	-1187.424572	-145799.937643	-27057.480398
4	 1.04758	 1.12876	 1.22417	 0.59803	-1180.267807	-144973.647186	-26946.866502
5	 1.09738	 1.20765	 1.22599	 0.61331	-1176.434192	-144586.731317	-26943.312148
6	 1.14788	 1.24510	 1.26030	 0.61331	-1174.254124	-144263.312211	-26837.899839
7	 1.15060	 1.24805	 1.26329	 0.64465	-1173.623659	-143997.180038	-26634.814141
8	 1.15060	 1.24805	 1.31609	 0.63974	-1170.589426	-143774.010323	-26715.067694
9	 1.19930	 1.24565	 1.31356	 0.66061	-1169.212160	-143548.183764	-26626.967757
10	 1.19930	 1.28744	 1.37353	 0.66061	-1168.480697	-143452.843537	-26604.773832
11	 1.20189	 1.29022	 1.37650	 0.66204	-1167.847378	-143368.939122	-26584.201321
12	 1.20449	 1.29301	 1.37948	 0.66347	-1167.383144	-143245.638886	-26507.324440
13	 1.23226	 1.33835	 1.40846	 0.66347	-1167.386512	-143216.247858	-26477.596702
14	 1.27928	 1.35854	 1.40846	 0.68383	-1166.756034	-143128.184159	-26452.580748
15	 1.27851	 1.41330	 1.48074	 0.71007	-1166.977974	-143065.934051	-26368.136651
16	 1.27851	 1.44565	 1.48074	 0.71007	-1167.007073	-143038.046359	-26337.339015
17	 1.32356	 1.48871	 1.48483	 0.71203	-1167.600486	-143012.623197	-26252.574582
18	 1.32840	 1.49416	 1.58044	 0.71464	-1168.695677	-143021.545602	-26151.977939
19	 1.40179	 1.55234	 1.66593	 0.71464	-1167.960252	-142973.724280	-26177.699109
20	 1.44986	 1.50038	 1.67151	 0.71703	-1168.195695	-142928.209704	-26108.640196
21	 1.50380	 1.56110	 1.67151	 0.74139	-1169.141284	-142892.842109	-25978.713725
22	 1.59606	 1.65307	 1.74922	 0.74009	-1168.961652	-142895.435716	-25999.270518
23	 1.60227	 1.65950	 1.75603	 0.75430	-1171.800133	-142907.583365	-25727.570033
24	 1.66625	 1.71868	 1.80513	 0.75268	-1172.390459	-142890.309798	-25651.263852
25	 1.73492	 1.72508	 1.89699	 0.75549	-1172.747445	-142889.353660	-25614.609137
26	 1.73492	 1.83535	 1.95192	 0.75549	-1172.453785	-142844.231029	-25598.852578
27	 1.73492	 1.91907	 1.97323	 0.78958	-1173.702664	-142799.753756	-25429.487322
28	 1.76685	 2.00679	 2.02822	 0.82548	-1174.578940	-142807.906592	-25350.012626
29	 1.84285	 2.01024	 2.12930	 0.82690	-1175.249610	-142757.454478	-25232.493500
30	 1.83846	 1.92562	 2.12423	 0.82494	-1173.900508	-142759.377723	-25369.326885
31	 1.89647	 2.01857	 2.15315	 0.82722	-1174.607344	-142771.334284	-25310.599914
32	 1.97034	 2.12588	 2.15916	 0.82953	-1175.516999	-142752.701852	-25201.001961
33	 1.97034	 2.12588	 2.28386	 0.85501	-1177.709817	-142778.678011	-25007.696357
34	 2.04458	 2.11875	 2.27620	 0.85214	-1177.148815	-142783.519736	-25068.638261
35	 2.05078	 2.12517	 2.28310	 0.85472	-1177.158485	-142795.325561	-25079.477046
36	 2.10937	 2.13436	 2.41993	 0.89701	-1178.912657	-142770.900865	-24879.635208
37	 2.11372	 2.13877	 2.51130	 0.89886	-1179.291185	-142752.259018	-24823.140547
38	 2.10740	 2.13238	 2.58422	 0.89617	-1178.791805	-142732.520872	-24853.340370
39	 2.19306	 2.21895	 2.68089	 0.90025	-1177.310800	-142722.589738	-24991.509735
40	 2.31390	 2.21368	 2.83938	 0.89811	-1179.227110	-142696.856027	-24774.145041
41	 2.31390	 2.29436	 2.83938	 0.92573	-1179.800095	-142704.250256	-24724.240734
42	 2.39472	 2.32621	 2.96839	 0.92715	-1179.612238	-142683.324580	-24722.100792
43	 2.51034	 2.43058	 2.93869	 0.92715	-1179.912677	-142634.778808	-24643.511148
44	 2.52126	 2.44114	 3.07678	 0.93118	-1182.207184	-142666.266170	-24445.547737
45	 2.51494	 2.55859	 3.06907	 0.90953	-1181.752651	-142665.689143	-24490.424031
46	 2.63160	 2.66021	 3.06016	 0.90688	-1182.100448	-142648.359518	-24438.314704
47	 2.78113	 2.55921	 3.14177	 0.90416	-1183.353510	-142668.494660	-24333.143685
48	 2.79049	 2.56781	 3.31985	 0.89871	-1184.197905	-142647.589250	-24227.798762
49	 2.72119	 2.61996	 3.42707	 0.89353	-1183.904077	-142641.949883	-24251.542212
