iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	C_coal_stats_total	C_num_coals_total	AB_coal_stats_total	AB_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	C__pop_coal_stats_total	C__pop_num_coals_total	AB__pop_coal_stats_total	AB__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	
0	0.01426074414943660079169163168444356	138	0.01201638750907254096778054019978299	119	0.01421637296329148793250229942941587	150	0.05948414972776346759664178875937068	289	0.14325934395425612977170715112151811	450	0.01426074414943661466947943949890032	138	0.01201638750907253749833358824616880	119	0.01421637296329147405471449161495912	150	0.00323036615854404261793941799396634	32	0.00106515625190703499061695147531736	11	
1	0.01530370777501995072089613358912175	142	0.01162734275314351514718502755840746	123	0.01369223914679571808827862611224191	150	0.06030722901956339643270155193022219	290	0.14237672867069908755333074168447638	450	0.01530370777501998541536565312526363	142	0.01162734275314352729024935939605712	123	0.01369223914679569900632039036736387	150	0.00263506281079063566646913940871855	25	0.00094856681493480743232182827995302	10	
2	0.01149377476620532488593706688106977	140	0.01092625894625087051847955876837659	120	0.01226276688315760740599635880698770	150	0.05054305286412458242395473462238442	290	0.12333534301791344856003007635081303	450	0.01149377476620535611095963446359747	140	0.01092625894625087919209693865241206	120	0.01226276688315757618097379122446000	150	0.00285418347688707989273648735206734	30	0.00096516867123659102166433054748040	10	
3	0.01343836883097002977971445858429433	141	0.01038852356184689039453328263107323	123	0.01594345344252029450515806274779607	150	0.05341397491073496262004027812508866	290	0.13984730370297512869193212736718124	450	0.01343836883097006273946050214362913	141	0.01038852356184690080287413849191580	123	0.01594345344252027715792330297972512	150	0.00231105521498542595612568639751316	26	0.00091306735589908140978548933830439	10	
4	0.01070938163959072285391638246210277	140	0.01432714622495662171175467847206164	118	0.01617336259089650549181094163486705	150	0.05790506666713868266782583305030130	290	0.14757410475789931036949553799786372	450	0.01070938163959075060949199809101628	140	0.01432714622495662691592510640248292	118	0.01617336259089648814457618186679611	150	0.00434926670728029689944049707150953	32	0.00070986313887907081729422564819743	10	
5	0.01123457148457979518085814163441682	140	0.01308640074320041070399245342059658	119	0.01532070791829323423705044859843838	150	0.05667150366043508663560501759093313	290	0.14232655931714752184369388032791903	450	0.01123457148457978130307033381996007	140	0.01308640074320039856092812158294691	119	0.01532070791829321342036873687675325	150	0.00424983262661674486559970631560645	31	0.00089627477189733540177685178207412	10	
6	0.01445243752378688566195830134120115	140	0.01326007850653796414641671930212397	119	0.01503101770786663925194570623489199	150	0.06288639579673349633281986825750209	290	0.15129744956197335725711639042856405	450	0.01445243752378686484527658961951602	140	0.01326007850653794506445848355724593	119	0.01503101770786662363943442244362814	150	0.00355775802774562248040335354914987	31	0.00153448033886891617612324711927840	10	
7	0.01324100825148558611965565745549611	137	0.01295199457724674832470590501998231	118	0.01504993310126212339994378197616243	150	0.06006939678840344382093618946782954	290	0.14762145295411599477120034862309694	450	0.01324100825148556183352699378019679	137	0.01295199457724673444691809720552556	118	0.01504993310126211646104987806893405	150	0.00387660688322475537395672695595294	35	0.00102079211665443737866443285611240	10	
8	0.01170120439517064424295167412992669	137	0.01236034973658023741749367729880760	121	0.01418954755182141869163103820028482	150	0.05583093900809511095362225319149729	290	0.13860028397283208345669436312164180	450	0.01170120439517061128320563057059189	137	0.01236034973658023047859977339157922	121	0.01418954755182141695690756222347773	150	0.00419620585956073655076181694312254	32	0.00079338227336697231609208280644907	10	
9	0.01314939555460444518819596027014995	139	0.01237977345150291508257822670202586	119	0.01440063840721953446200043202907182	150	0.05901914381102942724899307336272614	290	0.14459119337020392981330019210872706	450	0.01314939555460440702427948878039388	139	0.01237977345150291681730170267883295	119	0.01440063840721953446200043202907182	150	0.00422483896468491861020400079951287	32	0.00126638496519192178535462289801217	10	
10	0.01162352374845616875820297764221323	140	0.01257683605943765714485493845131714	114	0.01411681469348211558079153604694511	150	0.05589865607081750953355481215112377	290	0.13916883838107155235697121042903746	450	0.01162352374845617743182035752624870	140	0.01257683605943765367540798649770295	114	0.01411681469348214160164367569905153	150	0.00374372634676758183486233733106019	36	0.00145529247901190301670015792012691	10	
11	0.01060955290133431747068293304891995	139	0.01230954254378936567337898821961062	119	0.01438203008978444427667930938241625	150	0.05236203821789359863503321435018734	290	0.13274935338611321133939213723351713	450	0.01060955290133432787902378890976252	139	0.01230954254378935699976160833557515	119	0.01438203008978445988919059317368010	150	0.00295232593746266305453906930722496	32	0.00050151511933309018791138367276972	10	
12	0.01079741443559283087250122434852528	139	0.01101756094658176352019118837688438	121	0.01472671476635569430546635061318739	150	0.05006924606367160746067668242176296	290	0.13107652490054319538437255232565803	450	0.01079741443559283260722470032533238	139	0.01101756094658173923406252470158506	121	0.01472671476635569083601939865957320	150	0.00308303125402621105641265408792151	30	0.00076133991212084650007652086856069	10	
13	0.01115079423735440555809361740102759	140	0.01140460202045835529094386373571979	119	0.01632845354943008100989665365432302	150	0.05322804579396018392900558069413819	290	0.14094600703991874701692665894370293	450	0.01115079423735441770115794923867725	140	0.01140460202045833620898562799084175	119	0.01632845354943007754044970170070883	150	0.00454514082822459961064076594539074	31	0.00068783667178153918859290216758495	10	
14	0.01043891333171076581110003900221272	140	0.01188808402256123775142526710624225	121	0.01701273675519251668553089018587343	150	0.05241085717539807620202196858372190	289	0.14140300640255895614494363599078497	450	0.01043891333171079877084608256154752	140	0.01188808402256122387363745929178549	121	0.01701273675519250627719003432503087	150	0.00427788162993097010461385210078333	28	0.00111294762368244399587668969076049	11	
15	0.00936610013715011464896509352229259	140	0.01120205032379784082507967468700372	122	0.01358191316694230300898826868660763	150	0.04881615759190977704706781992172182	288	0.12546026151445890950419936871185200	450	0.00936610013715011464896509352229259	140	0.01120205032379784429452662664061791	122	0.01358191316694230127426479270980053	150	0.00455676659084968283669470068275587	26	0.00154744711425614509849035815847174	12	
16	0.01184384583902855538062315332581420	140	0.01187940893991435917231846985941957	119	0.01357176226011861178144535244882718	150	0.05577658139662578645756596529281524	288	0.13620714975199338381273150844208430	450	0.01184384583902854497228229746497163	140	0.01187940893991436264176542181303375	119	0.01357176226011861872033925635605556	150	0.00492694314154643476372230637139182	29	0.00099520804979586169163041642349299	12	
17	0.01082245456703601234338396608336552	140	0.01204505679662411926633680536724569	118	0.01538033206185193506321251533108807	150	0.05372650135715069386055375844080118	288	0.13934002651987559273649708302400541	450	0.01082245456703599846559615826890877	140	0.01204505679662412273578375732085988	118	0.01538033206185194547155337119193064	150	0.00446558424124754611839183127131037	30	0.00126477822837960931709466727568270	12	
18	0.01145774937585878304469044763891361	141	0.01144112364032967912863547610413661	118	0.01708806709902783299570572239645116	150	0.05352655296303836934823650040016219	289	0.14383569634295237382737298048596131	450	0.01145774937585877263634959177807104	141	0.01144112364032969821059371184901465	118	0.01708806709902783993459962630367954	150	0.00480224320206385727610731706249680	30	0.00106777436187203826102598558378531	11	
19	0.01133165020633920307135955596322674	140	0.01115616022151460703937253526873974	119	0.01508222237379797103784540013293736	150	0.05342070834825121683486770507442998	288	0.13774238087306728273162548248365056	450	0.01133165020633918745884827217196289	140	0.01115616022151463652967162687446034	119	0.01508222237379800052814449173865796	150	0.00538089076498845034213225346775289	29	0.00106844678574818919246369741671288	12	
20	0.01057193991427290112594672422119402	140	0.01112950462515984936806567873190943	118	0.01551268704164615597207443897787016	150	0.05130020465902748044717540665260458	288	0.13514354462482455754290811000828398	450	0.01057193991427289592177629629077273	140	0.01112950462515985110278915470871652	118	0.01551268704164615944152139093148435	150	0.00428256894788504437893150722516111	30	0.00082061699713185845116852901171001	12	
21	0.01121941009714292128429669048728101	138	0.01091020334696185707656912455831844	118	0.01680696845433479399978260460102319	150	0.05256840251353601944916960064801970	288	0.14211487790595186964104357230098685	450	0.01121941009714291087595583462643845	138	0.01091020334696188309742126421042485	118	0.01680696845433476624420698897210968	150	0.00460908468448898312602723947861705	32	0.00119311184696875723608433528255546	12	
