Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 0.88207	 0.90978	 1.10348	 0.91647	-1323.560707650	-14584.546983057	1348.939906560
1	 0.83352	 0.93418	 1.07170	 0.91304	-1317.761367350	-14507.280421554	1329.666748057
2	 0.85905	 0.96130	 1.10676	 0.93473	-1311.700904515	-14438.544611938	1321.535566792
3	 0.84707	 1.00153	 1.13517	 0.96626	-1305.435208722	-14386.713388629	1332.361301410
4	 0.88969	 1.01330	 1.18906	 0.94331	-1305.456337232	-14385.721471926	1331.158099609
5	 0.88639	 1.05526	 1.24194	 0.96732	-1304.900121141	-14375.472992033	1326.471780620
6	 0.91856	 1.09569	 1.16718	 0.94120	-1305.443190003	-14354.683551751	1300.251651716
7	 0.89583	 1.14058	 1.19894	 0.97401	-1306.403643895	-14348.756750110	1284.720311157
8	 0.89583	 1.12043	 1.14513	 0.95832	-1304.363842498	-14314.979494253	1271.341069271
9	 0.84698	 1.17106	 1.09869	 0.96743	-1304.271499384	-14311.255162271	1268.540168427
10	 0.84532	 1.13532	 1.09653	 0.96553	-1303.879188312	-14315.306877249	1276.514994128
11	 0.80897	 1.17260	 1.13991	 0.93309	-1303.455144963	-14308.206059357	1273.654609729
12	 0.82862	 1.10623	 1.13593	 0.89859	-1301.199064360	-14313.187563047	1301.196919443
13	 0.82728	 1.15119	 1.13409	 0.93088	-1302.034466166	-14312.344644482	1291.999982817
14	 0.84411	 1.12172	 1.18507	 0.90302	-1299.958601475	-14300.690583476	1301.104568731
15	 0.84615	 1.17764	 1.18793	 0.92527	-1300.334828111	-14308.206675527	1304.858394416
16	 0.80596	 1.23113	 1.23341	 0.90127	-1301.477566723	-14316.268783886	1301.493116658
17	 0.82327	 1.18112	 1.17293	 0.88809	-1300.112448717	-14310.525231343	1309.400744172
18	 0.82516	 1.22173	 1.19703	 0.86202	-1301.114573567	-14299.154722469	1288.008986794
19	 0.84330	 1.15925	 1.22844	 0.87588	-1299.829304986	-14309.523587678	1311.230537820
20	 0.84422	 1.16052	 1.16908	 0.84001	-1298.509413550	-14302.166887748	1317.072752248
21	 0.84543	 1.16218	 1.19054	 0.87994	-1301.837730496	-14300.785115668	1282.407810706
22	 0.80829	 1.15903	 1.23146	 0.87859	-1300.781267238	-14298.054534914	1290.241862537
23	 0.80071	 1.19704	 1.18556	 0.84524	-1298.485228874	-14292.004468542	1307.152179798
24	 0.83392	 1.25430	 1.13472	 0.86754	-1300.145838486	-14300.451264971	1298.992880106
25	 0.85400	 1.22253	 1.07093	 0.88510	-1299.701703035	-14290.984123969	1293.967093622
26	 0.87594	 1.25935	 1.01688	 0.89950	-1300.525898880	-14297.134635265	1291.875646466
27	 0.89659	 1.17303	 1.05441	 0.87096	-1299.641092707	-14298.578075528	1302.167148459
28	 0.91246	 1.21863	 1.08188	 0.90334	-1299.741213516	-14295.029469531	1297.617334371
29	 0.95069	 1.25892	 1.05784	 0.90571	-1298.094761980	-14301.574106009	1320.626486211
30	 0.94835	 1.28908	 1.05523	 0.93448	-1298.492473864	-14294.986367235	1310.061628593
31	 0.91346	 1.29326	 1.08122	 0.98053	-1301.029917012	-14297.134861737	1286.835691619
32	 0.88443	 1.33727	 1.02954	 0.96250	-1300.700821815	-14288.024119065	1281.015900920
33	 0.88704	 1.37057	 1.05158	 0.96534	-1302.806037840	-14288.538803162	1260.478424767
34	 0.86005	 1.29430	 1.05563	 0.99975	-1300.308998057	-14290.049854442	1286.959873869
35	 0.88494	 1.26481	 1.02481	 1.01736	-1300.507797191	-14292.108990210	1287.031018296
36	 0.91937	 1.26972	 0.97602	 1.01869	-1301.321323647	-14290.390832483	1277.177596012
37	 0.94881	 1.27295	 1.00642	 0.96953	-1301.131342829	-14288.056809206	1276.743380912
38	 0.92177	 1.32372	 0.99284	 0.98835	-1302.340409087	-14291.334956817	1267.930865949
39	 0.96920	 1.27423	 1.00943	 1.02087	-1301.455297702	-14287.673516060	1273.120539039
40	 0.97198	 1.21284	 1.04538	 1.05211	-1300.393719657	-14288.785369701	1284.848173132
41	 1.00549	 1.21544	 1.04762	 1.08040	-1302.460506232	-14288.554105551	1263.949043228
42	 1.00152	 1.24767	 1.08323	 1.04351	-1304.370854402	-14298.950013369	1255.241469353
43	 1.00506	 1.30323	 1.04747	 1.04720	-1302.758196115	-14296.616271139	1269.034309987
44	 1.05228	 1.33322	 1.09597	 1.05117	-1304.467800823	-14297.836986942	1253.158978716
45	 1.09474	 1.33771	 1.13228	 1.08735	-1301.332112342	-14287.644928559	1274.323805143
46	 1.08990	 1.31558	 1.15763	 1.05588	-1302.736789320	-14289.592284790	1262.224391585
