iteration	A_coal_stats_total	A_num_coals_total	B_coal_stats_total	B_num_coals_total	root_coal_stats_total	root_num_coals_total	A__pop_coal_stats_total	A__pop_num_coals_total	B__pop_coal_stats_total	B__pop_num_coals_total	root__pop_coal_stats_total	root__pop_num_coals_total	
0	0.00600988726053426625117737103209947	67	0.00582403596942262114649624393791782	67	0.02916743990710271919319929168068484	150	0.00600988726053426278173041907848528	67	0.00582403596942261680968755399590009	67	0.00194216732679576868300652670029649	16	
1	0.00533220004444357343481586397615501	67	0.00863294655542269813441880188520372	66	0.03333342506707225733064703376840043	150	0.00533220004444356823064543604573373	67	0.00863294655542269813441880188520372	66	0.00160641285850215607099167325344524	17	
2	0.00740243902737694990656702742626294	65	0.00627439562398063744447229694856105	64	0.03387475349490956522124918137706118	150	0.00740243902737694643712007547264875	65	0.00627439562398063484238708298335041	64	0.00252547822764283974583676695147005	21	
3	0.00693729424548675688982912745927933	64	0.00681981500091630599841296955787584	65	0.03310529798396200096277652846765704	150	0.00693729424548674734885000958684032	64	0.00681981500091630599841296955787584	65	0.00125216850858582764982607216097676	21	
4	0.00625929067830712729941788907694900	67	0.00716398702280875675219018461348242	63	0.03259111578593864438913030312505725	150	0.00625929067830711949316224718131707	67	0.00716398702280874807857280472944694	63	0.00200324827916365530780518078302066	20	
5	0.00566796356255396590467787731881799	66	0.00730151587174593472845396391335271	62	0.03333760995030734392008398003781622	150	0.00566796356255396590467787731881799	66	0.00730151587174593039164527397133497	62	0.00320087761187086471473262072606758	22	
6	0.00685283673078981424992006665775079	63	0.00797760783419509261760182994294155	62	0.03826593530008900317929132484096044	150	0.00685283673078981511728180464615434	63	0.00797760783419509088287835396613445	62	0.00393100146011526613981645894568828	25	
7	0.00792713840708466656315156484424733	66	0.00831781406749530251298896388334470	61	0.04143301174983705231769093302318652	150	0.00792713840708467176732199277466862	66	0.00831781406749529210464810802250213	61	0.00413042982919268296393422446044497	23	
8	0.00841677733835877184276341722579673	64	0.00969591199469125447629735958798847	62	0.04418917548809139089760478213975148	150	0.00841677733835878918999817699386767	64	0.00969591199469124580267997970395299	62	0.00348430509258525590923771808604670	24	
9	0.00790741289079130091344005393239058	64	0.00974357967734956406657964578243991	63	0.04389713447895531722720008360738575	150	0.00790741289079130785233395783961896	64	0.00974357967734954671934488601436897	63	0.00427784940031297484380745643761657	23	
10	0.00762289975780012889206016524212828	64	0.00860514863423729112201776558777055	61	0.04200182174919062094708976928814081	150	0.00762289975780012195316626133489990	64	0.00860514863423729285674124156457765	61	0.00479672125390607356765215740779240	25	
11	0.00740894356336269360036039799410901	65	0.00983477607184999116918255879227218	60	0.04340594855546230090848069949061028	150	0.00740894356336269533508387397091610	65	0.00983477607184998423028865488504380	60	0.00425921754892228613537108472542059	25	
12	0.00577670883917099850513032777143962	65	0.00937664190709295783388022016424657	61	0.03728299343107320529266957009895123	150	0.00577670883917099763776858978303608	65	0.00937664190709295609915674418743947	61	0.00373170835716489035852050371033783	24	
13	0.00719825833366101192761776772499616	64	0.00879403863618162702497915717003707	63	0.03988305055135466653526421509923239	150	0.00719825833366100412136212582936423	64	0.00879403863618162875970263314684416	63	0.00345809406853112401639127604369151	23	
14	0.00616040132939263407330088284652447	61	0.00845570073507492976638832971048032	63	0.03766103106279466289363355713248893	150	0.00616040132939262193023655100887481	61	0.00845570073507493497055875764090160	63	0.00411724962776704572070540777417591	26	
15	0.00685904964646601340849674244282141	62	0.00712221816128743179935556284476661	62	0.03615671539302732495624326247707359	150	0.00685904964646601601058195640803206	62	0.00712221816128744307505815669401272	62	0.00414190121613097067543307616688253	26	
16	0.00656886582460459132748464838869040	64	0.00911832368745036682400328942321721	61	0.03801213687407119928840515399315336	150	0.00656886582460459306220812436549750	64	0.00911832368745038417123804919128816	61	0.00300205239554095833914848512335993	25	
17	0.00600408750868083786883522279254066	64	0.00906413099346788618537740234160083	60	0.03711243109090519437520683254660980	150	0.00600408750868083960355869876934776	64	0.00906413099346789485899478222563630	60	0.00290441250549221610666172921355610	26	
18	0.00686362494793844868379295576232835	65	0.00972691671010389100060500311428768	59	0.04131953144050322379587925070154597	150	0.00686362494793844868379295576232835	65	0.00972691671010390487839281092874444	59	0.00367713457087735350742319084815790	26	
19	0.00567368690923273581022678868635012	63	0.00829426659059011653352122550586500	62	0.03574389656002456561179059235655586	150	0.00567368690923273407550331270954302	63	0.00829426659059013214603250929712885	62	0.00391824762748661271916095216738540	25	
20	0.00687407148206064730344699853503698	63	0.00687507705285372340553440295707333	62	0.03433459284177894921263884953077650	150	0.00687407148206065077289395048865117	63	0.00687507705285371733400223703824850	62	0.00295977952956268716006027474918483	25	
21	0.00775489700075098278841956300766469	61	0.00857110249672719815006161070414237	60	0.04118652967749716203860188556973299	150	0.00775489700075098712522825294968243	61	0.00857110249672719121116770679691399	60	0.00402459960031090451665347629273128	29	
22	0.00698266496004163947364240527804213	64	0.00930909644468631489178100935077964	59	0.03990807576993610911175736077893816	150	0.00698266496004163687155719131283149	64	0.00930909644468629927926972555951579	59	0.00343179650594269180022277687669430	27	
23	0.00635085897839714284135448352230924	62	0.00860392232890900936215228256287446	61	0.03673528896217399808410419836945948	150	0.00635085897839714284135448352230924	62	0.00860392232890900068853490267883899	61	0.00301039290307368546592559077623719	27	
24	0.00625943722829061261619942868605904	61	0.00947331741279978239989034705104132	60	0.03891785838347621567789857977004431	150	0.00625943722829061001411421472084839	61	0.00947331741279977719571991912062003	60	0.00337715286569749808046059236232850	29	
25	0.00728601860640736356811153484613897	62	0.00853446391777448569448960569161500	62	0.03940308889639208139721304746672104	150	0.00728601860640736356811153484613897	62	0.00853446391777449610283046155245756	62	0.00342438987038785457722722682660788	26	
26	0.00687721973340100090760218520813396	63	0.00904844550982950544815164306555744	63	0.03978131837330555614640203998533252	150	0.00687721973340099570343175727771268	63	0.00904844550982951759121597490320710	63	0.00373199888272916432963022259627905	24	
27	0.00759427236497294422951087611295407	62	0.00790089448172641602152754813914726	63	0.03762548504439487684347653839722625	150	0.00759427236497293902534044818253278	62	0.00790089448172642469514492802318273	63	0.00281407284858172001065779177508830	25	
28	0.00786314155796290215061361550397123	63	0.00795681566346509612508430819843852	62	0.03909079703027606295107077016837138	150	0.00786314155796289521171971159674285	63	0.00795681566346510132925473612885980	62	0.00302734722859887865273331719606631	25	
29	0.00663362165849685006535629838708701	63	0.00788918859380806532233254557695545	62	0.03569085067052899656880882162113267	150	0.00663362165849684312646239447985863	63	0.00788918859380806358760906960014836	62	0.00211120243626590443561386045701056	25	
