,hm_data_likelihood,hyp_gene_likelihood,root,ref_gene_likelihood,rbf_ratio
0,15334.408468342725,4002.378092141064,2952.600509373554,2952.600509373554,-1049.77758276751
1,14889.470545501688,4041.104348302996,3054.4894421488234,3054.4894421488234,-986.6149061541728
2,14593.566526209503,4019.684220036958,2926.9813832209156,2926.9813832209156,-1092.7028368160422
3,14478.368978432982,3995.8172131200986,2890.5623710035215,2890.5623710035215,-1105.254842116577
4,14466.943564961179,4006.235181605097,2908.4964727572583,2908.4964727572583,-1097.7387088478386
5,14417.636099764346,3991.0257423303306,2737.8519523226705,2737.8519523226705,-1253.17379000766
6,14384.211586763571,4017.002554526364,2869.4842842237367,2869.4842842237367,-1147.5182703026271
7,14372.297264846316,4005.5774872250586,2765.931671752664,2765.931671752664,-1239.6458154723946
8,14374.699059954528,4019.6720540155643,2870.2714096939844,2870.2714096939844,-1149.4006443215799
9,14372.835105428889,3973.4155887820725,2788.764137085165,2788.764137085165,-1184.6514516969073
10,14359.168007534818,3942.9572640264364,2629.2376688131317,2629.2376688131317,-1313.7195952133047
11,14340.823265837938,3951.0152192735377,2693.608303710066,2693.608303710066,-1257.4069155634716
12,14303.548500043573,3949.0077585234667,2744.7857243491026,2744.7857243491026,-1204.2220341743641
13,14304.93181135865,3965.3620550779465,2796.6406548433797,2796.6406548433797,-1168.7214002345668
14,14304.38617010257,3970.2941002595753,2772.602894729086,2772.602894729086,-1197.6912055304892
15,14307.349873023928,3930.9806194403122,2542.863218367558,2542.863218367558,-1388.117401072754
16,14302.278026469445,3933.9455787248858,2536.568433592885,2536.568433592885,-1397.3771451320008
17,14301.834638462266,3931.320408130258,2555.612801344797,2555.612801344797,-1375.707606785461
18,14301.55648902101,3942.9706223200155,2547.360981831286,2547.360981831286,-1395.6096404887294
19,14305.997981976852,3944.6413282052135,2536.051579784691,2536.051579784691,-1408.5897484205225
20,14297.331804552221,3940.7754252590357,2361.4020685414976,2361.4020685414976,-1579.3733567175382
21,14301.826892083714,3937.7336981722165,2449.3931280977004,2449.3931280977004,-1488.340570074516
22,14301.85155528879,3901.5878257674553,2284.4604585962297,2284.4604585962297,-1617.1273671712256
23,14297.961739979559,3949.605090039351,2350.2314990581476,2350.2314990581476,-1599.3735909812035
24,14299.071237993134,3983.355227178041,2591.0480106312393,2591.0480106312393,-1392.3072165468016
25,14300.413040641082,3921.064502608615,2288.26123876302,2288.26123876302,-1632.8032638455948
26,14303.440611472752,3921.1596680660145,2382.7941890545467,2382.7941890545467,-1538.3654790114679
27,14302.361796325313,3885.2651761788516,2174.358063005287,2174.358063005287,-1710.9071131735645
28,14301.88005162031,3917.123753297897,2192.0853201286036,2192.0853201286036,-1725.0384331692935
29,14305.874974468768,3924.2597996301315,2284.7325485870037,2284.7325485870037,-1639.5272510431278
30,14302.485015510852,3888.606343260206,2170.600927653147,2170.600927653147,-1718.0054156070587
31,14303.32384709293,3911.887821901074,2297.0110580069254,2297.0110580069254,-1614.8767638941486
32,14295.410355152513,3875.3340271701954,2129.2959782612465,2129.2959782612465,-1746.038048908949
33,14301.439495856574,3886.318199409678,2295.0947198366885,2295.0947198366885,-1591.2234795729896
34,14302.134149891108,3889.750065171555,2356.8793936794855,2356.8793936794855,-1532.8706714920695
35,14294.28801367176,3865.836214824678,2214.923148051353,2214.923148051353,-1650.9130667733248
36,14304.27206792558,3864.1308638873606,2254.2872400967863,2254.2872400967863,-1609.8436237905744
37,14295.290520786168,3888.410331792851,2434.3464540083496,2434.3464540083496,-1454.0638777845015
38,14296.517966919391,3890.354208977576,2345.9764679823716,2345.9764679823716,-1544.3777409952045
39,14296.37459955863,3868.51340014965,2150.8040416320055,2150.8040416320055,-1717.7093585176444
40,14300.082926190353,3875.315498936597,2091.734389150639,2091.734389150639,-1783.5811097859582
41,14298.116904832938,3889.4549102153433,2118.328670098799,2118.328670098799,-1771.126240116544
42,14297.425668999675,3875.56715902088,1891.8012050706734,1891.8012050706734,-1983.7659539502065
43,14227.027851382974,3834.3780516385746,1552.5362772886906,1552.5362772886906,-2281.841774349884
44,14213.647412904353,3864.644290080461,1611.3583339032725,1611.3583339032725,-2253.2859561771884
45,14220.997229107987,3868.0038138733175,1544.3253792140608,1544.3253792140608,-2323.6784346592567
46,14220.799778067423,3854.824395621447,1439.6665391442834,1439.6665391442834,-2415.1578564771635
47,14220.540233380365,3853.6726504310095,1326.7216066595543,1326.7216066595543,-2526.9510437714553
48,14213.325840187908,3860.474146956448,1313.691074067698,1313.691074067698,-2546.7830728887498
49,14213.315606765285,3846.711722815695,1212.314180720689,1212.314180720689,-2634.397542095006
50,14208.60811638348,3834.893014986704,1164.0222455754933,1164.0222455754933,-2670.870769411211
51,14217.511643309503,3878.7808204820526,1260.2902310276695,1260.2902310276695,-2618.490589454383
52,14216.633231509302,3862.132808767009,1020.9172617952336,1020.9172617952336,-2841.2155469717754
53,14212.228237481488,3851.4060691767295,1050.8620155288495,1050.8620155288495,-2800.54405364788
54,14211.952442963093,3852.1348091474415,1250.0221427423553,1250.0221427423553,-2602.112666405086
55,14210.190147382667,3837.5428547710408,1210.8877760910254,1210.8877760910254,-2626.6550786800153
56,14218.252627595051,3852.300150671847,1393.0613600426,1393.0613600426,-2459.238790629247
57,14211.31965330648,3872.2315194169214,1394.275603056708,1394.275603056708,-2477.9559163602135
58,14206.826916055927,3845.0536385646446,1328.6819466286533,1328.6819466286533,-2516.3716919359913
59,14212.45085709618,3851.5952164502023,1490.3523328483207,1490.3523328483207,-2361.2428836018817
