,hypothesis,root,reference,E_ratio
0,-88.908284992,-88.90569319087126,-88.90569319087126,0.0025918011287444642
1,-3291.662139472,-3291.6695254097067,-3291.6695254097067,-0.0073859377066582965
2,-6047.511642259,-6047.489753139789,-6047.489753139789,0.02188911921075487
3,-10761.687985995,-10761.652090817313,-10761.652090817313,0.03589517768705264
4,-11089.92585861,-11089.888358969301,-11089.888358969301,0.037499640699024894
5,-13762.960403578001,-13762.956244668021,-13762.956244668021,0.004158909980105818
6,-12682.924672338,-12682.967548792327,-12682.967548792327,-0.04287645432668796
7,-14840.206734948999,-14840.25622492952,-14840.25622492952,-0.04948998052168463
8,-14885.774498676,-14885.773295602068,-14885.773295602068,0.001203073932629195
9,-15847.139659826002,-15847.138386442884,-15847.138386442884,0.0012733831172226928
10,-16211.95534374,-16211.954044044976,-16211.954044044976,0.0012996950244996697
11,-17147.986057031998,-17147.984687367043,-17147.984687367043,0.0013696649548364803
12,-17710.658601712,-17710.704552045707,-17710.704552045707,-0.0459503337078786
13,-16670.266495272,-16670.271427896187,-16670.271427896187,-0.004932624186039902
14,-16320.312141461001,-16320.334931093215,-16320.334931093215,-0.022789632213971345
15,-16242.767642373,-16242.81389795751,-16242.81389795751,-0.04625558450970857
16,-16020.141475366001,-16020.081954357223,-16020.081954357223,0.059521008777664974
17,-16340.293977755,-16340.34557107779,-16340.34557107779,-0.051593322790722596
18,-16611.248139727,-16611.228936995354,-16611.228936995354,0.019202731644327287
19,-16270.37871789,-16270.391255510869,-16270.391255510869,-0.012537620868897648
20,-16258.992197485,-16259.004726536929,-16259.004726536929,-0.012529051928140689
21,-15660.442508457,-15660.409463881468,-15660.409463881468,0.033044575531675946
22,-15329.845261495,-15329.846365113528,-15329.846365113528,-0.0011036185278499033
23,-15425.654363193999,-15425.655472776045,-15425.655472776045,-0.001109582046410651
24,-16157.820597108,-16157.821754542205,-16157.821754542205,-0.0011574342042877106
25,-16097.896354182,-16097.898061172244,-16097.898061172244,-0.0017069902442017337
26,-15313.223984233,-15313.185237664315,-15313.185237664315,0.038746568685382954
27,-14886.89392195,-14886.91286921785,-14886.91286921785,-0.01894726784848899
28,-14222.670507402,-14222.634529669158,-14222.634529669158,0.0359777328412747
29,-14044.441145145,-14044.425259691445,-14044.425259691445,0.015885453554801643
30,-14427.16151311,-14427.120090816876,-14427.120090816876,0.04142229312492418
31,-14539.244319567,-14539.273305537077,-14539.273305537077,-0.0289859700769739
32,-14949.441916928,-14949.425256881517,-14949.425256881517,0.01666004648359376
33,-15055.866498221001,-15055.849729364996,-15055.849729364996,0.016768856005001
34,-15271.106747968,-15271.069061304277,-15271.069061304277,0.03768666372343432
35,-15192.492736922,-15192.517440232772,-15192.517440232772,-0.024703310771656106
36,-14426.152256608,-14426.190626504344,-14426.190626504344,-0.03836989634328347
37,-14512.690490598,-14512.729071906513,-14512.729071906513,-0.03858130851222086
38,-14709.462167811002,-14709.501232445917,-14709.501232445917,-0.03906463491512113
39,-14935.531435191,-14935.510386617172,-14935.510386617172,0.021048573828011286
40,-15211.488883793001,-15211.503315194735,-15211.503315194735,-0.014431401734327665
41,-15479.326398406001,-15479.336680549803,-15479.336680549803,-0.01028214380130521
42,-15478.902227873,-15478.91251041266,-15478.91251041266,-0.010282539658874157
43,-15346.989791106002,-15347.023982464956,-15347.023982464956,-0.03419135895455838
44,-15741.618192699,-15741.65319734382,-15741.65319734382,-0.035004644820219255
45,-15859.200535156,-15859.235781770201,-15859.235781770201,-0.035246614201241755
46,-16031.850925998999,-16031.86895620362,-16031.86895620362,-0.018030204621027224
47,-16104.358111634,-16104.39536616166,-16104.39536616166,-0.03725452766047965
48,-15163.338885658999,-15163.33847909563,-15163.33847909563,0.0004065633693244308
49,-15378.431836408,-15378.462511348322,-15378.462511348322,-0.030674940320750466
50,-15912.324935085,-15912.356598210323,-15912.356598210323,-0.03166312532266602
51,-15110.782909972,-15110.772347072285,-15110.772347072285,0.010562899715296226
52,-15371.894645741,-15371.927645433758,-15371.927645433758,-0.03299969275758485
53,-15542.111851841,-15542.119630037847,-15542.119630037847,-0.007778196846629726
54,-15746.836910437,-15746.84478507856,-15746.84478507856,-0.007874641560192686
55,-15414.363743401002,-15414.39317786637,-15414.39317786637,-0.0294344653684675
56,-15760.799069764,-15760.829118564563,-15760.829118564563,-0.030048800563236
57,-15632.06453579,-15632.069954629625,-15632.069954629625,-0.0054188396261452
58,-15830.930432098,-15830.932346056554,-15830.932346056554,-0.0019139585529046599
59,-15617.164174508998,-15617.194544682457,-15617.194544682457,-0.03037017345923232
60,-15764.061485423,-15764.053851827994,-15764.053851827994,0.007633595007064287
61,-15349.439996111001,-15349.415547378954,-15349.415547378954,0.024448732046948862
62,-15583.186798843,-15583.16200359194,-15583.16200359194,0.024795251059913426
63,-15826.148983105,-15826.123830084576,-15826.123830084576,0.025153020424113492
64,-16121.918246407,-16121.892657061293,-16121.892657061293,0.02558934570697602
65,-15490.890145628,-15490.919304127787,-15490.919304127787,-0.029158499786717584
66,-14887.734464549,-14887.73453573655,-14887.73453573655,-7.118755092960782e-05
67,-15163.596417848,-15163.623194166532,-15163.623194166532,-0.026776318531119614
68,-15251.557564241999,-15251.584484232855,-15251.584484232855,-0.026919990856185905
69,-15459.655868948,-15459.682964814629,-15459.682964814629,-0.027095866627860232
