iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	 0.034209	      150	 0.006381	        0	32.685054	-13256.042847	-14585.155233	1329.112386
      1	 0.037418	      150	 0.007247	        0	32.681342	-13159.696448	-14466.484005	1306.787557
      2	 0.035548	      150	 0.006592	        0	32.680557	-13065.749307	-14387.006116	1321.256809
      3	 0.035127	      150	 0.006491	        0	32.716977	-13059.060751	-14382.055889	1322.995138
      4	 0.039573	      150	 0.007256	        0	32.585284	-13066.433441	-14362.883769	1296.450328
      5	 0.032482	      150	 0.006925	        0	32.634514	-13047.347805	-14376.972556	1329.624751
      6	 0.037254	      150	 0.007304	        0	32.622904	-13040.126756	-14351.190928	1311.064171
      7	 0.038214	      150	 0.007362	        0	32.642718	-13050.153147	-14353.670652	1303.517505
      8	 0.040608	      150	 0.007682	        0	32.385997	-13062.858019	-14356.778597	1293.920578
      9	 0.041167	      150	 0.007800	        0	32.441979	-13065.716866	-14353.814161	1288.097295
