Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
1072	 1.08768	 1.92739	 2.24524	 9.13626	 1.89009	 3.04047	 5.52084	 0.08658	 0.10541	 0.78984	-1349.136605856	-1401709.751078559	52573.145222094
1073	 1.04026	 1.95564	 2.34644	 8.61226	 1.96239	 2.96675	 5.39616	 0.08631	 0.10510	 0.78746	-1349.086847377	-1401767.817242946	52680.969866392
1074	 1.08385	 1.85183	 2.20044	 8.29979	 1.93085	 2.97973	 5.41976	 0.08669	 0.10556	 0.79090	-1349.125581316	-1401697.883949933	52572.302634143
1075	 1.13483	 1.78306	 2.27572	 8.43726	 1.89285	 2.99002	 5.43847	 0.08699	 0.10592	 0.79363	-1349.164044804	-1401723.067544146	52559.022740008
1076	 1.09376	 1.68996	 2.34577	 8.82127	 1.88697	 2.98072	 5.42156	 0.08672	 0.10559	 0.79117	-1348.912121838	-1401735.209765353	52823.087927566
1077	 1.13136	 1.62906	 2.35197	 9.26814	 1.93072	 2.87250	 5.43590	 0.08695	 0.10587	 0.79326	-1348.997171091	-1401759.153758029	52761.982666800
1078	 1.13620	 1.63603	 2.48962	 9.65953	 1.93794	 2.88478	 5.45913	 0.08424	 0.10632	 0.79665	-1348.898939995	-1401750.837172158	52851.897177357
1079	 1.09341	 1.58832	 2.36679	 9.24044	 1.88106	 2.79104	 5.47594	 0.08450	 0.10665	 0.79910	-1348.809452407	-1401714.772363550	52905.319956582
1080	 1.10495	 1.58435	 2.26253	 9.21734	 1.78455	 2.78406	 5.46226	 0.08429	 0.10638	 0.79711	-1348.977350967	-1401753.114871856	52775.763905166
1081	 1.06479	 1.53750	 2.16924	 9.19414	 1.73783	 2.69765	 5.30568	 0.08408	 0.10612	 0.77768	-1348.528148398	-1401757.358662073	53229.210263932
1082	 1.10438	 1.53115	 2.29647	 8.84659	 1.62504	 2.68652	 5.28380	 0.08373	 0.10568	 0.77447	-1348.726582507	-1401749.101513972	53022.519006960
1083	 1.12084	 1.51028	 2.22290	 8.82018	 1.62019	 2.67850	 5.26803	 0.08348	 0.10536	 0.77216	-1348.535782616	-1401710.679726425	53174.897110835
1084	 1.17782	 1.56318	 2.10531	 8.52546	 1.68408	 2.60034	 5.28557	 0.08026	 0.10571	 0.77473	-1348.639085347	-1401748.334250507	53109.248903766
1085	 1.18252	 1.50980	 2.11370	 8.31478	 1.63030	 2.61071	 5.30664	 0.08058	 0.10613	 0.77782	-1348.385325985	-1401717.984008652	53332.658023299
1086	 1.20913	 1.56399	 2.01875	 8.09764	 1.69706	 2.60720	 5.50768	 0.08047	 0.10599	 0.79694	-1348.661313226	-1401758.440372007	53097.127146167
1087	 1.14648	 1.56210	 2.12765	 8.35021	 1.76829	 2.60405	 5.39578	 0.08037	 0.10586	 0.79598	-1348.570357894	-1401744.512573116	53174.154678657
1088	 1.07624	 1.49035	 2.01531	 8.47544	 1.67496	 2.48429	 5.37442	 0.08005	 0.10544	 0.79283	-1348.476079303	-1401778.311127927	53302.231825175
1089	 1.01988	 1.56304	 1.94390	 8.61819	 1.61325	 2.48739	 5.38114	 0.08015	 0.10558	 0.79382	-1348.269106259	-1401698.013722166	53428.907462690
1090	 1.07287	 1.46160	 2.03344	 8.91011	 1.56055	 2.49582	 5.39937	 0.08042	 0.10593	 0.79651	-1348.353590484	-1401727.645703816	53374.055219681
1091	 1.06889	 1.43787	 1.93319	 8.87709	 1.48321	 2.55474	 5.37936	 0.08013	 0.10554	 0.79356	-1348.377733336	-1401777.905542381	53400.172206003
1092	 1.11906	 1.44264	 2.05129	 9.23424	 1.51812	 2.56321	 5.39719	 0.08039	 0.10589	 0.78201	-1348.247284199	-1401708.351175078	53461.066976177
1093	 1.15461	 1.51416	 2.14351	 8.73541	 1.58727	 2.55311	 5.37592	 0.08008	 0.10547	 0.77893	-1348.268752867	-1401714.342285304	53445.589417972
1094	 1.15121	 1.42174	 2.18290	 8.25992	 1.58260	 2.54561	 5.21609	 0.07984	 0.10516	 0.77664	-1348.341552657	-1401704.304863245	53362.752206173
1095	 1.09290	 1.45281	 2.24067	 8.24719	 1.65218	 2.63400	 5.20806	 0.08201	 0.10500	 0.77545	-1348.347481795	-1401682.937380906	53335.455585603
1096	 1.12525	 1.44950	 2.31182	 8.68747	 1.60003	 2.62800	 5.19620	 0.08182	 0.10476	 0.77368	-1348.453322653	-1401713.112407300	53259.789754481
1097	 1.16350	 1.52371	 2.22843	 8.38967	 1.66189	 2.61993	 5.18023	 0.08157	 0.10444	 0.77130	-1348.425815909	-1401715.207904335	53289.391995215
1098	 1.16729	 1.59963	 2.20232	 8.08581	 1.62007	 2.52772	 5.19708	 0.08184	 0.10478	 0.77381	-1348.453698922	-1401817.129902080	53363.430979970
1099	 1.10103	 1.64233	 2.27770	 7.92322	 1.62552	 2.44573	 5.21457	 0.08211	 0.10513	 0.77642	-1348.189072839	-1401735.843627931	53546.770789152
1100	 1.09763	 1.70083	 2.24082	 7.89880	 1.62051	 2.50340	 5.19850	 0.08186	 0.10481	 0.77402	-1348.135022907	-1401695.328990743	53560.306083643
1101	 1.06097	 1.75393	 2.34507	 7.65602	 1.65875	 2.50764	 5.20729	 0.08200	 0.10499	 0.77533	-1348.378121317	-1401714.455044645	53336.333727327
1102	 1.01980	 1.85119	 2.44109	 7.90360	 1.65470	 2.50151	 5.04489	 0.08180	 0.09798	 0.77344	-1348.367183218	-1401754.524290311	53387.341072243
1103	 1.05881	 1.78178	 2.53424	 7.86249	 1.64609	 2.48850	 5.01865	 0.07544	 0.09747	 0.76941	-1348.300493958	-1401746.643343915	53446.149385756
1104	 1.02222	 1.71673	 2.46223	 7.94737	 1.71782	 2.60645	 5.19684	 0.07086	 0.09251	 0.77223	-1348.400292333	-1401727.955305932	53327.662972450
1105	 1.02473	 1.72094	 2.38878	 8.50770	 1.72203	 2.48735	 5.35189	 0.07104	 0.09274	 0.77412	-1348.334941030	-1401740.560346261	53405.619316505
1106	 0.96965	 1.71502	 2.45118	 8.47844	 1.71611	 2.47880	 5.33348	 0.07079	 0.09242	 0.77146	-1348.337745328	-1401746.457883438	53408.712555925
1107	 1.01583	 1.75818	 2.52567	 8.45555	 1.79129	 2.51385	 5.48064	 0.07060	 0.09217	 0.76937	-1348.508477874	-1401728.633000492	53220.155126476
1108	 1.01338	 1.83273	 2.65139	 8.43519	 1.68848	 2.50779	 5.46745	 0.07043	 0.09195	 0.74803	-1348.247774327	-1401662.081729392	53414.307402133
1109	 1.01631	 1.75906	 2.56155	 8.37255	 1.77680	 2.62004	 5.31018	 0.07064	 0.09221	 0.75019	-1348.612391692	-1401787.087089014	53174.695397146
1110	 0.97522	 1.76545	 2.57086	 8.12401	 1.82932	 2.70422	 5.32947	 0.07089	 0.09255	 0.75292	-1348.624574243	-1401780.072789539	53155.498546092
1111	 1.02153	 1.84868	 2.46237	 8.15199	 1.77276	 2.71353	 5.34782	 0.07114	 0.09287	 0.75551	-1348.795838967	-1401804.825406939	53008.986440178
1112	 0.99828	 1.94189	 2.51857	 7.87422	 1.73796	 2.74618	 5.17494	 0.07138	 0.09319	 0.75814	-1348.602226710	-1401709.748134269	53107.521424074
1113	 1.01066	 1.88184	 2.64270	 8.10640	 1.68903	 2.74383	 5.17051	 0.07132	 0.09311	 0.75749	-1348.613203701	-1401726.048703106	53112.845002352
1114	 1.04026	 1.82975	 2.73382	 7.80826	 1.69864	 2.70369	 5.15957	 0.07117	 0.09291	 0.75589	-1348.710924900	-1401765.185978331	53054.261078225
1115	 1.01033	 1.91149	 2.84838	 8.10726	 1.63319	 2.73649	 5.02347	 0.07091	 0.09257	 0.75314	-1348.700582469	-1401718.091901002	53017.509432465
1116	 1.00743	 1.90599	 2.69679	 8.32140	 1.62849	 2.72862	 5.14775	 0.07071	 0.09231	 0.76864	-1348.816161531	-1401764.743515176	52948.581983721
1117	 1.04779	 1.92876	 2.61464	 7.95948	 1.69047	 2.72345	 5.13800	 0.07058	 0.09213	 0.76718	-1348.534259309	-1401717.698667869	53183.439359295
1118	 1.02166	 1.82917	 2.72064	 8.40182	 1.77724	 2.72776	 5.14614	 0.07069	 0.09228	 0.76840	-1348.627954631	-1401703.556323115	53075.601691864
1119	 1.06559	 1.75326	 2.85183	 8.81620	 1.73453	 2.80491	 5.06667	 0.07089	 0.09254	 0.77060	-1348.723551375	-1401759.565317877	53036.013942493
1120	 1.03621	 1.69306	 2.75839	 8.63425	 1.75067	 2.81643	 4.92881	 0.07431	 0.09292	 0.77377	-1348.668768225	-1401714.904885284	53046.136660733
1121	 0.99387	 1.63458	 2.86579	 8.97612	 1.74684	 2.81027	 4.91802	 0.07414	 0.09272	 0.77207	-1348.612475654	-1401763.998461877	53151.522807469
1122	 0.98221	 1.54317	 3.00271	 8.63124	 1.82798	 2.81509	 4.74484	 0.07427	 0.09928	 0.77340	-1348.652166669	-1401796.773570431	53144.606901187
1123	 1.03463	 1.60894	 2.87073	 8.35412	 1.74333	 2.81920	 4.75175	 0.07438	 0.09943	 0.77453	-1348.455749091	-1401735.731127996	53279.982036815
1124	 1.01115	 1.67587	 2.77935	 8.73979	 1.69727	 2.80434	 4.72671	 0.07399	 0.09890	 0.77045	-1348.521092400	-1401780.034025244	53258.941625669
1125	 1.00845	 1.62432	 2.93827	 9.00395	 1.63341	 2.79683	 4.71405	 0.07379	 0.10317	 0.76838	-1348.520588392	-1401708.693829715	53188.105438044
1126	 1.02992	 1.67951	 3.08000	 8.42787	 1.55147	 2.78726	 4.69792	 0.07354	 0.10282	 0.76575	-1348.393119231	-1401792.834864331	53399.715633821
1127	 1.08811	 1.63275	 2.97877	 8.90144	 1.54808	 2.85405	 4.68765	 0.07338	 0.10259	 0.76408	-1348.462649705	-1401806.939883119	53344.290178561
1128	 1.10478	 1.62735	 2.98635	 9.25386	 1.63595	 2.86131	 4.69957	 0.07356	 0.10285	 0.76602	-1348.622250577	-1401794.883377669	53172.632800222
1129	 1.06900	 1.57890	 3.11273	 9.08557	 1.63595	 2.76539	 4.69957	 0.07356	 0.10285	 0.76602	-1348.372408302	-1401705.580988132	53333.172686263
1130	 1.11201	 1.54185	 3.06448	 9.11203	 1.58258	 2.77345	 4.71326	 0.07378	 0.10315	 0.76825	-1348.397515924	-1401720.765349575	53323.249425313
1131	 1.11566	 1.50582	 3.07456	 9.14202	 1.49221	 2.86243	 4.64692	 0.07402	 0.10349	 0.77078	-1348.376499486	-1401697.222790456	53320.723303996
1132	 1.09143	 1.50582	 2.92766	 9.54516	 1.53416	 2.96810	 4.64692	 0.07402	 0.10349	 0.77078	-1348.395665864	-1401718.619090634	53322.953226367
1133	 1.05644	 1.45499	 2.74164	 9.52102	 1.47830	 2.96060	 4.63517	 0.07383	 0.10323	 0.76883	-1348.524086608	-1401745.146926218	53221.060318275
1134	 1.09955	 1.41503	 2.77381	 9.28325	 1.44391	 2.97076	 4.93981	 0.07409	 0.10358	 0.77147	-1348.616386223	-1401694.071173557	53077.684950710
1135	 1.06550	 1.46350	 2.86964	 9.14837	 1.50828	 2.97005	 4.80523	 0.07407	 0.10356	 0.77129	-1348.666401809	-1401723.071077707	53056.669269172
1136	 1.10661	 1.40400	 2.70726	 8.87468	 1.51289	 3.05569	 4.81991	 0.07429	 0.10388	 0.77364	-1348.617581007	-1401724.587968131	53107.006960921
1137	 1.04420	 1.36670	 2.65118	 9.12097	 1.51866	 3.06735	 4.83831	 0.07458	 0.10427	 0.77660	-1348.759601713	-1401703.719831784	52944.118118765
1138	 1.00958	 1.36199	 2.64204	 8.84615	 1.58612	 2.95398	 4.82162	 0.07432	 0.10391	 0.77392	-1348.663230927	-1401725.186896514	53061.955969980
1139	 0.97716	 1.29301	 2.64967	 9.40907	 1.66575	 2.96251	 4.83555	 0.07454	 0.10421	 0.77615	-1348.574981019	-1401717.041725890	53142.060706410
1140	 0.96481	 1.29771	 2.59006	 9.44326	 1.73270	 2.90349	 4.85312	 0.07481	 0.10459	 0.77897	-1348.802976710	-1401767.092294690	52964.115584422
1141	 0.99434	 1.35014	 2.67642	 9.92065	 1.77576	 2.89494	 4.83883	 0.07459	 0.10428	 0.77668	-1348.571443308	-1401760.395126433	53188.951818920
1142	 0.95466	 1.34949	 2.77202	10.12439	 1.67991	 2.89353	 4.93956	 0.07455	 0.10423	 0.77630	-1348.564331164	-1401725.454627752	53161.123463826
1143	 0.92544	 1.30510	 2.77921	10.37783	 1.68427	 2.90104	 4.95238	 0.07474	 0.10450	 0.77832	-1348.630290478	-1401749.242857198	53118.952379232
1144	 0.90060	 1.34016	 2.68473	10.13818	 1.74232	 2.78174	 4.93637	 0.07450	 0.10417	 0.77580	-1348.599329683	-1401730.972757560	53131.643074974
1145	 0.93811	 1.28281	 2.75940	10.08836	 1.81396	 2.72639	 4.91212	 0.07414	 0.10365	 0.77199	-1348.398602193	-1401752.296072318	53353.693879131
1146	 0.96389	 1.34729	 2.81518	 9.85302	 1.74199	 2.71840	 4.81046	 0.07392	 0.10335	 0.76972	-1348.327467767	-1401760.013672877	53432.545905847
1147	 0.99383	 1.31115	 2.72682	 9.31364	 1.65322	 2.72519	 5.01244	 0.07613	 0.10361	 0.79083	-1348.601655461	-1401783.767320168	53182.111859231
1148	 0.96778	 1.37373	 2.82675	 9.33966	 1.59713	 2.75598	 5.02644	 0.07933	 0.10390	 0.79304	-1348.546805109	-1401755.075053253	53208.269944407
1149	 0.91326	 1.44735	 2.70108	 9.03922	 1.65334	 2.74943	 5.01449	 0.07914	 0.10365	 0.79115	-1348.609136684	-1401787.461080861	53178.324396476
1150	 0.94556	 1.40808	 2.60951	 9.07282	 1.61333	 2.75965	 5.03313	 0.07943	 0.09857	 0.79409	-1348.428945317	-1401693.706928691	53264.761612068
1151	 0.94241	 1.43670	 2.60081	 8.61762	 1.52139	 2.85113	 5.01635	 0.07917	 0.09824	 0.79145	-1348.615362372	-1401705.997142239	53090.634769884
1152	 0.97101	 1.48999	 2.59192	 8.30578	 1.46333	 2.94235	 4.77744	 0.07890	 0.09790	 0.78874	-1348.596816628	-1401725.461336453	53128.644708133
1153	 0.97304	 1.45444	 2.72269	 8.00942	 1.52364	 2.82935	 4.78741	 0.07906	 0.09811	 0.79039	-1348.415319110	-1401725.890180998	53310.571071387
1154	 0.96980	 1.44960	 2.63917	 7.98276	 1.48531	 2.81993	 4.93459	 0.07880	 0.09778	 0.78776	-1348.529753347	-1401732.189578792	53202.436231443
1155	 0.96753	 1.38944	 2.56994	 8.07755	 1.48182	 2.81332	 4.88618	 0.07861	 0.09755	 0.78612	-1348.332604697	-1401709.237367085	53376.632670134
1156	 0.92597	 1.41331	 2.58199	 8.11541	 1.45914	 2.82650	 4.76695	 0.07583	 0.09801	 0.78980	-1348.492504407	-1401676.058964152	53183.554556742
1157	 0.89874	 1.41163	 2.45758	 8.35794	 1.51248	 2.82315	 4.98578	 0.07574	 0.09789	 0.78887	-1348.463884144	-1401728.382430997	53264.498287267
1158	 0.90124	 1.45551	 2.46444	 8.01681	 1.51671	 2.83103	 4.99970	 0.07595	 0.09817	 0.79107	-1348.502221627	-1401724.412976191	53222.191349595
1159	 0.86482	 1.43334	 2.64060	 8.43296	 1.45953	 2.74350	 4.87823	 0.07620	 0.09848	 0.79363	-1348.491075825	-1401707.548837813	53216.473012887
1160	 0.90815	 1.42875	 2.55628	 8.40596	 1.45486	 2.73472	 5.00082	 0.07596	 0.09817	 0.79108	-1348.527863208	-1401706.954458361	53179.091250562
1161	 0.93440	 1.50867	 2.60016	 8.24388	 1.38702	 2.74315	 5.01624	 0.07619	 0.09847	 0.79352	-1348.559390410	-1401758.218601630	53198.828191637
1162	 0.90906	 1.57628	 2.75081	 7.95857	 1.35422	 2.75009	 5.02893	 0.07638	 0.09872	 0.79553	-1348.321956321	-1401705.412203387	53383.455882173
1163	 0.93732	 1.64842	 2.60927	 7.64218	 1.41501	 2.62437	 5.01430	 0.07616	 0.09843	 0.76589	-1348.210216626	-1401731.298295750	53521.081669750
1164	 0.98523	 1.68080	 2.69945	 7.63238	 1.34749	 2.62101	 4.98211	 0.07606	 0.09831	 0.76491	-1348.328911265	-1401768.974081529	53440.062816467
1165	 1.02090	 1.75855	 2.52257	 7.61808	 1.28848	 2.68927	 4.97277	 0.07592	 0.09948	 0.74306	-1348.227736083	-1401770.339698015	53542.603615012
1166	 1.01095	 1.68861	 2.61980	 7.90636	 1.35740	 2.58696	 5.21950	 0.07628	 0.09996	 0.74662	-1348.478664161	-1401720.710511728	53242.046350788
1167	 1.01491	 1.60380	 2.47352	 7.56082	 1.31410	 2.58453	 5.34622	 0.07621	 0.09986	 0.74592	-1348.546680936	-1401713.158889937	53166.477954170
1168	 1.05739	 1.60718	 2.52384	 7.85808	 1.28205	 2.59378	 5.19235	 0.07648	 0.10022	 0.74859	-1348.534727753	-1401746.184458470	53211.456705635
1169	 1.06063	 1.66242	 2.63858	 8.23422	 1.31823	 2.60173	 5.20827	 0.07672	 0.10053	 0.75089	-1348.385974128	-1401714.664925923	53328.690798084
1170	 1.06418	 1.71176	 2.74165	 8.08458	 1.40513	 2.61044	 5.36627	 0.06788	 0.10087	 0.75340	-1348.494036527	-1401686.697523771	53192.660996873
1171	 1.01099	 1.76062	 2.73528	 7.88061	 1.40186	 2.60437	 5.35381	 0.06772	 0.10063	 0.75165	-1348.321397043	-1401684.242431816	53362.845388531
1172	 1.06228	 1.83803	 2.72623	 7.85453	 1.37720	 2.59575	 5.15559	 0.06750	 0.10030	 0.74916	-1348.436988312	-1401675.988194101	53238.999882248
1173	 1.00515	 1.77681	 2.82534	 8.09082	 1.45264	 2.67271	 4.90749	 0.06733	 0.10005	 0.74730	-1348.246741155	-1401689.876414177	53443.135259231
1174	 0.96272	 1.72523	 2.73172	 7.62128	 1.38559	 2.66369	 4.89093	 0.06711	 0.09971	 0.74478	-1348.403385680	-1401739.643264832	53336.257584551
1175	 0.97828	 1.81584	 2.82286	 7.59514	 1.43220	 2.75047	 4.87416	 0.06688	 0.09937	 0.74222	-1348.463195943	-1401705.578333857	53242.382391147
1176	 0.93003	 1.92116	 2.96856	 7.60070	 1.41931	 2.64255	 4.98672	 0.06692	 0.09944	 0.74277	-1348.386347887	-1401716.274813239	53329.926926640
1177	 0.89928	 1.85721	 2.85025	 7.29733	 1.38603	 2.65725	 5.12670	 0.06730	 0.10000	 0.74690	-1348.377464961	-1401708.286336877	53330.821375864
1178	 0.84859	 1.92636	 2.74794	 7.49712	 1.38166	 2.74122	 5.11054	 0.06708	 0.10373	 0.74454	-1348.405005318	-1401737.993652192	53332.988334298
1179	 0.85007	 1.83382	 2.75274	 7.91672	 1.34403	 2.78741	 5.11947	 0.06720	 0.10391	 0.77076	-1348.630047802	-1401733.821402437	53103.773600855
1180	 0.88130	 1.90658	 2.60973	 7.77933	 1.37757	 2.77692	 5.37201	 0.06695	 0.10352	 0.76786	-1348.737986814	-1401685.051010613	52947.064196740
1181	 0.86187	 2.01485	 2.60973	 7.60903	 1.31706	 2.77692	 5.37201	 0.06695	 0.10352	 0.76786	-1348.662010439	-1401747.392566230	53085.382126888
1182	 0.83744	 2.08642	 2.48878	 7.96845	 1.36634	 2.77387	 5.44831	 0.06687	 0.10340	 0.76702	-1348.572411086	-1401729.106940618	53156.695854424
1183	 0.82424	 2.04555	 2.37714	 7.96845	 1.36634	 2.77387	 5.44831	 0.06687	 0.09639	 0.76702	-1348.787083193	-1401738.827783555	52951.744590717
1184	 0.78588	 2.04309	 2.37428	 8.24520	 1.30258	 2.77054	 5.22437	 0.06679	 0.09627	 0.76609	-1348.576533280	-1401750.558793944	53174.025513886
1185	 0.81626	 2.04797	 2.37995	 8.42948	 1.33710	 2.77715	 5.23682	 0.07038	 0.09650	 0.76792	-1348.498356127	-1401672.410636223	53174.054509705
1186	 0.77747	 2.00765	 2.47138	 8.07537	 1.27666	 2.84488	 5.24926	 0.07055	 0.09673	 0.76974	-1348.649069126	-1401721.292669274	53072.223543696
1187	 0.82031	 1.90845	 2.54369	 7.90547	 1.32729	 2.72366	 5.26750	 0.07079	 0.09707	 0.77242	-1348.577705433	-1401683.539293052	53105.833860139
1188	 0.82351	 2.00581	 2.66355	 7.51302	 1.33247	 2.73429	 5.28805	 0.07107	 0.09745	 0.77543	-1348.724402984	-1401699.260354975	52974.857371448
1189	 0.78202	 2.07238	 2.64380	 7.24561	 1.42317	 2.85308	 5.46362	 0.07114	 0.09755	 0.77626	-1348.686498962	-1401691.393154025	53004.894192294
1190	 0.74064	 2.17151	 2.49962	 7.09267	 1.47423	 2.79327	 5.29219	 0.07094	 0.09727	 0.77407	-1348.543222403	-1401722.080484275	53178.858081470
1191	 0.77612	 2.26919	 2.60140	 6.73293	 1.40851	 2.79824	 5.16619	 0.07107	 0.09745	 0.77545	-1348.553709593	-1401724.069823906	53170.360231214
1192	 0.76134	 2.34558	 2.51974	 6.73293	 1.47609	 2.79824	 5.16619	 0.07107	 0.09745	 0.77545	-1348.506584481	-1401727.174079176	53220.589598672
1193	 0.71847	 2.20682	 2.61226	 6.45299	 1.55532	 2.78679	 5.14505	 0.07078	 0.09705	 0.76154	-1348.470691203	-1401714.616767982	53243.925564580
1194	 0.69064	 2.13465	 2.75384	 6.27336	 1.62955	 2.79758	 5.16496	 0.07105	 0.09742	 0.74449	-1348.529472295	-1401696.103845042	53166.631549993
1195	 0.67505	 2.26778	 2.64683	 6.12615	 1.72773	 2.80858	 4.97404	 0.07346	 0.09781	 0.74742	-1348.475804011	-1401682.995250147	53207.191239117
1196	 0.70208	 2.21785	 2.64290	 6.11704	 1.72516	 2.89546	 4.96664	 0.07335	 0.09766	 0.74631	-1348.701161504	-1401726.714850218	53025.553346304
1197	 0.70410	 2.12732	 2.75779	 5.88034	 1.73062	 2.82569	 5.19940	 0.07356	 0.09794	 0.74846	-1348.681841444	-1401748.019867936	53066.178423966
1198	 0.73148	 2.06566	 2.85968	 5.74403	 1.65487	 2.83456	 5.21573	 0.07379	 0.09825	 0.75081	-1348.656254629	-1401720.610157034	53064.355527712
1199	 0.77197	 2.01310	 2.85680	 5.59097	 1.59959	 2.75698	 5.21048	 0.07372	 0.09815	 0.75005	-1348.668708340	-1401706.414321364	53037.705981394
1200	 0.80644	 2.02127	 3.09679	 5.95098	 1.65103	 2.87754	 5.23162	 0.07401	 0.09855	 0.75310	-1348.729301740	-1401709.497490830	52980.195750424
1201	 0.80196	 2.09277	 3.22724	 5.91795	 1.60797	 2.74172	 5.20258	 0.07360	 0.09800	 0.74892	-1348.620137258	-1401679.142774182	53059.005516483
1202	 0.82764	 2.07488	 3.37386	 6.34321	 1.55630	 2.75324	 5.22443	 0.07391	 0.09841	 0.75206	-1348.517695156	-1401678.865070912	53161.169915021
1203	 0.82968	 2.16283	 3.27916	 6.49537	 1.47384	 2.76001	 5.04400	 0.07872	 0.09866	 0.74124	-1348.471816416	-1401697.053826902	53225.237410648
1204	 0.86983	 2.10918	 3.43750	 6.26970	 1.41410	 2.75257	 5.00301	 0.07851	 0.09839	 0.74897	-1348.444702954	-1401730.135659357	53285.432705152
1205	 0.88628	 2.11569	 3.57015	 6.28905	 1.46231	 2.76107	 5.01845	 0.07875	 0.09869	 0.75128	-1348.602734526	-1401728.092248842	53125.357722750
1206	 0.93964	 2.12082	 3.40786	 6.08702	 1.42127	 2.88751	 5.17510	 0.07894	 0.09893	 0.75310	-1348.598620789	-1401679.757506897	53081.136717807
1207	 0.96305	 2.06523	 3.52931	 6.25556	 1.39630	 2.87811	 5.15825	 0.07868	 0.09861	 0.75065	-1348.671855339	-1401675.833265461	53003.977926294
1208	 0.99018	 2.10041	 3.38009	 6.28041	 1.33062	 2.80020	 5.14216	 0.07844	 0.09830	 0.74831	-1348.591001070	-1401692.667978297	53101.666908596
1209	 0.94300	 1.95067	 3.60428	 6.63995	 1.31776	 2.80764	 5.15582	 0.07865	 0.09856	 0.75030	-1348.822597540	-1401690.091598383	52867.494057905
1210	 0.96411	 2.06202	 3.48321	 6.92456	 1.27832	 2.79798	 5.13808	 0.07837	 0.09823	 0.73497	-1348.520587917	-1401707.850759707	53187.262842286
1211	 0.94795	 2.17508	 3.49351	 6.71870	 1.34445	 2.80625	 5.15327	 0.07861	 0.09852	 0.73715	-1348.676244427	-1401701.103647369	53024.859220271
1212	 0.97287	 2.18119	 3.63569	 6.73757	 1.30400	 2.81413	 5.06545	 0.08246	 0.09879	 0.73922	-1348.766275412	-1401783.262710596	53016.987298156
1213	 1.01929	 2.14413	 3.83542	 6.53804	 1.24051	 2.75143	 5.08612	 0.08280	 0.09920	 0.74223	-1348.704282804	-1401740.230982878	53035.948178752
1214	 1.08272	 2.06697	 3.66887	 6.78323	 1.20258	 2.74161	 5.06797	 0.08250	 0.09884	 0.73958	-1348.627167743	-1401665.650087162	53038.482343807
1215	 1.06923	 2.05978	 3.65610	 6.55072	 1.14113	 2.73206	 5.05033	 0.08221	 0.09850	 0.73701	-1348.606631695	-1401672.352524580	53065.720829443
1216	 1.02825	 2.13428	 3.80809	 6.76425	 1.18034	 2.61357	 5.14952	 0.08186	 0.09808	 0.73387	-1348.442997914	-1401714.237642440	53271.239728039
1217	 1.07573	 2.02400	 3.80310	 6.75538	 1.12498	 2.51374	 5.14277	 0.08176	 0.09795	 0.73291	-1348.392253262	-1401717.812291526	53325.559029327
1218	 1.03161	 2.10897	 3.62341	 7.18259	 1.17338	 2.52303	 5.16177	 0.08206	 0.09831	 0.73561	-1348.405521562	-1401712.541472286	53307.019909918
1219	 1.08235	 2.19459	 3.75071	 6.73444	 1.11538	 2.59356	 4.98530	 0.08182	 0.09803	 0.73347	-1348.446527621	-1401783.319875857	53336.792255257
1220	 1.03715	 2.10253	 3.67816	 6.96243	 1.07932	 2.58665	 4.97202	 0.08160	 0.09776	 0.73152	-1348.213138852	-1401708.743265851	53495.604413473
1221	 1.03347	 2.12407	 3.89769	 6.93774	 1.12296	 2.50570	 4.95439	 0.08131	 0.09742	 0.72892	-1348.151440956	-1401705.881732403	53554.440776253
1222	 1.07717	 2.02830	 4.05135	 6.80139	 1.16365	 2.51398	 4.97078	 0.08158	 0.09774	 0.69939	-1348.138052932	-1401740.076717523	53602.023785494
1223	 1.12449	 2.06319	 3.87267	 6.55520	 1.20062	 2.50792	 4.95880	 0.08138	 0.09750	 0.71911	-1348.354977287	-1401701.173868480	53346.196581070
1224	 1.08966	 2.01315	 3.96195	 6.57723	 1.14953	 2.46465	 4.97546	 0.08166	 0.09783	 0.72153	-1348.227128824	-1401703.917195010	53476.788371469
1225	 1.02222	 1.90223	 4.17606	 6.26401	 1.14677	 2.45874	 4.96354	 0.08146	 0.09760	 0.72654	-1348.278908401	-1401700.738715001	53421.830313587
1226	 1.06600	 1.95881	 4.41497	 6.37037	 1.14048	 2.55575	 4.95639	 0.08134	 0.09746	 0.72549	-1348.157724721	-1401688.417068743	53530.692348002
1227	 1.08884	 2.04003	 4.23721	 6.75269	 1.08528	 2.56231	 4.96911	 0.08155	 0.09771	 0.72735	-1348.314236871	-1401713.458333556	53399.221462623
1228	 1.05138	 2.18582	 4.40523	 6.59914	 1.13888	 2.57076	 4.98549	 0.08182	 0.09803	 0.72975	-1348.331405713	-1401707.970039304	53376.564326040
1229	 1.05561	 2.26985	 4.42297	 6.81257	 1.14347	 2.58111	 4.90269	 0.08215	 0.09842	 0.73269	-1348.299183291	-1401714.880410498	53415.697119511
1230	 1.08894	 2.29869	 4.61316	 6.45891	 1.08128	 2.52008	 4.89433	 0.08201	 0.09826	 0.73144	-1348.245547717	-1401723.894626170	53478.346909517
