Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
31	 1.23009	 1.73959	 1.16124	 1.57878	 1.52372	 2.14499	 1.86301	 0.06852	 0.12292	 0.71154	-1344.704735574	-1402158.071132228	57453.335558168
32	 1.23319	 1.74397	 1.18389	 1.60925	 1.52567	 2.20200	 1.93564	 0.07205	 0.12323	 0.71333	-1344.754506893	-1402191.627044138	57437.120151410
33	 1.27121	 1.68309	 1.22036	 1.66837	 1.59413	 2.20200	 2.05011	 0.07205	 0.12323	 0.71333	-1345.016142200	-1402155.165390767	57139.023190726
34	 1.21284	 1.69127	 1.25349	 1.76914	 1.63148	 2.26020	 2.14753	 0.07240	 0.12383	 0.71680	-1345.270127767	-1402176.313831324	56906.186064102
35	 1.23040	 1.75061	 1.23094	 1.77374	 1.69069	 2.34414	 2.15311	 0.07259	 0.12415	 0.74017	-1345.693296414	-1402105.846707860	56412.550294232
36	 1.27518	 1.84493	 1.22824	 1.87378	 1.73774	 2.42754	 2.14840	 0.07243	 0.12388	 0.73855	-1345.541212861	-1402093.537853660	56552.324992250
37	 1.21042	 1.85053	 1.21833	 1.87947	 1.74301	 2.43490	 2.20146	 0.07265	 0.12731	 0.77055	-1345.985378828	-1402055.691009826	56070.312181375
38	 1.22664	 1.92810	 1.21833	 1.87947	 1.68169	 2.43490	 2.20146	 0.07265	 0.12731	 0.74694	-1345.750962338	-1402030.528797877	56279.566460102
39	 1.22929	 2.01163	 1.20053	 1.93746	 1.68533	 2.44017	 2.20623	 0.07280	 0.12758	 0.74536	-1345.676943669	-1402075.287574764	56398.343905489
40	 1.28087	 2.10483	 1.14031	 2.02082	 1.63047	 2.49018	 2.20623	 0.07280	 0.12758	 0.74536	-1345.738491125	-1402057.623180890	56319.132056210
41	 1.32655	 2.19136	 1.07523	 2.06042	 1.70642	 2.49018	 2.20623	 0.07280	 0.12086	 0.75417	-1345.827046525	-1402007.209008722	56180.162483928
42	 1.37920	 2.34014	 1.07885	 2.06736	 1.79074	 2.49856	 2.21366	 0.07305	 0.12127	 0.75671	-1345.837262193	-1402037.896568852	56200.634375694
43	 1.32234	 2.43746	 1.10839	 2.15725	 1.87074	 2.51832	 2.21366	 0.07305	 0.12127	 0.77402	-1345.951003310	-1402003.136238418	56052.132928577
44	 1.37160	 2.33518	 1.10839	 2.20879	 1.87074	 2.51832	 2.21366	 0.07305	 0.12127	 0.77402	-1345.872088776	-1401997.708526585	56125.619750625
45	 1.37720	 2.26401	 1.06685	 2.21780	 1.87837	 2.52859	 2.29303	 0.07335	 0.12176	 0.80079	-1346.208094206	-1402036.461076050	55828.366869842
46	 1.32336	 2.29515	 1.04495	 2.24863	 1.94704	 2.53704	 2.39153	 0.07779	 0.12217	 0.80346	-1346.130469599	-1401990.232183516	55859.762584413
47	 1.27401	 2.37645	 1.03479	 2.25551	 1.95299	 2.54480	 2.51742	 0.07640	 0.12254	 0.80592	-1346.184072997	-1402003.228483423	55819.155486148
48	 1.23247	 2.31533	 1.09184	 2.34579	 1.95750	 2.55067	 2.67058	 0.07657	 0.12282	 0.80778	-1346.242260883	-1402032.817111342	55790.556227866
49	 1.18141	 2.24480	 1.09401	 2.35044	 1.99739	 2.62390	 2.74526	 0.07672	 0.11052	 0.84642	-1346.737575303	-1402006.942731434	55269.367428709
50	 1.13395	 2.32687	 1.04723	 2.35044	 2.08276	 2.62390	 2.83905	 0.07672	 0.11052	 0.87330	-1346.834185725	-1401977.609070135	55143.423345166
51	 1.13645	 2.33200	 0.99445	 2.35562	 2.04484	 2.71486	 2.84530	 0.07689	 0.11077	 0.87523	-1346.782942358	-1401971.870959381	55188.928601196
52	 1.13645	 2.28765	 0.96489	 2.35562	 2.13836	 2.71486	 2.84530	 0.07689	 0.11077	 0.87523	-1346.895900250	-1401913.922778423	55018.022528490
53	 1.09539	 2.19612	 0.92132	 2.47186	 2.02307	 2.71486	 2.84530	 0.07689	 0.10808	 0.87523	-1346.745960838	-1401879.953798475	55133.992960811
54	 1.06208	 2.11318	 0.92415	 2.47945	 2.12552	 2.72319	 2.88288	 0.06912	 0.10841	 0.87791	-1346.743011724	-1401858.737538783	55115.725815038
55	 1.06039	 2.11318	 0.95607	 2.56391	 2.20010	 2.72319	 2.88288	 0.06912	 0.10841	 0.87791	-1346.747219659	-1401866.853575217	55119.633916455
56	 1.04140	 2.11818	 0.92007	 2.56998	 2.31808	 2.82751	 2.88971	 0.07685	 0.10867	 0.87999	-1346.825707854	-1401850.814963148	55025.107108973
57	 1.08748	 2.10743	 0.96339	 2.74349	 2.21042	 2.93096	 2.89528	 0.07700	 0.10888	 0.88169	-1346.781359420	-1401879.253341670	55097.893921868
58	 1.13724	 2.17409	 0.92929	 2.89448	 2.27588	 3.00612	 2.99913	 0.07671	 0.10847	 0.90655	-1347.228683335	-1401896.662961877	54667.979626688
59	 1.09855	 2.10359	 0.90262	 2.88684	 2.15772	 2.99818	 3.16502	 0.07651	 0.10819	 0.93310	-1347.429864176	-1401877.171345100	54447.307168771
