Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
958	 0.20506	 0.45876	1116.75985	 0.00000	-9284.120478809	-92010.177708339	-831.027079751
959	 0.19524	 0.49082	1120.66564	 0.00000	-9283.419139841	-92003.120845404	-831.070553006
960	 0.18834	 0.50827	1125.10515	 0.00000	-9282.598089158	-91994.556784317	-831.424107268
961	 0.17943	 0.52362	1120.42676	 0.00000	-9282.935216140	-91993.476172738	-835.875988659
962	 0.16970	 0.54407	1120.42676	 0.00000	-9282.172706776	-91976.802284328	-844.924783433
963	 0.16517	 0.52592	1125.26068	 0.00000	-9281.231896906	-91968.894370649	-843.424598414
964	 0.15688	 0.54478	1123.62327	 0.00000	-9281.480794181	-91967.369188711	-847.438753099
965	 0.16348	 0.57349	1167.37915	 0.00000	-9277.580928198	-91976.043933396	-799.765348579
966	 0.15405	 0.54815	1129.54234	 0.00000	-9281.364652532	-91993.254548741	-820.391976576
967	 0.15768	 0.51985	1110.94956	 0.00000	-9283.800339015	-92003.790820593	-834.212569560
968	 0.15128	 0.53612	1128.56320	 0.00000	-9282.279720877	-92012.238132352	-810.559076414
969	 0.14580	 0.51736	1131.19863	 0.00000	-9281.823093838	-92002.459523482	-815.771414898
970	 0.15044	 0.53687	1098.72639	 0.00000	-9284.633314264	-91989.682454445	-856.650688199
971	 0.14727	 0.50983	1099.41191	 0.00000	-9284.665482583	-91995.104143497	-851.550682329
972	 0.14071	 0.53101	1101.10505	 0.00000	-9285.373551364	-91995.688288889	-858.047224755
973	 0.14418	 0.51777	1099.43095	 0.00000	-9285.014205213	-92001.376424025	-848.765628105
974	 0.14172	 0.55192	1103.36199	 0.00000	-9286.224140657	-92001.816044211	-860.425362361
975	 0.14732	 0.56243	1160.03769	 0.00000	-9280.351494314	-92005.828313598	-797.686629543
976	 0.15456	 0.54095	1157.07731	 0.00000	-9280.272848938	-92010.727064697	-792.001424685
977	 0.15002	 0.51724	1158.63913	 0.00000	-9279.836228547	-91995.862666855	-802.499618617
978	 0.15534	 0.50776	1136.78229	 0.00000	-9282.412682479	-92008.840424967	-815.286399824
979	 0.15671	 0.49434	1173.70508	 0.00000	-9277.442435849	-91997.267276303	-777.157082189
980	 0.16228	 0.51750	1141.38581	 0.00000	-9280.497368523	-91992.489993928	-812.483691303
981	 0.15651	 0.53710	1091.01117	 0.00000	-9286.485895004	-91998.247413166	-866.611536873
982	 0.16204	 0.52020	1095.87873	 0.00000	-9285.743283073	-91992.525834363	-864.906996371
983	 0.15484	 0.53373	1133.76277	 0.00000	-9280.670010526	-91983.357999051	-823.342106213
984	 0.15829	 0.54561	1133.76277	 0.00000	-9281.176593880	-91988.577316597	-823.188622207
