Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	0.95743425581648411437640788790304214	1.01883137326243300435635319445282221	1.02662182795043821492697588837472722	0.92923462281062729761771379344281740	1.10281400633938231337083379912655801	0.49888634441362433857847236140514724	3.06728935298415050780818091880064458	-1061.58045459193954229704104363918304443	-14624.83481831437165965326130390167236328	4009.03027239497532718814909458160400391
1	0.92102795409325477482553878871840425	1.04481350113898874276685546647058800	0.99528605813349713127280438129673712	0.90923818060716032896095839532790706	1.14717350349518376617652393179014325	0.49888634441362433857847236140514724	3.03737257133141813625343274907208979	-1042.85710175479539429943542927503585815	-14432.04056826017767889425158500671386719	4003.46955071222328115254640579223632812
2	0.96371592551530294024075828929198906	1.10821491969424945622790801280643791	0.99728175640279670410848211759002879	0.96448274398902889004148164531216025	1.11327152756168290537175380450207740	0.48912805285470850602536074802628718	3.07297034555152803747546386148314923	-1026.75932654845610159100033342838287354	-14261.74312942667529569007456302642822266	3994.14986394211518927477300167083740234
3	0.91704034765059783129714787719422020	1.16711092678161088009858303848886862	0.99449822794907649647910830026376061	0.96920151941937837669627242576098070	1.04553920168177105765039414109196514	0.49654615856234435300464724605262745	3.04796350919526970457695824734400958	-1020.05382622954573434981284663081169128	-14196.04384123667841777205467224121093750	3995.50557894122175639495253562927246094
4	0.89917897121057588361026091661187820	1.09925856823196688161203837807988748	0.96356036978540171578089257309329696	1.01927942667547166699648641952080652	1.00924454697816989856562486238544807	0.49005905830104173892536323364765849	3.08945705769655010186625077039934695	-1019.36636692669492276763776317238807678	-14175.01679072244223789311945438385009766	3981.35312145549323759041726589202880859
5	0.89694710092045981664199416627525352	1.12432366736058431122557976777898148	0.91791328440947983491327022420591675	0.99191910958744045068158357025822625	1.01478937933314261599093697441276163	0.48089245933784802167210159495880362	3.09952889382396623574322802596725523	-1014.71505629072817100677639245986938477	-14164.18570143517536052968353033065795898	4017.03513852789365046191960573196411133
6	0.92373180707974422709582995594246313	1.08407894940793281257640501280548051	0.96675825518939084712854992176289670	1.04151581321007502545228362578200176	1.07345978266530628353336851432686672	0.49502531383082365445957861993520055	3.13651581323448169769108062610030174	-1018.20365964071743292151950299739837646	-14169.80024279096687678247690200805664062	3987.76364638379163807258009910583496094
7	0.97208504496030290198405054979957640	1.05797233954317371207309861347312108	1.02220721572208805838499756646342576	1.00721135921978488525496686634141952	1.12532712552826819063511720742098987	0.50266387445007643108851880242582411	3.12659104400787901667513324355240911	-1011.82574716128408454096643254160881042	-14127.71823105108160234522074460983276367	4009.46075943824143905658274888992309570
8	0.97476915780104023134811086492845789	1.02012309511490828484170378942508250	1.09225379495245022987148786342004314	1.00999246253644869852905685547739267	1.09187020169488424592429964832263067	0.49565252840121037936071957119565923	3.16010136287083920336726805544458330	-1014.83681137518021841970039531588554382	-14120.78475930157765105832368135452270508	3972.41664554977614898234605789184570312
9	1.00323640138557745871139559312723577	1.04933835725907687042024463153211400	1.12961289733001635227083170320838690	1.03666927586174617559322541637811810	1.09426510751239258745215465751243755	0.49673969162069220306676697873626836	3.14891409365754970650641553220339119	-1018.06524839143582994438474997878074646	-14135.22982847015919105615466833114624023	3954.57734455580066423863172531127929688
10	1.00008746181233210137406786088831723	1.07991057042496785278729021229082718	1.15358835112284263679782725375844166	1.06810339785250496547064358310308307	1.10377957236717572087059124896768481	0.50164613948655267794407563997083344	3.10656184403817547945436672307550907	-1011.80699967584678233833983540534973145	-14121.17502699985925573855638504028320312	4003.10503024139143235515803098678588867
11	1.03136537274395645447100378078175709	1.07693879865281760821460466104326770	1.22333930829660553207816064968938008	1.00131221718017937583056209405185655	1.04812529326745784707952680037124082	0.50334685914852828059196099275141023	3.13047742680221885436253614898305386	-1015.98675114147204112668987363576889038	-14112.10131229110083950217813253402709961	3952.23380087637997348792850971221923828
12	0.98972266559563526477916184376226738	1.07524043518182899070723124168580398	1.28304547107241218029116680554579943	0.99973311900408912133997318960609846	1.10187204624378209949497886555036530	0.49756434323164677735462646523956209	3.14330573123097245513690722873434424	-1014.02349567259591367474058642983436584	-14118.01820103972931974567472934722900391	3977.78324431377041037194430828094482422
13	0.99856903755372761199993192349211313	1.03818838951288272554052127816248685	1.22010898228633468676207485259510577	1.02375180614163951986483880318701267	1.05093410052521751829601726058172062	0.49536711981736641918772079407062847	3.16695873084615797665719583164900541	-1015.91123336480848138307919725775718689	-14115.81138968965751701034605503082275391	3956.69905604157247580587863922119140625
14	1.06197451393242925377080609905533493	1.03668395408825264603080995584605262	1.18550463301364583657004914130084217	0.98408843823159142250034392418456264	1.07484169358791681325726585782831535	0.49464928493231252737416525633307174	3.14341308422249099407963512931019068	-1017.77658906754390955029521137475967407	-14120.57685189704716322012245655059814453	3942.81096122160852246452122926712036133
15	1.06632475874742427279784351412672549	1.04093059931080267332959010673221201	1.17603180332652512696256508206715807	1.03828997188178417943049680616240948	1.01520308684176963076595257007284090	0.48933858742158503618568943238642532	3.11994608035929621436821435054298490	-1016.65900298148619640414835885167121887	-14122.78986422944581136107444763183593750	3956.19983441458316519856452941894531250
16	1.12703910679534580197014292934909463	0.99722020271510292133143593673594296	1.24190208213105224288597128179389983	1.00236018239039847976812325214268640	0.94977929742859668049703714132192545	0.48359157448424711089884908687963616	3.10823373244579137519849609816446900	-1013.86625582943588597117923200130462646	-14106.91024782718523056246340274810791016	3968.24768953282546135596930980682373047
17	1.15554894828546284024639589915750548	0.95346916705169759698179632323444821	1.29636237311859914278500127693405375	0.95875101792344386009148138327873312	0.90820551203493837810754030215321109	0.48208523712382050918634490699332673	3.12390624210618739198253024369478226	-1017.71810362569499375240411609411239624	-14107.89257204334353446029126644134521484	3930.71153578639314218889921903610229492
18	1.13032339999148323528288528905250132	0.93920706239592866015897243414656259	1.26581902421916847600869004963897169	0.98720872705393025725584266183432192	0.86395743328445007147564638216863386	0.47510038085823336206914291324210353	3.08142495651885317542451048211660236	-1015.99273645873074656265089288353919983	-14100.60904943514651677105575799942016602	3940.68168484783927851822227239608764648
19	1.15926166627052862345692574308486655	0.89458078504660287766370174722396769	1.21007865400379222009519253333564848	0.97794599177003926904205854953033850	0.82713195965981212154360946442466229	0.46988701256233927905370251210115384	3.11700171609587650678463432996068150	-1014.37922525227781989087816327810287476	-14093.76342539973302336875349283218383789	3949.97117287695436971262097358703613281
20	1.11694667251901402771352422860218212	0.85402926347303509402308918652124703	1.23239548015006183945274642610456795	0.92914188722479118531794028967851773	0.86001963198816178124417319850181229	0.46048057333689762504747022830997594	3.09315698228198199259963985241483897	-1012.28334320254305112030124291777610779	-14094.95640661847937735728919506072998047	3972.12297459304863878060132265090942383
21	1.17101898803690129824417454074136913	0.82925915193078236775647837930591777	1.17773402487287159878803777246503159	0.88111767664224416307661158498376608	0.81244790434019664715492581308353692	0.46203491595471007924444961645349395	3.07559032193217607442647931748069823	-1009.94069332534832028613891452550888062	-14095.80787959179724566638469696044921875	3996.40094633831358805764466524124145508
22	1.12774075305071086461339291417971253	0.87733133468586754766249669046374038	1.14362290476788719395528914901660755	0.84963234168377943511529792885994539	0.84799943911481356906278961105272174	0.45391612397679459434129967121407390	3.11719489734266685942998265090864152	-1012.93161017154227465653093531727790833	-14098.20109929584214114584028720855712891	3968.88499758041871245950460433959960938
23	1.17435111293972993529166615189751610	0.85168541735176894746928155655041337	1.11099601467657049802539859229000285	0.83056433999268131085358390919282101	0.87236710106424231181421191649860702	0.46210118290263191287436939092003740	3.14371044854167669413413932488765568	-1015.50869384591464950062800198793411255	-14099.39971879361291939858347177505493164	3944.31278033446687913965433835983276367
